行	種別	語根	基礎表記	グループ順位	グループ件数	F	識別子	上付き識別子	識別子付き表記	判定根拠
586	content	moment	刻	1	1	13			刻	単独
587	content	nombr	数	1	4	78			数	基本形
588	content	ord	序	1	1	47			序	単独
589	content	ordon	令	2	2	14	o	ᴼ	令ᴼ	頭文字唯一
590	content	paŝ	步	1	3	48			步	基本形
591	content	pen	努	1	1	15			努	単独
592	content	plank	板	5	5	8	p	ᴾ	板ᴾ	頭文字唯一
593	content	plend	诉	2	2	9	p	ᴾ	诉ᴾ	頭文字唯一
594	content	plezur	乐	2	3	13	p	ᴾ	乐ᴾ	頭文字唯一
595	content	plum	羽	1	1	34			羽	単独
596	content	prav	理	3	5	12	p	ᴾ	理ᴾ	頭文字唯一
597	content	profund	深	1	1	25			深	単独
598	content	rond	圆	1	2	36			圆	基本形
599	content	roz	玫	1	1	35			玫	単独
600	content	salt	跳	1	1	47			跳	単独
601	content	sang	血	1	1	86			血	単独
602	content	spec	种	2	2	24	sp	ˢᴾ	种ˢᴾ	子音位置1
603	content	staci	站	1	1	29			站	単独
604	content	stat	态	1	2	41			态	基本形
605	content	sufer	苦	1	2	16			苦	基本形
606	content	suker	糖	1	3	39			糖	基本形
607	content	vagon	厢	1	1	28			厢	単独
608	content	vek	醒	1	1	13			醒	単独
609	content	veter	气	4	5	20	v	ⱽ	气ⱽ	頭文字唯一
610	content	vilaĝ	村	1	1	6			村	単独
611	content	vitr	玻	1	1	53			玻	単独
612	content	produkt	产	1	2	50			产	基本形
613	content	prunt	借	1	2	20			借	基本形
614	content	rul	卷	1	4	75			卷	基本形
615	content	aŭt	车	1	6	61			车	基本形
616	content	adres	址	1	1	16			址	単独
617	content	amuz	娱	1	1	11			娱	単独
618	content	anim	魂	1	1	33			魂	単独
619	content	aranĝ	整	2	2	30	a	ᴬ	整ᴬ	頭文字唯一
620	content	arĝent	银	2	2	10	a	ᴬ	银ᴬ	頭文字唯一
621	content	benk	凳	1	1	10			凳	単独
622	content	bov	牛	1	2	37			牛	基本形
623	content	brun	褐	1	1	28			褐	単独
624	content	brust	胸	1	1	30			胸	単独
625	content	buter	油	2	4	29	b	ᴮ	油ᴮ	同頭文字初出/頭文字単独
626	content	ĉes	止	1	1	10			止	単独
627	content	ceter	余	2	2	4	c	ᶜ	余ᶜ	頭文字唯一
628	content	danĝer	危	2	2	13	d	ᴰ	危ᴰ	頭文字唯一
629	content	donac	礼	1	2	13			礼	基本形
630	content	dors	背	1	1	33			背	単独
631	content	efektiv	实	2	2	0	e	ᴱ	实ᴱ	頭文字唯一
632	content	efik	效	1	3	34			效	基本形
633	content	egal	等	1	1	47			等	単独
634	content	estim	尊	2	2	9	e	ᴱ	尊ᴱ	頭文字唯一
635	content	flav	黄	1	1	31			黄	単独
636	content	foli	叶	1	1	98			叶	単独
637	content	font	泉	1	1	39			泉	単独
638	content	freŝ	鲜	1	1	16			鲜	単独
639	content	fund	底	2	2	23	fd	ᶠᴰ	底ᶠᴰ	子音位置2
640	content	gard	守	1	1	49			守	単独
641	content	genu	膝	1	1	18			膝	単独
642	content	glaci	冰	1	1	42			冰	単独
643	content	griz	灰	2	2	21	g	ᴳ	灰ᴳ	頭文字唯一
644	content	herb	草	1	4	67			草	基本形
645	content	horloĝ	计	1	3	32			计	基本形
646	content	ink	墨	1	1	16			墨	単独
647	content	insekt	虫	2	2	19	i	ᴵ	虫ᴵ	頭文字唯一
648	content	intenc	意	4	4	12	in	ᴵᴺ	意ᴵᴺ	子音位置1
649	content	juĝ	判	1	2	40			判	基本形
650	content	kapabl	能	3	4	29	k	ᴷ	能ᴷ	同頭文字初出/頭文字単独
651	content	klin	斜	1	3	38			斜	基本形
652	content	kok	鸡	1	1	28			鸡	単独
653	content	kompat	怜	1	1	14			怜	単独
654	content	konserv	存	1	3	19			存	基本形
655	content	kovert	封	1	1	2			封	単独
656	content	krajon	笔	1	2	15			笔	基本形
657	content	kre	创	1	3	22			创	基本形
658	content	kruc	十	2	2	60	k	ᴷ	十ᴷ	頭文字唯一
659	content	krur	腿	1	3	18			腿	基本形
660	content	kuk	糕	1	1	31			糕	単独
661	content	kuler	勺	1	1	9			勺	単独
662	content	kulp	罪	2	3	22	kl	ᴷᴸ	罪ᴷᴸ	子音位置1
663	content	kurac	医	1	3	40			医	基本形
664	content	kuz	堂	1	1	4			堂	単独
665	content	lag	湖	1	1	29			湖	単独
666	content	lang	舌	1	1	24			舌	単独
667	content	leĝ	律	1	3	39			律	基本形
668	content	lert	巧	1	1	19			巧	単独
669	content	lim	界	1	3	68			界	基本形
670	content	lun	月	1	2	36			月	基本形
671	content	manier	式	1	4	27			式	基本形
672	content	marŝ	步	2	3	12	m	ᴹ	步ᴹ	頭文字唯一
673	content	mastr	主	1	6	37			主	基本形
674	content	mok	嘲	1	1	18			嘲	単独
675	content	muzik	乐	1	3	48			乐	基本形
676	content	numer	号	2	2	21	n	ᴺ	号ᴺ	頭文字唯一
677	content	objekt	物	2	2	30	o	ᴼ	物ᴼ	頭文字唯一
678	content	ofic	职	1	2	38			职	基本形
679	content	ombr	影	2	2	22	o	ᴼ	影ᴼ	頭文字唯一
680	content	ordinar	普	2	2	19	o	ᴼ	普ᴼ	頭文字唯一
681	content	ov	卵	1	1	41			卵	単独
682	content	pak	包	2	4	32	pk	ᴾᴷ	包ᴾᴷ	子音位置1
683	content	plafon	顶	3	4	4	p	ᴾ	顶ᴾ	頭文字唯一
684	content	pork	猪	1	2	18			猪	基本形
685	content	poŝ	袋	2	2	24	p	ᴾ	袋ᴾ	頭文字唯一
686	content	prefer	宁	1	2	10			宁	基本形
687	content	prepar	备	2	3	14	pp	ᴾᴾ	备ᴾᴾ	子音位置2
688	content	promen	步	3	3	10	pr	ᴾᴿ	步ᴾᴿ	子音位置1
689	content	promes	诺	1	1	18			诺	単独
690	content	radi	射	1	2	123			射	基本形
691	content	region	区	1	3	20			区	基本形
692	content	reĝ	王	1	1	39			王	単独
693	content	rekt	直	1	1	38			直	単独
694	content	religi	宗	1	1	27			宗	単独
695	content	ripet	复	2	4	13	r	ᴿ	复ᴿ	頭文字唯一
696	content	ŝaf	羊	1	2	27			羊	基本形
697	content	sak	袋	1	2	46			袋	基本形
698	content	sek	干	1	2	55			干	基本形
699	content	senc	意	1	4	36			意	基本形
700	content	serioz	严	1	2	10			严	基本形
701	content	ŝlos	锁	1	2	26			锁	基本形
702	content	spir	息	1	1	39			息	単独
703	content	spirit	灵	1	1	23			灵	単独
704	content	ŝtat	国	2	3	59	ŝ	ˢ̂	国ˢ̂	頭文字唯一
705	content	ŝtel	偷	1	1	33			偷	単独
706	content	stel	星	1	4	46			星	基本形
707	content	ŝtup	阶	1	2	20			阶	基本形
708	content	sum	总	2	3	19	s	ˢ	总ˢ	頭文字唯一
709	content	teler	盘	2	3	15	t	ᵀ	盘ᵀ	頭文字唯一
710	content	terur	恐	1	1	8			恐	単独
711	content	tond	剪	1	1	20			剪	単独
712	content	traf	击	1	1	22			击	単独
713	content	tru	穴	1	1	48			穴	単独
714	content	vapor	汽	1	1	42			汽	単独
715	content	vast	广	1	2	31			广	基本形
716	content	vin	酒	1	3	68			酒	基本形
717	content	voĉ	声	2	3	55	v	ⱽ	声ⱽ	頭文字唯一
718	content	di	神	1	3	65			神	基本形
719	content	fend	劈	1	1	36			劈	単独
720	content	fot	拍	1	2	87			拍	基本形
721	content	inkluziv	含	1	1	7			含	単独
722	content	koleg	伴	3	3	7	kl	ᴷᴸ	伴ᴷᴸ	子音位置1
723	content	komput	算	2	3	37	km	ᴷᴹ	算ᴷᴹ	子音位置1
724	content	kontakt	接	1	1	23			接	単独
725	content	kotiz	纳	1	1	12			纳	単独
726	content	Krist	基	2	4	24	k	ᴷ	基ᴷ	頭文字唯一
727	content	novel	篇	2	2	3	n	ᴺ	篇ᴺ	頭文字唯一
728	content	registr	录	1	3	33			录	基本形
729	content	rezerv	储	1	2	29			储	基本形
730	content	sonor	响	1	3	23			响	基本形
731	content	strek	划	2	3	38	s	ˢ	划ˢ	頭文字唯一
732	content	taŭg	适	1	4	14			适	基本形
733	content	akir	获	1	2	21			获	基本形
734	content	akompan	陪	1	1	9			陪	単独
735	content	akr	锐	1	1	26			锐	単独
736	content	anonc	宣	2	3	15	a	ᴬ	宣ᴬ	頭文字唯一
737	content	aparten	属	1	1	6			属	単独
738	content	apog	支	1	2	23			支	基本形
739	content	aprob	肯	1	1	9			肯	単独
740	content	arm	武	1	1	39			武	単独
741	content	atak	攻	1	1	23			攻	単独
742	content	avert	警	3	3	5	av	ᴬⱽ	警ᴬⱽ	子音位置1
743	content	bar	障	1	1	32			障	単独
744	content	baston	棒	1	1	32			棒	単独
745	content	blov	吹	1	1	31			吹	単独
746	content	bol	沸	1	1	22			沸	単独
747	content	botel	瓶	1	1	32			瓶	単独
748	content	branĉ	枝	1	2	24			枝	基本形
749	content	buton	扣	1	2	20			扣	基本形
750	content	ĉapitr	章	1	1	1			章	単独
751	content	ĉas	猎	1	1	44			猎	単独
752	content	ĉemiz	衫	1	2	14			衫	基本形
753	content	cifer	数	2	4	25	c	ᶜ	数ᶜ	頭文字唯一
754	content	danc	舞	1	2	31			舞	基本形
755	content	defend	防	1	1	24			防	単独
756	content	delikat	细	1	2	27			细	基本形
757	content	dens	密	1	1	43			密	単独
758	content	desegn	绘	1	1	26			绘	単独
759	content	diferenc	异	2	2	18	d	ᴰ	异ᴰ	頭文字唯一
760	content	doktor	博	1	1	11			博	単独
761	content	eben	平	2	2	28	e	ᴱ	平ᴱ	頭文字唯一
762	content	eduk	培	1	1	35			培	単独
763	content	esting	灭	1	1	14			灭	単独
764	content	evit	避	1	2	14			避	基本形
765	content	faden	丝	1	2	39			丝	基本形
766	content	fak	专	1	1	31			专	単独
767	content	fakt	事	3	4	4	f	ᶠ	事ᶠ	頭文字唯一
768	content	fals	伪	1	1	22			伪	単独
769	content	fam	名	2	3	21	f	ᶠ	名ᶠ	頭文字唯一
770	content	fidel	忠	1	2	13			忠	基本形
771	content	fier	骄	1	1	15			骄	単独
772	content	firm	坚	2	4	15	fm	ᶠᴹ	坚ᶠᴹ	子音位置2
773	content	flag	旗	1	2	19			旗	基本形
774	content	fork	叉	1	1	18			叉	単独
775	content	fum	烟	1	3	49			烟	基本形
776	content	gas	气	2	5	84	g	ᴳ	气ᴳ	頭文字唯一
777	content	gast	客	1	4	24			客	基本形
778	content	ĝeneral	总	1	3	20			总	基本形
779	content	ĝen	扰	1	1	23			扰	単独
780	content	ĝentil	礼	2	2	12	ĝ	ᴳ̂	礼ᴳ̂	頭文字唯一
781	content	gras	脂	1	2	36			脂	基本形
782	content	gut	滴	1	1	30			滴	単独
783	content	haŭt	皮	1	3	37			皮	基本形
784	content	hejt	热	1	4	23			热	基本形
785	content	honest	诚	1	2	18			诚	基本形
786	content	honor	誉	1	1	35			誉	単独
787	content	hont	耻	1	1	17			耻	単独
788	content	imag	想	2	3	15	i	ᴵ	想ᴵ	同頭文字初出/頭文字単独
789	content	imit	仿	1	1	16			仿	単独
790	content	industri	业	1	1	37			业	単独
791	content	inform	告	1	2	33			告	基本形
792	content	insul	岛	1	1	55			岛	単独
793	content	jak	服	3	4	8	j	ᴶ	服ᴶ	頭文字唯一
794	content	kajer	册	1	5	9			册	基本形
795	content	kest	箱	1	2	42			箱	基本形
796	content	kis	吻	1	1	11			吻	単独
797	content	komfort	舒	1	1	12			舒	単独
798	content	kompar	较	1	1	14			较	単独
799	content	kondiĉ	件	1	1	23			件	単独
800	content	kondut	举	2	2	9	k	ᴷ	举ᴷ	頭文字唯一
801	content	konsci	觉	1	2	27			觉	基本形
802	content	konsist	成	3	3	7	k	ᴷ	成ᴷ	頭文字唯一
803	content	konstant	恒	1	1	24			恒	単独
804	content	konven	适	3	4	11	k	ᴷ	适ᴷ	頭文字唯一
805	content	korespond	通	1	1	10			通	単独
806	content	kultur	耕	1	2	46			耕	基本形
807	content	kviet	静	1	2	20			静	基本形
808	content	lamp	灯	1	1	34			灯	単独
809	content	lecion	课	2	2	4	l	ᴸ	课ᴸ	頭文字唯一
810	content	legom	菜	2	3	15	l	ᴸ	菜ᴸ	頭文字唯一
811	content	lip	唇	1	1	22			唇	単独
812	content	liter	字	1	2	33			字	基本形
813	content	maŝin	机	1	4	88			机	基本形
814	content	matur	熟	1	2	19			熟	基本形
815	content	mebl	具	2	3	16	m	ᴹ	具ᴹ	頭文字唯一
816	content	mend	订	2	2	21	m	ᴹ	订ᴹ	頭文字唯一
817	content	mensog	谎	1	1	9			谎	単独
818	content	merit	值	3	3	15	m	ᴹ	值ᴹ	頭文字唯一
819	content	metal	金	2	3	33	m	ᴹ	金ᴹ	頭文字唯一
820	content	mien	容	1	1	16			容	単独
821	content	milion	万	1	1	7			万	単独
822	content	minac	胁	1	1	5			胁	単独
823	content	naĝ	游	1	2	47			游	基本形
824	content	najbar	邻	1	1	9			邻	単独
825	content	nep	孙	1	1	4			孙	単独
826	content	nev	侄	1	1	6			侄	単独
827	content	oft	常	1	1	12			常	単独
828	content	nepr	必	2	2	5	np	ᴺᴾ	必ᴺᴾ	子音位置1
829	content	volont	愿	2	3	10	vn	ⱽᴺ	愿ⱽᴺ	子音位置2
830	content	nord	北	1	1	30			北	単独
831	content	not	记	2	4	26	n	ᴺ	记ᴺ	頭文字唯一
832	content	obe	服	2	4	11	o	ᴼ	服ᴼ	頭文字唯一
833	content	okcident	西	1	1	23			西	単独
834	content	ole	油	1	4	73			油	基本形
835	content	ond	波	1	1	95			波	単独
836	content	or	金	1	3	61			金	基本形
837	content	organiz	组	3	3	0	or	ᴼᴿ	组ᴼᴿ	子音位置1
838	content	orient	东	1	1	45			东	単独
839	content	ost	骨	1	2	52			骨	基本形
840	content	pacienc	忍	2	2	10	p	ᴾ	忍ᴾ	頭文字唯一
841	content	paf	射	2	2	47	p	ᴾ	射ᴾ	頭文字唯一
842	content	pantalon	裤	1	2	12			裤	基本形
843	content	parenc	亲	3	4	10	p	ᴾ	亲ᴾ	頭文字唯一
844	content	past	糊	1	1	19			糊	単独
845	content	pel	驱	1	1	30			驱	単独
846	content	pentr	描	1	1	23			描	単独
847	content	pik	刺	1	2	44			刺	基本形
848	content	pilk	球	3	6	20	p	ᴾ	球ᴾ	頭文字唯一
849	content	pint	尖	1	1	44			尖	単独
850	content	plant	植	1	3	75			植	基本形
851	content	plur	多	2	2	57	p	ᴾ	多ᴾ	頭文字唯一
852	content	polic	警	1	3	20			警	基本形
853	content	pom	苹	1	1	33			苹	単独
854	content	pont	桥	1	1	33			桥	単独
855	content	posed	有	2	2	15	p	ᴾ	有ᴾ	頭文字唯一
856	content	praktik	践	1	1	17			践	単独
857	content	preciz	准	1	2	16			准	基本形
858	content	preĝ	祈	1	1	18			祈	単独
859	content	premi	奖	1	1	11			奖	単独
860	content	pres	印	1	4	44			印	基本形
861	content	prez	价	1	2	44			价	基本形
862	content	progres	进	1	2	18			进	基本形
863	content	pun	罚	1	1	28			罚	単独
864	content	rad	轮	1	1	60			轮	単独
865	content	regul	规	1	2	53			规	基本形
866	content	rekomend	荐	1	1	9			荐	単独
867	content	respekt	敬	2	2	15	r	ᴿ	敬ᴿ	頭文字唯一
868	content	ret	网	1	2	64			网	基本形
869	content	rezult	果	3	4	14	r	ᴿ	果ᴿ	頭文字唯一
870	content	rifuz	拒	1	1	6			拒	単独
871	content	rikolt	获	2	2	12	r	ᴿ	获ᴿ	頭文字唯一
872	content	rilat	关	1	2	22			关	基本形
873	content	ripar	修	1	1	9			修	単独
874	content	riproĉ	责	1	1	10			责	単独
875	content	sal	盐	1	1	40			盐	単独
876	content	ŝanc	机	2	4	8	ŝ	ˢ̂	机ˢ̂	頭文字唯一
877	content	sankt	圣	1	2	44			圣	基本形
878	content	sap	皂	1	1	22			皂	単独
879	content	sav	救	1	1	37			救	単独
880	content	scienc	科	1	3	56			科	基本形
881	content	sekret	秘	1	3	20			秘	基本形
882	content	sem	种	1	2	33			种	基本形
883	content	seri	列	2	2	15	s	ˢ	列ˢ	頭文字唯一
884	content	sezon	季	1	1	23			季	単独
885	content	sign	符	1	2	83			符	基本形
886	content	ŝir	裂	1	2	24			裂	基本形
887	content	skatol	盒	1	2	16			盒	基本形
888	content	soif	渴	1	1	9			渴	単独
889	content	soldat	兵	1	1	24			兵	単独
890	content	special	特	1	5	11			特	基本形
891	content	spez	兑	1	1	28			兑	単独
892	content	ŝrank	柜	1	1	20			柜	単独
893	content	strang	奇	1	3	8			奇	基本形
894	content	streĉ	紧	1	1	36			紧	単独
895	content	ŝtrump	袜	1	1	17			袜	単独
896	content	ŝu	鞋	1	2	44			鞋	基本形
897	content	subit	突	1	1	5			突	単独
898	content	sud	南	1	2	28			南	基本形
899	content	sup	汤	1	1	16			汤	単独
900	content	tabul	板	1	5	49			板	基本形
901	content	tas	杯	2	3	7	t	ᵀ	杯ᵀ	頭文字唯一
902	content	tegment	顶	2	4	19	t	ᵀ	顶ᵀ	頭文字唯一
903	content	tol	布	1	2	22			布	基本形
904	content	trem	颤	1	1	24			颤	単独
905	content	tromp	骗	1	2	21			骗	基本形
906	content	tuk	巾	1	1	30			巾	単独
907	content	val	谷	2	2	13	v	ⱽ	谷ⱽ	頭文字唯一
908	content	vang	颊	1	1	20			颊	単独
909	content	viand	肉	2	2	21	v	ⱽ	肉ⱽ	頭文字唯一
910	content	vic	列	1	2	58			列	基本形
911	content	vigl	活	3	3	18	vg	ⱽᴳ	活ⱽᴳ	子音位置1
912	content	viŝ	拭	1	1	16			拭	単独
913	content	vund	伤	1	1	43			伤	単独
914	content	fos	掘	1	1	27			掘	単独
915	content	polur	磨	2	2	13	p	ᴾ	磨ᴾ	頭文字唯一
916	content	ŝarĝ	载	1	1	36			载	単独
917	content	akcident	祸	1	1	10			祸	単独
918	content	aparat	器	3	5	28	a	ᴬ	器ᴬ	頭文字唯一
919	content	arme	军	1	1	18			军	単独
920	content	artikol	文	4	4	7	a	ᴬ	文ᴬ	頭文字唯一
921	content	aspekt	显	1	2	10			显	基本形
922	content	babil	聊	1	1	15			聊	単独
923	content	bank	银	1	2	34			银	基本形
924	content	bier	酒	2	3	20	b	ᴮ	酒ᴮ	同頭文字初出/頭文字単独
925	content	bilet	票	1	3	23			票	基本形
926	content	blind	盲	1	1	18			盲	単独
927	content	ĉap	帽	2	2	16	ĉp	ᶜ̂ᴾ	帽ᶜ̂ᴾ	差分なし+末尾側fallback
928	content	ĉarm	魅	1	1	10			魅	単独
929	content	centr	央	1	2	61			央	基本形
930	content	des	愈	1	1	4			愈	単独
931	content	detru	毁	1	1	13			毁	単独
932	content	difekt	损	1	2	21			损	基本形
933	content	difin	定	2	4	15	d	ᴰ	定ᴰ	同頭文字初出/頭文字単独
934	content	diligent	勤	1	1	10			勤	単独
935	content	diskut	论	2	3	18	d	ᴰ	论ᴰ	頭文字唯一
936	content	divid	分	2	5	28	d	ᴰ	分ᴰ	頭文字唯一
937	content	ekskurs	逛	1	1	7			逛	単独
938	content	ekzamen	检	2	2	31	e	ᴱ	检ᴱ	頭文字唯一
939	content	ekzerc	练	1	1	11			练	単独
940	content	elektr	电	1	4	161			电	基本形
941	content	embaras	窘	1	1	11			窘	単独
942	content	energi	能	2	4	55	e	ᴱ	能ᴱ	頭文字唯一
943	content	epok	纪	1	1	18			纪	単独
944	content	esplor	探	1	1	30			探	単独
945	content	esprim	表	1	4	28			表	基本形
946	content	etaĝ	层	2	2	16	e	ᴱ	层ᴱ	頭文字唯一
947	content	etend	伸	1	1	14			伸	単独
948	content	etern	永	1	1	12			永	単独
949	content	evident	显	2	2	8	e	ᴱ	显ᴱ	頭文字唯一
950	content	evolu	展	1	2	17			展	基本形
951	content	fald	折	1	1	36			折	単独
952	content	fand	熔	1	1	35			熔	単独
953	content	fart	体	3	3	7	f	ᶠ	体ᶠ	頭文字唯一
954	content	favor	利	2	3	28	f	ᶠ	利ᶠ	頭文字唯一
955	content	feri	暇	1	1	7			暇	単独
956	content	fianĉ	婚	1	1	16			婚	単独
957	content	fid	信	3	5	19	f	ᶠ	信ᶠ	頭文字唯一
958	content	figur	形	2	4	28	fg	ᶠᴳ	形ᶠᴳ	子音位置1
959	content	film	影	1	2	44			影	基本形
960	content	flam	焰	1	1	27			焰	単独
961	content	fortik	坚	1	4	17			坚	基本形
962	content	fulm	闪	1	1	27			闪	単独
963	content	glat	滑	2	3	14	ga	ᴳᴬ	滑ᴳᴬ	母音補完/全文字位置2
964	content	grad	度	1	2	30			度	基本形
965	content	ĝu	享	1	1	13			享	単独
966	content	gust	味	1	1	39			味	単独
967	content	haven	港	1	1	14			港	単独
968	content	hezit	犹	1	1	7			犹	単独
969	content	hotel	馆	1	2	7			馆	基本形
970	content	humil	谦	1	2	13			谦	基本形
971	content	humor	情	1	3	18			情	基本形
972	content	jup	裙	1	1	7			裙	単独
973	content	kamarad	伴	2	3	8	kr	ᴷᴿ	伴ᴷᴿ	子音位置2
974	content	karakter	格	1	1	30			格	単独
975	content	kav	洞	1	1	35			洞	単独
976	content	kler	文	3	4	11	k	ᴷ	文ᴷ	頭文字唯一
977	content	komunik	传	1	3	41			传	基本形
978	content	koncern	涉	1	1	8			涉	単独
979	content	kongres	会	1	3	22			会	基本形
980	content	konsider	虑	1	1	13			虑	単独
981	content	konsol	慰	1	1	8			慰	単独
982	content	konstat	确	3	4	3	ks	ᴷˢ	确ᴷˢ	子音位置2
983	content	krud	粗	1	1	22			粗	単独
984	content	kudr	缝	1	1	27			缝	単独
985	content	kurs	课	1	2	26			课	基本形
986	content	kvalit	质	2	3	13	k	ᴷ	质ᴷ	頭文字唯一
987	content	kvant	量	1	1	20			量	単独
988	content	lan	毛	2	2	27	l	ᴸ	毛ᴸ	頭文字唯一
989	content	laŭd	赞	2	3	11	l	ᴸ	赞ᴸ	頭文字唯一
990	content	laŭt	响	3	3	17	l	ᴸ	响ᴸ	頭文字唯一
991	content	litr	升	1	1	7			升	単独
992	content	lu	租	1	2	17			租	基本形
993	content	luks	奢	1	1	10			奢	単独
994	content	magazen	仓	1	1	5			仓	単独
995	content	mantel	披	1	1	13			披	単独
996	content	membr	员	2	2	19	m	ᴹ	员ᴹ	頭文字唯一
997	content	meti	艺	2	2	11	m	ᴹ	艺ᴹ	頭文字唯一
998	content	metr	米	1	3	167			米	基本形
999	content	mild	柔	1	1	9			柔	単独
1000	content	mizer	惨	1	1	8			惨	単独
1001	content	mod	式	2	4	14	md	ᴹᴰ	式ᴹᴰ	子音位置1
1002	content	mor	俗	2	2	6	m	ᴹ	俗ᴹ	頭文字唯一
1003	content	murmur	咕	1	1	6			咕	単独
1004	content	mut	哑	1	1	10			哑	単独
1005	content	nebul	雾	1	1	23			雾	単独
1006	content	nest	巢	1	1	17			巢	単独
1007	content	nud	裸	1	1	22			裸	単独
1008	content	nutr	养	1	4	40			养	基本形
1009	content	odor	气	3	5	26	o	ᴼ	气ᴼ	頭文字唯一
1010	content	oportun	便	1	1	12			便	単独
1011	content	oranĝ	橙	1	1	14			橙	単独
1012	content	organ	器	2	5	59	o	ᴼ	器ᴼ	頭文字唯一
1013	content	origin	源	1	1	10			源	単独
1014	content	ornam	饰	1	2	22			饰	基本形
1015	content	pal	苍	1	1	7			苍	単独
1016	content	plac	场	2	2	3	p	ᴾ	场ᴾ	頭文字唯一
1017	content	plan	划	1	3	43			划	基本形
1018	content	politik	政	1	1	50			政	単独
1019	content	potenc	力	1	1	23			力	単独
1020	content	prezid	主	2	6	13	p	ᴾ	主ᴾ	同頭文字初出/頭文字単独
1021	content	privat	私	1	1	17			私	単独
1022	content	protest	抗	2	3	14	p	ᴾ	抗ᴾ	同頭文字初出/頭文字単独
1023	content	prudent	慎	1	1	12			慎	単独
1024	content	radik	根	1	1	41			根	単独
1025	content	rajd	骑	1	1	24			骑	単独
1026	content	rel	轨	1	1	31			轨	単独
1027	content	reprezent	表	4	4	0	r	ᴿ	表ᴿ	頭文字唯一
1028	content	restoraci	餐	1	2	4			餐	基本形
1029	content	ring	环	1	4	49			环	基本形
1030	content	riz	米	2	3	30	r	ᴿ	米ᴿ	頭文字唯一
1031	content	ruz	狡	1	1	10			狡	単独
1032	content	sabl	沙	1	1	28			沙	単独
1033	content	scen	场	1	2	16			场	基本形
1034	content	sekund	秒	1	1	9			秒	単独
1035	content	sever	严	2	2	7	sv	ˢⱽ	严ˢⱽ	子音位置1
1036	content	signif	意	3	4	15	sg	ˢᴳ	意ˢᴳ	子音位置1
1037	content	sincer	诚	2	2	7	s	ˢ	诚ˢ	頭文字唯一
1038	content	soci	社	1	4	29			社	基本形
1039	content	societ	社	4	4	14	st	ˢᵀ	社ˢᵀ	子音位置2
1040	content	solv	解	2	2	31	s	ˢ	解ˢ	頭文字唯一
1041	content	sonĝ	梦	1	1	15			梦	単独
1042	content	spac	空	1	2	29			空	基本形
1043	content	ŝpar	省	1	3	27			省	基本形
1044	content	stomak	胃	1	1	19			胃	単独
1045	content	ŝtop	堵	1	1	37			堵	単独
1046	content	stult	愚	2	2	5	s	ˢ	愚ˢ	頭文字唯一
1047	content	suk	汁	1	1	26			汁	単独
1048	content	ŝuld	欠	1	3	23			欠	基本形
1049	content	ŝultr	肩	1	1	18			肩	単独
1050	content	supoz	设	1	2	14			设	基本形
1051	content	surpriz	惊	2	2	8	s	ˢ	惊ˢ	頭文字唯一
1052	content	ŝvel	肿	1	1	20			肿	単独
1053	content	ŝvit	汗	1	1	22			汗	単独
1054	content	tabel	表	2	4	24	t	ᵀ	表ᵀ	頭文字唯一
1055	content	taks	评	1	4	24			评	基本形
1056	content	task	务	2	2	13	t	ᵀ	务ᵀ	頭文字唯一
1057	content	tem	题	1	3	11			题	基本形
1058	content	titol	题	2	3	11	tt	ᵀᵀ	题ᵀᵀ	子音位置1
1059	content	toler	忍	1	2	20			忍	基本形
1060	content	tomb	墓	1	1	17			墓	単独
1061	content	tondr	雷	1	1	9			雷	単独
1062	content	traduk	译	1	2	23			译	基本形
1063	content	tur	塔	1	1	30			塔	単独
1064	content	urĝ	急	1	1	23			急	単独
1065	content	valiz	箱	2	2	4	v	ⱽ	箱ⱽ	頭文字唯一
1066	content	van	徒	1	1	12			徒	単独
1067	content	ventr	腹	1	1	20			腹	単独
1068	content	verŝ	浇	1	1	24			浇	単独
1069	content	zon	带	1	4	43			带	基本形
1070	content	abon	订	1	2	24			订	基本形
1071	content	admir	佩	1	1	11			佩	単独
1072	content	asoci	联	1	3	11			联	基本形
1073	content	baz	基	1	4	47			基	基本形
1074	content	bibliotek	库	2	3	5	b	ᴮ	库ᴮ	頭文字唯一
1075	content	bicikl	车	3	6	11	b	ᴮ	车ᴮ	同頭文字初出/頭文字単独
1076	content	boat	舟	1	1	26			舟	単独
1077	content	butik	店	1	1	25			店	単独
1078	content	ced	让	1	1	22			让	単独
1079	content	cerb	脑	1	1	33			脑	単独
1080	content	disting	辨	1	1	16			辨	単独
1081	content	ekonomi	经	1	2	33			经	基本形
1082	content	ekstrem	极	1	3	21			极	基本形
1083	content	ekvilibr	衡	2	2	19	e	ᴱ	衡ᴱ	頭文字唯一
1084	content	escept	除	1	2	8			除	基本形
1085	content	esenc	质	3	3	11	e	ᴱ	质ᴱ	頭文字唯一
1086	content	fabrik	厂	1	2	22			厂	基本形
1087	content	fervor	热	4	4	8	f	ᶠ	热ᶠ	頭文字唯一
1088	content	fleks	弯	1	1	27			弯	単独
1089	content	funkci	功	1	1	34			功	単独
1090	content	gratul	贺	1	1	6			贺	単独
1091	content	hospital	医	3	3	11	h	ᴴ	医ᴴ	頭文字唯一
1092	content	ideal	想	3	3	7	id	ᴵᴰ	想ᴵᴰ	子音位置1
1093	content	influ	化	2	3	7	i	ᴵ	化ᴵ	頭文字唯一
