類型	層A	語A	面A	層B	語B	面B
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	naciismo	族主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	narkotismo	麻ᴺ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	naturismo	然主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	neu^tralismo	中ᴺ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	nihilismo	无ᴺᴴ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	nomadismo	牧ᴺ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	nominalismo	名ᴺᴺ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	nudismo	裸主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	okultismo	秘ᴼ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	oportunismo	便主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	optimisma	乐ᴼᴾ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	organismo	器ᴼ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	orientalismo	东ᴼᴸ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	pacifismo	和ᴾᶠ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	pacismo	和主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	paganismo	异ᴾ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	paralelismo	并主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	parlamentismo	议ᴾᴸ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	paroksisma	极ᴾᴷ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	partikularismo	私ᴾᵀ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	pesimisma	悲ᴾ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	pietismo	敬ᴾᵀ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	planismo	划主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	plumbismo	铅主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	plurdiismo	多ᴾᴿ神主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	plurismo	多ᴾᴿ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	popolismo	民主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	pozitivismo	正ᴾ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	pragmatismo	实ᴾ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	protektismo	护ᴾ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	provincismo	省ᴾ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	purismo	纯主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	raciismo	理ᴿ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	racionalismo	理ᴿᴺ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	radikalismo	彻主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	rasismo	种ᴿ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	realisma	实主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	regionismo	区主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	relativisma	相主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	reviziismo	审主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	rigorismo	严ᴿ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	ritismo	仪主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	rojalismo	王ᴿᴶ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	rutinismo	惯主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	s^amanismo	巫ˢ̂主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	s^intoismo	神道主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	s^tatismo	国ˢ̂主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	satanismo	魔ˢᵀ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	saturnismo	土ˢᵀ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	sciencismo	科主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	seksismo	性ˢ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	sektismo	派ˢ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	sendiismo	无神主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	sensismo	感ˢˢ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	silogismi	论ˢ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	simbolismo	符ˢᴹ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	sindikatismo	盟主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	sinkretismo	混ˢ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	skemismo	图ˢ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	skeptikismo	疑ˢᴷ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	sklavismo	奴主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	skoltismo	侦主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	socialisma	社ˢᴸ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	spiritisma	灵主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	spiritualismo	灵ˢᴸ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	stoikismo	忍ˢ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	strabismo	斜ˢ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	strukturismo	构主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	terorismo	怖主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	totalismo	总ᵀ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	tradiciismo	统主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	trau^matismo	创ᵀ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	tropismo	向ᵀ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	universalismo	普ᵁ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	unudiismo	一神主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	utilismo	益主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	veganismo	素ⱽᴺ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	vegetalismo	植ⱽ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	vegetarismo	素ⱽ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	vitalismo	命ⱽ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	vulgarismo	俗ⱽ主义
高重複(恣意的)	PEJVO	deismo	神主义ᴰ	PEJVO	zenismo	禅主义
高重複(恣意的)	PEJVO	demokratismo	民ᴰᴱ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	demokratismo	民ᴰᴱ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	demonismo	魔ᴰᴹ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	demonismo	魔ᴰᴹ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	determinismo	定ᴰᵀ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	determinismo	定ᴰᵀ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	diismo	神主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	diismo	神主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	diletantismo	好ᴰ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	diletantismo	好ᴰ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	dinamismo	力ᴰᴵ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	dinamismo	力ᴰᴵ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	diodo	二极管	PEJVO	duontubo	二分管
高重複(恣意的)	PEJVO	disgrajnigi	散粒ᴳ使	PEJVO	gama-diserig^o	gama-散粒成
高重複(恣意的)	PEJVO	diskrediti	散信受	PEJVO	dissendita	散送受
高重複(恣意的)	PEJVO	diskrediti	散信受	PEJVO	distau^zita	散揉ᵀ受
高重複(恣意的)	PEJVO	drakonismo	严ᴰ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	drakonismo	严ᴰ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	egoisma	吾主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	egoisma	吾主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	ekologiisto	境ᴱ学ᴸᴳ家	PEJVO	genealogo	系ᴳ学家
高重複(恣意的)	PEJVO	ekologiisto	境ᴱ学ᴸᴳ家	PEJVO	mineralogo	矿ᴹᴵ学家
高重複(恣意的)	PEJVO	ekologo	境ᴱ学家	PEJVO	estetikisto	美学家
高重複(恣意的)	PEJVO	ekologo	境ᴱ学家	PEJVO	gimnastikisto	操ᴳᴵ学ᴵ家
高重複(恣意的)	PEJVO	ekologo	境ᴱ学家	PEJVO	kemiisto	化学家
高重複(恣意的)	PEJVO	ekologo	境ᴱ学家	PEJVO	matematikisto	数学家
高重複(恣意的)	PEJVO	ekologo	境ᴱ学家	PEJVO	optikisto	光学家
高重複(恣意的)	PEJVO	ekspansiismo	膨ᴱ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	ekspansiismo	膨ᴱ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	eksperimentismo	验ᴱ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	ekspresionismo	表ᴱᴷ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	ekspresionismo	表ᴱᴷ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	ekstremismo	极主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	ekstremismo	极主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	ekvilibrismo	衡主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	ekvilibrismo	衡主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	ekzotismo	异ᴱ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	ekzotismo	异ᴱ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	elektrismo	电主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	elektrismo	电主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	empiriismo	验ᴱᴹ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	empiriismo	验ᴱᴹ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	empirismo	验ᴱᴾ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	empirismo	验ᴱᴾ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	energiismo	能ᴱ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	energiismo	能ᴱ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	ependimito	室膜炎ᵀ	PEJVO	meninginflamo	脑膜炎ᴵ
高重複(恣意的)	PEJVO	esoterismo	秘ᴱ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	esoterismo	秘ᴱ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	esprimismo	表ᴱˢ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	esprimismo	表ᴱˢ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	estetikisto	美学家	PEJVO	genealogo	系ᴳ学家
高重複(恣意的)	PEJVO	estetikisto	美学家	PEJVO	geologo	地ᴳ学家
高重複(恣意的)	PEJVO	estetikisto	美学家	PEJVO	meteologo	气ᴹ学家
高重複(恣意的)	PEJVO	estetikisto	美学家	PEJVO	mineralogo	矿ᴹᴵ学家
高重複(恣意的)	PEJVO	evoluismo	展主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	evoluismo	展主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	federismo	联ᶠᴱ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	federismo	联ᶠᴱ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	fenomenismo	现ᶠ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	fenomenismo	现ᶠ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	feu^dismo	封ᶠ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	feu^dismo	封ᶠ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	fleso	比目鱼ᶠ	PEJVO	pleu^ronektedoj	比目鱼科ᴱ
高重複(恣意的)	PEJVO	fonetismo	音ᶠᴼ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	fonetismo	音ᶠᴼ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	fundamentismo	基ᶠ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	fundamentismo	基ᶠ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	futurismo	未主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	futurismo	未主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	galvanismo	电ᴳ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	galvanismo	电ᴳ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	genealogo	系ᴳ学家	PEJVO	gimnastikisto	操ᴳᴵ学ᴵ家
高重複(恣意的)	PEJVO	genealogo	系ᴳ学家	PEJVO	kemiisto	化学家
高重複(恣意的)	PEJVO	genealogo	系ᴳ学家	PEJVO	matematikisto	数学家
高重複(恣意的)	PEJVO	genealogo	系ᴳ学家	PEJVO	optikisto	光学家
高重複(恣意的)	PEJVO	geofiziko	地ᴳ物理	PEJVO	teraj^isto	地物家
高重複(恣意的)	PEJVO	geologo	地ᴳ学家	PEJVO	gimnastikisto	操ᴳᴵ学ᴵ家
高重複(恣意的)	PEJVO	geologo	地ᴳ学家	PEJVO	kemiisto	化学家
高重複(恣意的)	PEJVO	geologo	地ᴳ学家	PEJVO	matematikisto	数学家
高重複(恣意的)	PEJVO	geologo	地ᴳ学家	PEJVO	optikisto	光学家
高重複(恣意的)	PEJVO	geologo	地ᴳ学家	PEJVO	teraj^isto	地物家
高重複(恣意的)	PEJVO	geologo	地ᴳ学家	PEJVO	terkultivisto	地栽家
高重複(恣意的)	PEJVO	geologo	地ᴳ学家	PEJVO	terkulturisto	地耕家
高重複(恣意的)	PEJVO	geologo	地ᴳ学家	PEJVO	terlaboristo	地劳家
高重複(恣意的)	PEJVO	geologo	地ᴳ学家	PEJVO	termezuristo	地测家
高重複(恣意的)	PEJVO	geometredoj	地ᴳ测ᴹᴱ科ᴱ	PEJVO	termezuristo	地测家
高重複(恣意的)	PEJVO	gigantismo	巨ᴳ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	gigantismo	巨ᴳ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	gimnastikisto	操ᴳᴵ学ᴵ家	PEJVO	meteologo	气ᴹ学家
高重複(恣意的)	PEJVO	gimnastikisto	操ᴳᴵ学ᴵ家	PEJVO	mineralogo	矿ᴹᴵ学家
高重複(恣意的)	PEJVO	grafismo	记ᴳ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	grafismo	记ᴳ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	grosujo	醋栗ᴳ器	PEJVO	riblikvoro	醋栗酒ᴸ
高重複(恣意的)	PEJVO	h^oraj^o	合唱物	PEJVO	korusano	合唱ᴷ员
高重複(恣意的)	PEJVO	h^oraj^o	合唱物	PEJVO	korusejo	合唱ᴷ所
高重複(恣意的)	PEJVO	h^orejo	合唱所	PEJVO	korusano	合唱ᴷ员
高重複(恣意的)	PEJVO	h^orestro	合唱长ᴱ	PEJVO	korusano	合唱ᴷ员
高重複(恣意的)	PEJVO	h^orestro	合唱长ᴱ	PEJVO	korusejo	合唱ᴷ所
高重複(恣意的)	PEJVO	heroismo	杰主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	heroismo	杰主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	hidrargismo	汞主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	hidrargismo	汞主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	hirudo	吸血虫	PEJVO	vampiro	吸血鬼
高重複(恣意的)	PEJVO	humanisma	仁主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	humanisma	仁主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	ideismo	意主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	ideismo	意主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	idiotismo	愚ᴵ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	idiotismo	愚ᴵ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	idolkulto	偶像拜ᴷ	PEJVO	ikonadoro	圣像拜
高重複(恣意的)	PEJVO	iluminismo	照ᴵ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	iluminismo	照ᴵ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	imanentismo	内ᴵᴹ主义	PEJVO	imperialismo	帝主义
高重複(恣意的)	PEJVO	imanentismo	内ᴵᴹ主义	PEJVO	provincialismo	省主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	individuismo	个主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	industriismo	业主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	infanismo	童主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	inflaciismo	胀ᴵ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	intelektismo	智ᴵ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	karierismo	职ᴷ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	katastrofismo	灾主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	kavalirismo	士主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	klasikismo	典主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	klerismo	文主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	koloniismo	殖主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	komunisma	共ᴷᴹ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	konformismo	合ᴷᴺ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	konservativismo	存ᴷᵀ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	kontingencismo	偶ᴷ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	kooperativismo	协主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	kosmopolitismo	泛主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	kretenismo	痴ᴷ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	kritikismo	评ᴷ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	kubismo	方ᴷ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	kvietismo	静ᴷ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	lakonismo	简ᴸ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	libertinismo	荡ᴸ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	limfatismo	淋ᴸᵀ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	lirikismo	抒主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	lirismo	琴ᴸ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	lokismo	处主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	magnetismo	磁主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	manierismo	式主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	mas^inismo	机主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	materiismo	质ᴹ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	mediumismo	媒ᴹ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	mekanikismo	械主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	meteorismo	陨主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	metodismo	法ᴹ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	militarismo	军ᴹ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	militismo	战主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	mistikismo	秘ᴹ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	moderismo	适ᴹ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	modernismo	现ᴹ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	monismo	单ᴹᴼ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	naciismo	族主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	narkotismo	麻ᴺ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	naturismo	然主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	neismo	不主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	nomadismo	牧ᴺ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	nudismo	裸主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	okultismo	秘ᴼ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	oportunismo	便主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	optimisma	乐ᴼᴾ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	organismo	器ᴼ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	pacifismo	和ᴾᶠ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	pacismo	和主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	paganismo	异ᴾ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	parlamentismo	议ᴾᴸ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	paroksisma	极ᴾᴷ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	partikularismo	私ᴾᵀ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	paseismo	过ᴾᴱ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	pesimisma	悲ᴾ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	pietismo	敬ᴾᵀ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	planismo	划主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	plumbismo	铅主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	plurismo	多ᴾᴿ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	pozitivismo	正ᴾ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	pragmatismo	实ᴾ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	protektismo	护ᴾ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	provincismo	省ᴾ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	purismo	纯主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	raciismo	理ᴿ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	rasismo	种ᴿ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	regionismo	区主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	relativisma	相主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	reviziismo	审主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	rigorismo	严ᴿ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	ritismo	仪主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	rutinismo	惯主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	s^amanismo	巫ˢ̂主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	s^tatismo	国ˢ̂主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	satanismo	魔ˢᵀ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	saturnismo	土ˢᵀ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	sciencismo	科主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	seksismo	性ˢ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	sektismo	派ˢ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	sensismo	感ˢˢ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	silogismi	论ˢ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	sindikatismo	盟主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	sinkretismo	混ˢ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	skemismo	图ˢ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	skeptikismo	疑ˢᴷ主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	sklavismo	奴主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	skoltismo	侦主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	spiritisma	灵主义
高重複(恣意的)	PEJVO	imperialismo	帝主义	PEJVO	stoikismo	忍ˢ主义
