char	root	band	gloss
脐	umbilik	pejvo	へその
腾	sor	pejvo	［自］【空】（気流に乗って）上昇する,舞い上がる,=suprenglisi
舀	c^erp		{Ｂ}［他］汲む（くむ）,くみ取る;《転》引き出す
苇	kan	pejvo	{Ｏ}《般》アシ,ヨシ,トウ,サトウキビの類,>>fragmito,>>rotango;（アシ・トウのような軽量中空の）茎,棒;つえ,さお,むち
茬	stopl	pejvo	{Ｏ}【農】（穀物を刈り取った後の）切株,刈株
荔	lic^i	piv	【植】【PIV】1 G. (Genro) (Litchi el sapindacoj) de nur unu sp. (L. chinensis) k 3 subsp-oj de poligamiaj arboj k arbetoj hej
荧	luminesk	pejvo	［自］【理】冷光を発する
莺	silvi	pejvo	{Ｏ}【鳥】オナガムシクイ（尾長虫喰）（属）
萤	lampir	pejvo	{Ｏ}【虫】ツチボタル（属）,>>lumvermo;（一般に）ホタル（蛍）,>>luciolo
虽	kvankam	func	(語釈なし)
蜕	mud	piv	【動】【PIV】S^ang^ig^o de hau^to au^ de hau^ta produktaj^o (karapaco, haroj, korno k.a. (kaj aliaj)). Vd metamorfozo.
蝇	mus^		【菌】=mus^fungo（ベニテングタケ）
袜	s^trump		{Ｂ}【服】長靴下,ストッキング
讥	rikan	pejvo	{Ｏ}［自］冷笑する,せせら笑う,にやにや笑う,>>mokridi,>>ridac^i
讹	c^antag^	pejvo	［他］強請る（ゆする）,恐喝する
识	kogn	piv	【哲】【PIV】(tr (transitiva)) Rekoni, percepti, kapti (veron) helpe de logika konkludado, au^ asiste de genia intuicio (Plat
误	mis	pref	間違った,失敗の,不当な
诵	deklam	pejvo	朗読コンクール
谍	spion	pejvo	スパイ小説
谓	predikat	pejvo	述部の,述語の
谣	klac^		{Ｏ}［自］悪口をいいふらす,陰口をきく,悪いうわさ話をする
谱	spektr	pejvo	スペクトルの
贫	povr	pejvo	《詩》=kompatinda（哀れな）;=malric^a（貧しい）
贯	koher	pejvo	{Ｏ}（論理が）首尾一貫した,筋道の通った,まとまりのある;【理】凝集した;【理】（光が）干渉性の,コヒーレントな
贿	korupt	pejvo	汚職事件
赖	lizin	piv	【化】【PIV】Aminacido, NH 2 -(CH 2) 4-CH(NH 2)-COOH, unu el la 20 c^efaj aminacidoj de la proteinoj, esenca por la homo; sim
赚	lukr	piv	【PIV】(tr (transitiva)) Perlabori: li lukras dolarojn po mil en semajno; kiom vi lukras?; li estas la lukranto de la tuta
踢	kalcitr	pejvo	［自］（馬などが）後脚で蹴上げる;《転》頑強に抵抗する
踱	ambl	pejvo	［自］【馬】側対歩で進む,>>galopi,>>troti
躺	kus^		横たわった
载	s^arg^		積荷の;《転》重荷の
轿	palanken	pejvo	{Ｏ}（中国やインドの）かご,こし
辉	efluv	pejvo	【電】グロー放電管
辐	spok	pejvo	【機】（車輪の）スポーク,=radradio,=dratradio
输	transfuz	pejvo	輸血する
这	jen	func	次の,次のような,以下の,下記の
违	delikt	pejvo	【法】違反,違犯,軽犯罪,>>krimo
迟	tard	pejvo	《詩》=malfrua（遅い）
酱	sau^c		［他］ソースをかける
鉴	ekspertiz	pejvo	［他］鑑定する,査定する
钙	kalci	elem	【化】塩化カルシウム
钢	s^tal		鋼鉄製の,鋼鉄の;はがね色の,鋼青色の;《転》鋼のような,強靱（きょうじん）な,非情な
钾	kali	elem	【化】シアン化カリウム,青酸カリ
铭	deviz	pejvo	{Ｏ}標語,モットー,座右の銘;（紋章の）題銘;【経】外国為替
铸	gis	pejvo	［他］【機】鋳造する,=muldi
锄	rastr	piv	【PIV】Fosilo kun triangula ferplato fiksita akutangule al la tenilo.
锚	ankr	pejvo	［他］錨をおろす;【空】（気球を）係留する
锣	tamtam	pejvo	［自］タムタムを打ち鳴らす;《転》鳴り物入りで宣伝する
锦	brok	pejvo	［他］紋織りにする,錦織りにする
锰	mangan	elem	{Ｏ}【化】マンガン（原子番号２５の金属元素）
锻	forg^		{Ｂ}［他］鍛える,鍛造する;《転》鍛錬する,鍛え上げる
镐	pioc^		［他］つるはしで掘る
间	inter	prep	間の,中間の
闷	brez	piv	【PIV】(tr (transitiva)) Kuiri per milda fajro, sen elvaporig^o, por ke la kuiraj^o konservu c^iujn siajn sukojn k brunig^
闸	kluz	pejvo	［他］（船を）開門して通過させる
阀	valv	pejvo	【機】弁,バルブ;（タイヤの）チューブバルブ;【電】整流管;【生】弁;【動】（二枚貝の）殻片
阴	katod	pejvo	【理】カソード,陰極,><anodo
阵	falang	pejvo	{Ｏ}【軍】（古代ギリシアの）密集方陣,ファランクス;【解】指節骨（しせっこつ）
陨	meteor	pejvo	【天】流星雨
霉	s^im	pejvo	カビの;かびた,カビの生えた
页	pag^		{Ｂ}【印】ページ,紙面,誌面;《転》（歴史上の）事件,時期,（作品の）一節
顺	rezignaci	pejvo	甘受して,あきらめきって
须	end	suf	［他］（無主語）〜されるべきである（不定法動詞を目的語に取る）
顾	retrospektiv	pejvo	回顧的な,過去を振り返る
频	frekvenc	sci	【統】度数分布
颖	glum	pejvo	【植】包穎（ほうえい）
饲	furag^		［自］飼料を集める
饺	raviol	pejvo	【PIV】Malgrandaj pastaj^oj, farc^itaj diversmaniere, plejofte per viando muelita k spicita, kiujn oni prezentas kun sau^c
馏	distil	pejvo	{Ｏ}［他］【化】蒸留する
驮	ferut	piv	【PIV】Transporti kamionojn au^ remorkojn sur fervojaj vagonoj.
驰	galop	pejvo	ギャロップで,全速力で
驻	rezid	pejvo	【情】常駐の
骂	sakr	pejvo	［自］ののしる,悪態をつく,>>blasfemi
鲜	fres^		{Ｂ}生き生きした,若々しい;新鮮な,生の;真新しい,最新の
鲨	s^ark		{Ｏ}【魚】サメ（鮫）,フカ（鱶）（の類）;《転》強欲な人
鳞	skvam	pejvo	うろこで覆われた
