# 優先順位(層順)包括監査 v3 台帳  CSV2890(t0)>PEJVO(t1)>PIV(t2) を独立ground-truthで検証
# tier: CSV2890=CSVを独立照合 / PEJVO・PIV=学術版原本の行位置+【PIV】タグ (band非依存)
# base=min band_rank は C=br*1000+P で構造保証。逆転はband誤ラベル/意図的override時のみ。
# CSV2890照合: rows=2890 matched=2799(96.9%) 語根=2695 未照合rows=91

## [A] 層順逆転(bare.tier より高優先=小tierのメンバーが非base) = 全38件
#   NEW=0(0が必須=未説明の違反) / base_override=19(意図) / ratified現状維持=19(既知20群)
groupkey	base	base_tier	高優先メンバー(逆転相手)	分類
傲	arog	1=PEJVO	arogant(t0=CSV2890)	base_override
千足	kilopod	2=PIV	skolopendr(t1=PEJVO)	base_override
厘	centi	1=PEJVO	centimetr(t0=CSV2890)	base_override
咏	c^ant	2=PIV	psalm(t1=PEJVO);kantik(t1=PEJVO)	ratified
哲	filozof	1=PEJVO	filozofi(t0=CSV2890)	base_override
喂	ho	1=PEJVO	he(t0=CSV2890)	base_override
拍型	fototip	2=PIV	fototipi(t1=PEJVO)	ratified
振具	vibrator	2=PIV	oscilator(t1=PEJVO)	ratified
旋	gir	2=PIV	pivot(t1=PEJVO);spiral(t1=PEJVO);rotaci(t1=PEJVO);turb(t1=PEJVO);giro(t1=PEJVO);ciklon(t1=PEJVO);piruet(t1=PEJVO)	ratified
架	rak	2=PIV	trus(t1=PEJVO);stabl(t1=PEJVO);c^arpent(t1=PEJVO);skafald(t1=PEJVO);c^asi(t1=PEJVO)	ratified
梗	infarkt	2=PIV	pedunkl(t1=PEJVO)	ratified
榕	fikus	2=PIV	sikomor(t1=PEJVO)	base_override
毫	mili	1=PEJVO	milimetr(t0=CSV2890)	base_override
气计	gasmetr	2=PIV	aerometr(t1=PEJVO);gasometr(t1=PEJVO)	ratified
水苏	staki	2=PIV	betonik(t1=PEJVO)	base_override
渗计	osmozmetr	2=PIV	osmozometr(t1=PEJVO)	ratified
爬虫	sau^r	2=PIV	reptili(t1=PEJVO)	base_override
猴	ceb	2=PIV	makak(t1=PEJVO);pavian(t1=PEJVO);orangutang(t1=PEJVO)	base_override
皮翅	dermapter	2=PIV	forfikul(t1=PEJVO)	base_override
相关	korelaci	2=PIV	korelativ(t1=PEJVO)	ratified
眼镜蛇	kobr	2=PIV	aspid(t1=PEJVO)	base_override
硫	sulf	2=PIV	sulfur(t1=PEJVO)	ratified
神经学	nervologi	2=PIV	neu^rologi(t1=PEJVO)	ratified
秧鸡	ral	2=PIV	fulik(t1=PEJVO);galinol(t1=PEJVO);galinul(t1=PEJVO)	base_override
胃炎	gastrit	2=PIV	stomakit(t1=PEJVO)	ratified
胖	obez	2=PIV	korpulent(t1=PEJVO)	ratified
胚源	embrigenez	2=PIV	embriogenez(t1=PEJVO)	ratified
脉炎	flebit	2=PIV	vejnit(t1=PEJVO)	ratified
色计	kolormetr	2=PIV	kolorometr(t1=PEJVO)	ratified
苔植	brifit	2=PIV	briofit(t1=PEJVO)	ratified
茅	espart	2=PIV	alf(t1=PEJVO)	base_override
菌学	mikologi	2=PIV	bakteriologi(t1=PEJVO)	ratified
蔓	sarment	2=PIV	lian(t1=PEJVO)	base_override
蛾	mote	2=PIV	hermini(t1=PEJVO);bombiks(t1=PEJVO)	base_override
蠕	helmint	2=PIV	trikin(t1=PEJVO)	base_override
金丝燕	salangan	2=PIV	apus(t1=PEJVO);cipsel(t1=PEJVO)	base_override
香脂	ladan	2=PIV	mirh(t1=PEJVO)	base_override
高测	altometri	2=PIV	hipsometri(t1=PEJVO)	ratified

## [B] CSV2890語根の band誤ラベル(br0でない=優先度喪失の温床) = 39件(うち非bare=20)
#   CSV2890は band∈basic/suf/pref/prep/correl/num/func(br0) が正。bare=True(単独/基本形)なら無害・
#   bare=False(非基本形)は同綴群で下位語にbaseを譲っている可能性。
#   ★点検済(3回): 2026-07-19 第21回④ / 2026-07-21 第26回③ / 2026-08-01 第28レンズ。
#     3回とも同一の分類に到達 = 無害bare19 / 中心義がbase側にある正常な従属9 /
#     七曜7(日月火水木金土は day/moon/fire/water/wood/gold/earth に譲るのが正) /
#     照合の誤マッチ3(kvi←kvin・tam←tamen・pseu^d←pseŭdo-) / 要検討1(ve=哀)。
#     『要点検』の再掘り起こしは不要。ve/哀 のみ §14.2.1 の裁定対象。
root	band	tier	bare?	groupkey	Unified_Level
cigar	pejvo	PEJVO	False	烟	9.0
citron	pejvo	PEJVO	False	果	7.9
dimanĉ	cal	PEJVO	False	日	3.77
gitar	pejvo	PEJVO	False	琴	8.79
ju	pejvo	PEJVO	False	越	6.83
kvi	piv	PIV	False	静	1.77
lund	cal	PEJVO	False	月	3.77
mard	cal	PEJVO	False	火	3.77
merkred	cal	PEJVO	False	水	3.77
nj	pejvo	PEJVO	False	女	7.33
plur	pejvo	PEJVO	False	多	5.83
pseu^d	pejvo	PEJVO	False	伪	8.79
sabat	cal	PEJVO	False	土	3.77
sekc	sci	PEJVO	False	切	9.0
taksi	pejvo	PEJVO	False	车	8.79
tam	piv	PIV	False	草	1.77
ve	pejvo	PEJVO	False	哀	8.79
vendred	cal	PEJVO	False	金	3.77
violon	pejvo	PEJVO	False	琴	8.9
ĵaŭd	cal	PEJVO	False	木	3.77
april	cal	PEJVO	True	四月	3.77
aŭgust	cal	PEJVO	True	八月	3.77
bronz	pejvo	PEJVO	True	青铜	8.9
decembr	cal	PEJVO	True	十二月	3.77
februar	cal	PEJVO	True	二月	3.77
ha	pejvo	PEJVO	True	啊	5.67
ho	pejvo	PEJVO	True	喂	5.67
januar	cal	PEJVO	True	一月	3.77
juli	cal	PEJVO	True	七月	3.77
juni	cal	PEJVO	True	六月	3.77
kilogram	piv	PEJVO	True	千克	6.0
maj	cal	PEJVO	True	五月	3.77
mart	cal	PEJVO	True	三月	3.77
mikrofon	piv	PEJVO	True	微声	8.79
novembr	cal	PEJVO	True	十一月	3.77
nu	pejvo	PEJVO	True	嘿	1.77
oktobr	cal	PEJVO	True	十月	3.77
septembr	cal	PEJVO	True	九月	3.77
telefon	piv	PEJVO	True	远声	5.83

## [C] band=piv だが真PEJVO(<=44440・PIVタグ無) = 824件 (★内訳: 隙間充填規約=P=5センチネル 818件 / 真の誤ラベル 6件)
#   ★大半は『誤ラベル』ではない。仕様書L28『隙間充填で後から追加する語根は出典がPEJVO領域でも
#     一律 band=piv』+ L29『P=5 を手動固定』という規約どおりの姿(2026-08-01 第28レンズで確定)。
#   真の誤ラベル(P≠5)のみ: bari, ele, nomenklatur, ro, sargas, transit
#   bare列=その語が漢字群のbare基本形か(Trueなら真PEJVO語が正しくbare保持=無害)
root	行	groupkey	bareか
mitomani	25757	神话狂	True
mitrit	25765	冠炎	True
mjelit	25782	髓炎	True
mobiliz	25789	动化	True
monism	26014	单主义	True
monogami	26026	单配	True
monografi	26027	单志	True
monogram	26028	单字	True
monokristal	26030	单晶	True
monokromat	26031	单色	True
monolit	26035	单石	True
monolog	26037	单话	True
monomani	26039	单狂	True
monoplan	26041	单划	True
monoteism	26053	单神主义	True
monoteist	26054	单神家	True
monoton	26055	单调	True
morfologi	26179	形学	True
morkel	26186	菌	False
mukoz	26354	粘症	True
muren	26459	鱼	False
naturalism	26760	自然主义	True
naturalist	26761	自然家	True
naturaliz	26762	自然化	True
nekrolog	27173	死志	True
neolitik	27251	新石学	True
neu^ralgi	27426	神经痛	True
neu^rasteni	27427	神经弱	True
neu^rokirurgi	27428	神经外科	True
neu^rologi	27429	神经学	False
neu^ropter	27430	神经翅	True
neu^roz	27431	神经症	True
neu^tron	27458	中子	False
nihilism	27550	无主义	True
nihilist	27551	无家	True
nimfomani	27583	精狂	True
nitrat	27596	氮盐	True
nitrid	27597	氮化	True
nitrit	27598	氮盐	False
nitrogen	27604	氮生	True
nomenklatur	27713	命名	True
nukleon	27949	核子	True
numerator	27975	号具	True
oceanografi	28112	洋志	True
oftalmit	28186	目炎	True
oftalmologi	28187	目学	True
oftalmolog	28188	目学家	True
oksigen	28273	氧生	True
ondometr	28441	波计	True
ontogenez	28474	在源	True
ontologi	28476	存在学	True
optimism	28553	乐主义	True
optimist	28555	乐家	True
organism	28674	器主义	True
orientalism	28709	东主义	True
orientalist	28710	东家	True
orientologi	28730	东学	True
orientolog	28731	东学家	True
origan	28732	香草	False
orkidit	28767	丸炎	True
ornitologi	28792	鸟学	True
ornitolog	28793	鸟学家	True
ornitorink	28794	鸟嘴	True
ortogenez	28817	直源	True
ortokromat	28819	直色	True
ortopter	28823	直翅	True
oscilator	28834	振具	False
oscilograf	28838	振记	True
osciloskop	28839	振镜	True
osmozometr	28846	渗计	False
ostologi	28863	骨学	True
otit	28877	耳炎	True
otorinolaringologi	28879	耳鼻喉学	True
pacifism	28936	和主义	True
pacifist	28937	和家	True
pagr	29008	鱼	False
paleografi	29071	古志	True
paleograf	29072	古记	True
paleolitik	29073	古石学	True
paleontologi	29074	古学	False
paleontolog	29075	古学家	False
palisandr	29089	木	False
pankromat	29162	全色	True
panteism	29181	全神主义	True
panteist	29182	全神家	True
paralelogram	29312	并图	True
parazitologi	29342	寄生学	True
paroksism	29425	极主义	True
patogen	29623	病生	True
patologi	29624	病学	True
patolog	29626	病学家	True
patri	29650	父	False
pedofili	29730	童爱	True
pedologi	29731	童学	True
penicili	29827	菌	False
pentametr	29865	五米	True
periheli	29965	围日	True
perikardi	29966	围心	False
perikard	29967	围心	True
perimetr	29970	围测	True
periost	29981	围骨	True
periskop	29983	围镜	True
perkolat	29991	浸被	True
permanganat	30019	过锰盐	True
peroksid	30039	过氧化	True
pesimism	30127	悲主义	True
pesimist	30129	悲家	True
pietism	30263	敬主义	True
pirheliometr	30403	火日计	True
piroelektr	30406	火电	True
piromagnet	30410	火磁	True
piroteknik	30413	火技	True
piroz	30414	火ᴾ症ᴼ	True
pistil	30429	捣具	True
planimetri	30492	平测	True
pleu^rit	30687	胸膜炎	True
pneu^moni	30948	肺	False
polarimetr	31011	极计	True
polariz	31012	极化	True
polenoz	31032	粉症	True
polifoni	31053	多声	True
poligami	31055	多配	True
poliklinik	31059	多诊	True
polimer	31064	多链节	True
poliomjelit	31069	灰髓炎	True
polipoz	31072	息肉症	True
politeism	31074	多神主义	True
politeist	31075	多神家	True
politeknik	31076	多技	True
politolog	31107	政学家	True
pomologi	31182	苹学	True
popl	31211	柳	False
pore	31284	葱	False
pornografi	31306	淫志	True
postulat	31459	求被	True
predikativ	31688	谓能	True
prestidigitator	31842	戏法员	True
prolog	32285	前话	True
protokanajl	32427	原恶棍	True
proton	32431	质子子	True
protoplasm	32432	原浆	True
prototip	32433	原型	True
provincialism	32464	省主义	True
pseu^donim	32564	伪名	True
psikolog	32586	心学家	True
psikoz	32590	心症	True
radiestez	32891	射感	True
radioaktiv	32914	射活	True
radiofoni	32928	射声	False
radiofon	32929	射声	True
radiofotografi	32930	射拍志	True
radiograf	32934	射记	True
radiografi	32935	射志	True
radiogram	32937	射图	True
radiologi	32940	射学	True
radiolog	32941	射学家	True
radiometr	32942	射计	True
radioskopi	32947	射镜	True
radioterapi	32955	射疗	True
rapidometr	33088	速计	True
recit	33257	再引	True
referat	33306	报被	True
refleksologi	33319	反射学	True
reformator	33337	再形员ᴬᵀ	True
refraktometr	33352	折计	True
regulator	33448	规具	True
rektumoskopi	33597	直肠镜	False
rektumoskop	33598	直肠镜	True
renom	33736	再名	True
reologi	33761	流学	True
reostat	33764	流态	True
resonator	33819	再声具ᴬ	True
retus^	33979	再触	True
reu^matism	33991	风湿主义	True
rezultat	34111	果被	True
ro	34413	木	False
rojalism	34428	王主义	True
rojalist	34429	王党者	True
rosmaren	34556	香草	False
ruditap	34640	蛤	False
sakaroz	34886	蔗糖	True
sakur	34911	樱	False
santal	35223	木	False
sekvoj	35603	木	False
seriol	36321	鱼	False
sferometr	36434	球计	True
silikoz	36574	硅症	True
silogism	36592	论主义	True
sinkretism	36730	混主义	True
sinkron	36732	共时	True
sinonim	36746	共名	True
sismograf	36803	震记	True
sismologi	36804	震学	True
skafark	36838	贝	False
skapolalgi	36863	肩痛	True
skleroz	36953	硬症	True
sociologi	37143	社学	True
sociolog	37146	社学家	True
sonmetr	37356	声计	True
spektator	37548	观员	True
spektrograf	37557	谱记	True
spektrogram	37558	谱图	True
spektrometri	37560	谱测	True
spektrometr	37561	谱计	True
spektroskopi	37564	谱镜	False
spektroskop	37565	谱镜	True
speleologi	37578	洞学	True
spiritualism	37673	灵主义	True
spiritualist	37674	灵家	True
stereofoni	37929	立体声	False
stereofon	37931	立体声	True
stereografi	37933	立体志	True
stereometri	37934	立体测	True
stereoskopi	37935	立体镜	False
stereoskop	37936	立体镜	True
stetoskop	37959	胸镜	True
stomakit	38032	胃炎	False
stroboskop	38142	闪镜	True
sturg	38209	鱼	False
sublimat	38315	崇被	True
sulfat	38579	硫盐	True
sulfid	38580	硫化	True
sulfit	38581	硫盐	False
superpozici	38733	上位	True
taksimetr	39827	车计	True
tamarind	39871	木	False
taoism	39923	道主义	True
taoist	39924	道家	True
tartrat	39952	酒石盐	True
teism	40044	神主义	True
teist	40045	神家	True
telefilm	40095	远影	True
telefon	40096	远声	True
telefotograf	40121	远拍记	True
telegrafi	40128	远志	True
telekomand	40136	远令	True
telekopi	40143	远复	True
telemetr	40148	远计	True
telemetri	40149	远测	True
telepati	40153	远情	True
tensiometr	40280	压计	False
teokrati	40292	神治	False
teokrat	40294	神治	True
teologi	40295	神学	True
teolog	40298	神学家	True
teratologi	40333	畸学	True
terminologi	40402	词学	True
termodinamik	40406	热力	True
termoelektr	40407	热电	True
termoelektron	40412	热电子	True
termokupl	40413	热连	True
termologi	40414	热学	True
termometri	40415	热测	True
termonukle	40417	热核	True
termopar	40420	热偶	True
termosifon	40421	热虹吸	True
termoskop	40422	热镜	True
termostatik	40424	热静	True
termostat	40425	热态	True
tifoid	40552	疹似	True
timpanit	40600	鼓室炎	True
tipografi	40638	型志	True
tipograf	40640	型记	True
tipometr	40641	型计	True
toksologi	40735	毒学	True
toksolog	40736	毒学家	True
tonsilit	40800	扁桃炎	True
topografi	40809	地志	True
topograf	40810	地记	False
trah^eit	40978	气管炎	True
trah^eotomi	40980	气管切	True
trakeit	40991	气管炎	False
trakeotomi	40993	气管切	False
transformator	41093	越形具	True
transit	41110	过	False
tremometr	41285	颤计	True
trikromi	41390	三色ᴷᴵ	True
trirem	41454	三划ᴿ	True
tromboz	41542	栓症	False
tropism	41582	向主义	True
trut	41684	鱼	False
tuberkuloz	41713	结症	True
ugvis	41951	莺	False
ulm	41978	木	False
ultramar	41987	极海	True
ureat	42251	尿素盐	True
uzurpator	42406	篡员	True
vaginism	42442	阴道主义	True
vaginit	42443	阴道炎	True
vakumetr	42496	空计	True
vapormetr	42623	汽计	True
variant	42647	变在	True
vasabi	42760	辣根	False
vathorometr	42782	瓦钟计	True
vatmetr	42790	瓦计	True
vejnit	42848	脉炎	False
vibrometr	43288	振计	True
viskozometr	43574	粘计	True
vivisekci	43648	活切	True
volumenometr	43846	积计	True
zoofit	44069	兽植	True
zoogeografi	44070	兽地志	True
zoolog	44075	兽学家	True
zoster	44092	草	False
sargas	44187	藻	False
montenegr	44359	山黑	True

## [D] tier0内部: 機能形態素base(§5/§6確定) vs CSV2890 basic内容語衛星。従来[A]の盲点 = 全49件
#   func_layer=49(§5/§6確定機能割当=意図的設計・誤読なし・違反でない) / NEW=0(集合外の新規=要点検・非fail)
#   機能形態素(前置詞/接尾辞/接頭辞/相関/数詞/分詞)が固有字を所有しCSV2890内容語が識別子付き衛星=nun现と同型。
#   base=bare機能形態素 / basic_satellites=識別子付きに落ちたCSV2890内容語(語根:Unified_Level)
groupkey	base(接辞)	base_band	basic衛星(CSV2890内容語)	分類
事	ke	func	afer(2.27);fakt(5.83);event(8.9)	func_layer
代	anstataŭ	prep	agent(9.0);pronom(8.9);generaci(8.9)	func_layer
任	ajn	func	kapric(8.0)	func_layer
份	da	prep	porci(8.9)	func_layer
使	ig	suf	ambasad(9.0);apostol(9.0);ambasador(8.9)	func_layer
值	ind	suf	valor(2.77);merit(5.83)	func_layer
倾	em	suf	inklin(8.4);tendenc(8.9)	func_layer
共	kun	prep	komun(3.27)	func_layer
具	il	suf	mebl(5.83);konkret(8.79)	func_layer
内	en	prep	intern(4.83)	func_layer
减	minus	func	redukt(8.9);subtrah(8.9)	func_layer
出	el	prep	eksport(8.9)	func_layer
分	on	suf	divid(6.33);minut(3.27);frakci(8.79);molekul(8.79)	func_layer
前	antaŭ	prep	front(8.9)	func_layer
加	plus	func	adici(8.4)	func_layer
千	mil	num	kilometr(8.0)	func_layer
单	mono	pref	menu(8.9);fraŭl(2.77);singular(9.0)	func_layer
原	pra	pref	original(6.83);primitiv(8.79)	func_layer
反	mal	pref	opon(9.0);ironi(8.9)	func_layer
受	it	suf	akcept(3.27)	func_layer
员	an	suf	membr(6.33)	func_layer
器	uj	suf	organ(6.33);vaz(7.9);aparat(6.33);instrument(8.4)	func_layer
因	ĉar	func	kaŭz(3.27);faktor(8.79)	func_layer
女	in	suf	feminism(8.79)	func_layer
始	ek	pref	komenc(2.27)	func_layer
子	id	suf	atom(8.9)	func_layer
家	ist	suf	hejm(2.77);famili(2.77)	func_layer
对	kontraŭ	prep	opozici(8.79);kontrast(8.79)	func_layer
将	ont	suf	general(9.0)	func_layer
小	et	suf	minuskl(8.79)	func_layer
巨	eg	suf	gigant(8.79)	func_layer
己	si	func	propr(2.77);egoist(9.0)	func_layer
待	ot	suf	atend(2.77)	func_layer
微	mikro	pref	nuanc(8.79)	func_layer
性	ec	suf	seks(8.4);amor(8.79)	func_layer
情	pati	suf	pasi(8.4);humor(6.33);emoci(8.0)	func_layer
成	iĝ	suf	sukces(3.77);konsist(5.83)	func_layer
散	dis	pref	distr(7.9)	func_layer
无	sen	prep	neni(1.77)	func_layer
比	ol	func	proporci(8.79)	func_layer
物	aĵ	suf	objekt(5.33)	func_layer
现	nun	func	aper(3.27);modern(6.83);aktual(8.9);fenomen(8.9);kontant(8.9)	func_layer
穿	tra	prep	penetr(6.83)	func_layer
粒	er	suf	grajn(8.4)	func_layer
组	op	suf	kompon(8.9);organiz(5.83)	func_layer
群	ar	suf	greg(9.0)	func_layer
被	at	suf	pasiv(8.79)	func_layer
过	int	suf	pas(2.77)	func_layer
逆	retro	pref	spit(8.79);invers(8.79)	func_layer

## 未照合CSV行(参考) = 91件
#   [2026-07-21 WF検証=良性確定] 未照合=割当可能な語根を持たない項目(文法語尾/機能語/固有名§7/一级字なし借用語/複合)
#   =baseを失いようがない=違反リスク0。caretはto_hsys既対応で低照合率は正規化バグでない(rootless項目が分母)。実被覆≈96.6%。
?	-a
?	-as
?	-e
?	-i
?	-is
?	-j
?	-n
?	-o
?	-os
?	-u
?	-um-
?	-us
?	-ĉj-
?	Afriko
?	Ameriko
?	Atlantiko
?	Azio
?	Aŭstralio
?	Esperanto
?	Eŭropo
?	Mediteraneo
?	Pacifiko
?	je
?	kafo
?	la
?	nilono
?	salato
?	sofo
?	ĉokolado
?	-i-
?	Biblio
?	Budho
?	Islamo
?	Kristo
?	Oceanio
?	baleto
?	brajlo
?	eŭro
?	japano
?	k.t.p.
?	katoliko
?	latino
?	majonezo
?	mozaiko
?	utopio
?	viskio
?	vitamino
?	ĵazo
?	aviad/ilo
?	brak/umi
?	daŭr/igi
?	de/pendi
?	de/teni (sin)
?	dev/ont/igi
?	el/doni
?	el/turn/iĝi
?	emajlo
?	est/igi
?	fi!
?	for/esti
