root	proposal	tier	rationale	verdict	problem	fix
globulari	草	2_superordinate	球状花序の小草本;科別字なし	OK	(参考・非致命) 中国名でGlobulariaこそが「球花属/球花科」であり、本バッチはその球花をhidrange/hortensi(绣球花)に配分している。配分自体は頻度的に妥当だが、記録として残すべき逆転。なおバッチ内の飽和字回避としては球草(未使用・衝突なし)も選択可。	球草(任意。草のままでも科別字が存在しないため規則違反ではない)
gnu	牛羚	3_compound	ウシ科ヌー;牛に似たレイヨウ(antilop羚)	OK		
gramine	麦	1_family	イネ科(禾本科);穀草代表字の麦	OK		
grifon	硬毛犬	3_compound	犬品種グリフォン;粗い硬毛の猟犬	OK		
gul	熊鼠	3_compound	イタチ科クズリ;中国名貂熊=熊+鼠(既定)	OK		
gurnard	鱼	2_superordinate	ホウボウ科。同科triglも鱼で専用字なし	OK		
gus^	豆壳	3_compound	マメ科の莢;豆+壳(karapac=壳)	OK		
harpi	鹰女	3_compound	鷲身女妖。オウギワシ(Harpia)も鹰	OK		
hedisar	豆	1_family	マメ科;別綴hedizarが既に豆	OK		
heliantem	草	2_superordinate	ハンニチバナ科;同科cist=草	OK		
helikriz	蜡菊	3_compound	キク科;中国名蜡菊属(苞が蝋質)	OK		
helvel	龙菌	3_compound	ノボリリュウタケ属=昇竜の菌	OK		
hemerokal	黄花	3_compound	ワスレグサ属;中国名黄花菜	OK		
hemerokalid	黄花	3_compound	キスゲ属;中国名黄花菜(黄+花)	OK		
hemion	野马	3_compound	ウマ科アジアノロバ;野生のウマ属(onagr近縁)	NG	『驴字がなく』が事実誤認。azen=驴 が使用中。アジアノロバはロバ(亚洲野驴)であってウマではなく、野马は Przewalski の野生ウマと衝突する誤友。さらに 马 は ĉeval/onagr/kulan が保持済み。	野驴(sovaĝ野+azen驴。onagr/kulanと同一種群である点はPIV側=马のまま残る)
herakle	伞	1_family	セリ科;umbel・angelikと同じ伞	OK		
herbari	草集	3_compound	herb草+kolekt集の鏡像;集は既使用	OK	(要注意・ただし可) 「集」はpalette.tsvの掲載範囲外([B]は上位400字=頻度8以上で打ち切り)。ただし_kanji_map_master.tsvでkolekt=集/foir=集/kolektiv=集/koncentr=集を実測確認したため新字ではない。palette.tsvだけを見て機械的に判定すると誤って落ちる案件。	
hermini	蛾	1_family	ヤガ科アツバの一群。mote/bombiks=蛾	OK	【参考】mote/bombiksが既に裸蛾。属レベルの語根に目レベル字を当てる粗さは残るが、菊51件・草300件と同じ家風の範囲内。	
hidrange	球花	3_compound	アジサイ属;球状花序(绣球花)	OK		
hien		4_none	ハイエナ科;鬣狗の鬣狗ともパレット外、近縁字不在	OK	未対応自体は安全だが『近縁字不在』は不正確。鬣・狗・獴は確かにパレット外だが、狼(lup=狼)と土(grund=土)は在庫にあり、ハイエナ科の実在中国名『土狼』が組める。	土狼(採用は任意。見送っても害はない)
hilum	种脐	3_compound	種脐;脐はumbilikで既使用(印字外)	OK	(要注意・ただし可) 「脐」はpalette.tsv掲載範囲外だが、_kanji_map_master.tsvでumbilik=脐を実測確認。新字ではない。「种」は[B]に种9で掲載済。种脐は中国植物学の正式術語で、umbilik=脐とも衝突しない。	
himeni	膜层	3_compound	菌の子実層。himenomicet=膜菌に整合	OK		
hiperik	草	2_superordinate	オトギリソウ科の草本;科別字なし	OK		
hisop	香草	1_family	シソ科芳香ハーブ;lavendも香草	OK	(参考・非致命) 香草は既にlavend/rosmaren/origanの3語根が使用中で、hisopは4語根目の同形になる。規則3の対象(単字の飽和群)ではなく既存慣行に沿うので却下はしないが、識別性は下がる。ヒソップの中国名「神香草」は未使用で神(神50)・香・草とも既存字。	神香草(識別性を上げたい場合のみ。香草据置も慣行上は可)
histrik	刺鼠	3_compound	齧歯目ヤマアラシ科;棘のある齧歯類	OK		
hormin	草	2_superordinate	シソ科の高山草本;nepetも草	OK		
hortensi	球花	3_compound	hidrangeと同種;球状花序の花木	OK		
hortulan	雀	1_family	ズアオホオジロはEmberiza属。emberizと同属	OK		
hotujni	臭草	3_compound	ドクダミ科;強臭(中国名魚腥草)	OK		
huz	鱼	2_superordinate	チョウザメ科。sturg/acipenserも鱼	OK		
ibeks	山羊	3_compound	ウシ科ヤギ属;中国名北山羊。kapr羊と別	NG	山羊は中国語でヤギ(=kapr)そのもの。kapr=羊, ŝaf=羊 が既にあるため、山羊はkaprの正名を別語根が奪う偽友になる。	岩羊(rok/petr=岩。高山性の野生ヤギを表し、kaprの正名と衝突しない)
ignam	山薯	3_compound	ヤマノイモの塊根;maniok=薯の類	OK		
iksod	硬蛛	3_compound	クモ綱マダニ科;中国名硬蜱=硬+蛛(クモ綱字)	OK		
ilici	香木	3_compound	シキミ・八角;強い芳香の木本	OK		
indigofer	蓝豆	3_compound	マメ科の藍染料源;indig=蓝+豆	OK		
jasmen	香花	3_compound	モクセイ科の芳香花木(siring=丁香)	OK		
jonkvil	黄水仙	3_compound	narcis=水仙の黄花種=黄水仙	OK		
juka	丝兰	3_compound	リュウゼツラン科(agav=龙舌兰);糸蘭	OK		
junk	草	2_superordinate	イグサ科;同科luzul=草に倣う	OK		
kalandra	谷象	3_compound	コクゾウムシ=穀象。kurkuli=象甲	OK	【参考】kurkuli(ゾウムシ)=象甲なので厳密な鏡像は谷象甲。2字に収めた穀象の慣用優先で可。	
kalendul	金菊	3_compound	キク科;中国名金盏菊(金+菊)	OK		
kalikl	小杯	3_compound	副萼。kalik=杯の小型版	OK	留意: 語義は副萼(萼の外側の苞輪)で、et=小の指小と厳密には別概念。ただし語源calyculus=小さな杯であり、cerebel=小脑/uvul=小舌の指小前例に整合。副・萼はパレット外のため代替不能。現案で可。	
kalistef	菊	1_family	キク科;同一植物のaster=菊	OK		
kampanul	铃草	3_compound	キキョウ科;鐘形花(konval=铃兰)	OK		
kampec^	血木	3_compound	マメ科染料木;学名=血の木(赤心材)	OK		
kanaben	雀	1_family	ムネアカヒワはアトリ科。fring/pirolと同群	OK		
kapibar	水豚	3_compound	齧歯目カピバラ;中国名水豚	OK		
kapitul	头花	3_compound	頭状花序;umbel=伞と並ぶ花序字	OK		
kapsel	草	2_superordinate	アブラナ科の野草;alis・matiolも草	OK		
kardamin	草	2_superordinate	アブラナ科の野草;drab・arabisも草	OK		
kardon	菊	1_family	キク科チョウセンアザミ属の一種	OK	(参考・非致命) 同属のartis^ok(チョウセンアザミ)は菜、kardonも語釈に「食用にする」とある。菊はkardu/cirsi等キク科50語根の共有字で規則3に適合するため却下はしないが、食用性の情報は落ちる。菜に振ると逆にartis^ok等8語根と完全同形になるため、菊据置の方が総合的には無難。	(代案なし=菊据置を推奨)
karlin	菊	1_family	キク科アザミ類;kardu・cirsiも菊	OK		
karpen	熊桦	3_compound	カバノキ科;betul=桦+クマシデの熊	OK	(参考・非致命) 「熊」の根拠は和名クマシデのみで、中国名は鹅耳枥属(鹅・耳とも既存字、鹅耳は未使用)。桦=betulの科標識は妥当なので構造上の問題はない。和名由来を許容する方針なら現案で可。	
karvi	伞	1_family	セリ科;同属karum(Carum)=伞	OK		
keirant	草	2_superordinate	アブラナ科;同種keir・matiolも草	OK		
kelidoni	疮草	3_compound	ケシ科;瘡の薬草=クサノオウ	OK		
kerkedul	鸭	1_family	シマアジはマガモ属。anasと同属で鸭	OK		
kiker	鸡豆	3_compound	マメ科;ヒヨコマメ=鸡豆(鸡+豆)	OK	(参考・非致命) 中国語の「鸡豆」は本来ヒヨコマメではなく芡実を指す偽友。ヒヨコマメの標準中国名は鹰嘴豆で、鹰・嘴・豆はいずれも既存字(鹰豆も未使用)。和名ヒヨコマメからの透明性を採るなら現案で可。	鹰豆(中国名準拠を優先する場合)
kinu	麦	2_superordinate	アカザ科の擬似穀物;ソバfagopir=麦	OK		
kladoni	菌	2_superordinate	地衣類;usne・parmeliも菌	OK		
klangul	鸭	1_family	コオリガモはカモ科。anasと同科	OK		
klemat	草	2_superordinate	キンポウゲ科;同属klematit=草	OK		
klematid	草	2_superordinate	クレマチス属;同属klematit=草	OK		
koal	树袋熊	3_compound	有袋類コアラ;中国名树袋熊(袋+熊)	OK		
kobaj	豚鼠	3_compound	テンジクネズミ科;中国名豚鼠	OK		
kojot	原犬	3_compound	イヌ科;=prerilupo草原の犬(狼字なし)	NG	原は pra/original/primitiv/proto/primar の形態素で、原犬は『原始犬』と誤読される。加えて『狼字なし』が事実誤認で lup=狼 が使用中(ŝakal=胡狼も)。preri=草原 なので prerilupo の鏡像がそのまま成る。	草原狼(コヨーテの実在中国名でもある。2字希望なら 郊/鬣 はパレット外のため草原狼推奨)
kojp	海狸鼠	3_compound	齧歯目ヌートリア;語釈の海狸鼠そのもの	NG	kastor=河狸 が確定しているため、同じビーバーを海狸と描くと形態素ドリフト(同一動物の二重描画)になる。	河狸鼠(ヌートリアの実在中国名の一つ。PIV側 miokastor=鼠 との粒度差は残る)
koka	麻木	3_compound	コカ科の低木。narkot/kanab=麻の系	OK	良好。narkot/kanab=麻、木は樹木の巨大共有字(コカ属eritroksil自身も木)。麻木は中国語で「しびれ」の意になるが、系内の合成読み(麻+木)は透明で、同属eritroksil=木との差別化も適切。	
koleopter	甲翅	3_compound	鞘翅目=甲虫。dipter=二翅等の翅系列	OK		
komatul	海羊齿	3_compound	ウミユリ綱ウミシダ=海羊歯(filik羊齿)	OK	参考: PIV層 antedon(ウミシダ属)=虫 と粒度差。海羊齿(mar海+filik羊齿)自体は妥当。	
komisur	接合	3_compound	解剖の交連・植物の接合面。接+合で接合部	OK		
konferv	丝藻	3_compound	糸状の緑藻;丝+藻(alg=藻)	OK		
konifer	针树	3_compound	pinglarbo=针(pingl)+树(arb)の鏡像	OK		
konvolvul	旋草	3_compound	ヒルガオ科;kalistegi=旋花の旋+草	OK		
koregon	鱼	2_superordinate	サケ科。salm/trutも鱼で専用字なし	OK		
kramb	菜	1_family	アブラナ科の食用ハマナ(浜菜)	OK	(参考・非致命) 菜は既にlegom/brasik/lap/artis^ok/amarant/sabelik/brokol/asparagの8語根が共有し、krambは9語根目。規則3では菜は「科レベルの良い字」側なので却下しないが、Crambe=海甘蓝属・和名ハマナ(浜菜)から海菜(未使用、海17・菜16とも既存)が取れる。	海菜(識別性を上げたい場合のみ)
kratag	山果	3_compound	バラ科サンザシ(山査子);mespil=果	OK		
krepid	菊	1_family	キク科タンポポ類;taraksak=菊	OK		
kriptogam	秘花	3_compound	隠花植物。隠を秘で写す2字(gimnosperm=裸子に倣う)	OK	パレット全字収載。秘=sekret、花=flor、字列衝突なし。gimnosperm=裸子の2字型と整合。	
kriptoteni	芹	1_family	セリ科ミツバ。api/celeri=芹と同科同用途	OK	api=芹/celeri=芹と三重同形になるが、fab=豆/fazeol=豆と同じ既定運用。鸭儿芹(セリ科ミツバ)の実名とも一致。	
krizalid	蝶偶	3_compound	チョウのさなぎ。pup=偶(蛹)に蝶を冠す	OK		
krotal	鸣尾蛇	3_compound	クサリヘビ科;响尾蛇=鳴る尾の蛇(sonserpento)	NG	『响』は使用中(sonor=响, laŭt=响, klak=响)なので実在名『响尾蛇』がそのまま作れる。鸣は blek/pep/kvak など動物の鳴き声の字で、尾のガラガラ音には不適。	响尾蛇
krucifer	菜	1_family	アブラナ科旧称。brasik=菜(kompozit=菊と同型)	OK	brasik=菜の科=属同形。kompozit=菊/umbelifer=伞/legumen=豆と同型で正しい。	
ksifi	矛鱼	3_compound	メカジキは剣状の吻。矛(槍)+鱼	OK		
kumin	伞	1_family	セリ科クミン属。anet/angelik/karum=伞と同	OK	伞は umbelifer/angelik/anet/karum/dau^k 等24語根のセリ科字。既定どおり。	
kup	吸盘	3_compound	吸い玉と吸盤。吸+盘で器具・器官を兼ねる	OK	良好。吸(hirud=吸血虫/vampir=吸血鬼)+盘(placent=胎盘)。医学義(吸い玉)と動物義(吸盤)を同時に担え、衝突なし。	
kupul	壳斗	3_compound	殻斗そのもの。壳(殻)+斗で用語一致	OK	壳=ŝel/krust、斗は自由。壳斗科の術語と完全一致、衝突なし。	
kvino	菠麦	3_compound	アカザ亜科(菠菜と同科)の穀物=藜麦	OK	藜(藜麦)はパレット外なので次善。菠は spinac=菠菜/ananas=菠萝の拘束字である点のみ留意。fagopir=麦(擬穀類)の前例があり麦は妥当。	
lagenari	瓜	1_family	ウリ科ユウガオ・ヒョウタン。kukurb等と同科	OK	kalabas=葫芦が既存でLagenariaは本来「葫芦属」だが、葫芦は既占。kukurb/melon/kukum等14語根の科字=瓜で問題なし。	
lagri	伪叶甲	3_compound	ハムシダマシ=伪叶甲科の甲虫	OK	【参考】krizomel(ハムシ)は裸虫なので系内に「叶甲」という単位が存在せず、鏡像としては機能しない(伪+叶+甲の記述的読みは成立)。3字。	
laminari	藻	2_superordinate	褐藻コンブ属。kombu/fuk/sargas=藻に同じ	OK	kombu=藻/fuk=藻/sargas=藻と同形。laminari自体がコンブなので同形は正当。	
langust	刺虾	3_compound	イセエビ科の俗称;棘のあるエビ。omar龙虾と別	NG	langusto=palinuro(語釈が相互参照する完全同義)なのに、同じ動物へ刺虾/刺龙虾の別表示を与えており双子語根の不整合。	palinurと同一表示に統一(omar=龙虾と整合する刺龙虾を推奨。2字優先なら双方刺虾)
laniari	牧犬	3_compound	犬品種;大型の牧畜犬=牧+犬	OK		
leguminoz	豆	1_family	マメ科(=fabacoj)。fab/legumen=豆と同	OK	legumen=豆(=マメ科)と同形。科=属同形の既定どおり。	
lent	豆	1_family	マメ科レンズマメ属。fazeol等と同科	OK		
leontod	菊	1_family	キク科タンポポ。taraksak/leontodon=菊	OK	leontodon=菊/taraksak=菊が既存で完全整合。	
lepidopter	粉翅	3_compound	鱗翅目。鱗粉の翅、hemipter=半翅の系列	OK		
lepism	衣鱼	3_compound	シミ目。衣魚(紙魚)の標準名	OK		
lian	蔓木	3_compound	つる植物=木質のつる。蔓単字はsarment既用	OK	sarment=蔓+lign=木の鏡像で「木質のつる」。heder=藤が既占なので藤は使えず、この2字が最適。	
liknid	石	1_family	ナデシコ科(石竹科)センノウ。diant=石と同科	OK	石は ŝton/diant/spat と既に多重同形で、Lychnisを足すと四重。ただし同科でも silen=蝇子草のような固有字はパレットに無く、diant=石の科字運用に従うのが妥当。	
likorid	红仙	3_compound	ヒガンバナ科。narcis=水仙の仙+赤花	OK	仙は水仙(narcis)/秋水仙(kolĉik)/仙人掌(kakt)の拘束字で、サボテンにも使われる以上ヒガンバナ科の標識ではない。蒜(石蒜)はパレット外のため代案は限られる。	より透明にするなら kolĉik=秋水仙 に倣った「红水仙」(3字、衝突なし)。现案のままでも可。
lima	蚌	1_family	ミノガイは二枚貝。ostr/mitulと同じ蚌	OK		
limand	比目鱼	1_family	マガレイはカレイ科。pleu^ronektと同科	OK		
litorin	海螺	3_compound	タマキビは海産巻貝。helik=螺と区別し海+螺	OK		
lobeli	半边莲	3_compound	ミゾカクシ=半边莲。花が片側に偏る	OK	3字だが半边莲は中国正名。莲=lotusの固定字を含むが実名なので許容。衝突なし。	
lodikl	浆片	3_compound	鱗被=浆片(植物学用語)。glum=颖と別	OK	浆片は鱗被(lodicule)の標準中国語術語。glum=颖と明確に別。	
lojt	鱼	2_superordinate	カワメンタイはタラ科。gad/molvも鱼	OK		
loksi	交嘴雀	3_compound	イスカは交差する嘴。交+嘴+雀(アトリ科)	OK		
lolig	矛墨	3_compound	頭足類ヤリイカ=槍烏賊;矛+墨(sepiのイカ字)	NG	イカの固定形態素は sepi=墨鱼 であり、墨単独は ink=墨/tuĉ=墨(インク)。矛墨は『槍+インク』になり、墨鱼の切断で形態素が壊れる。	矛墨鱼(枪乌贼の鏡像。枪=pistol/fusil を使うなら枪墨鱼)
lonicer	忍冬	1_family	スイカズラ属=忍冬。科kaprifoliと同表記	OK	kaprifoli=忍冬と完全同形だが、azale/rododendr=杜鹃、brasik/krucifer=菜と同じ科=属同形の既定。	
luf	丝瓜	3_compound	ウリ科ヘチマ=丝瓜。丝(繊維)+瓜	OK		
lumbrik	土虫	3_compound	環形動物ミミズ;=tervermo土+虫	NG	理由文の『=tervermo土+虫』が不正確。ter=地(talp=地鼠, teren/geo=地)であり、土は grund=土。tervermoの鏡像は地虫。重大度は低いが鏡像原則からは地虫。	地虫(talp=地鼠と同系。土のままにするならgrundvermo相当と割り切る裁定が必要)
lunari	银菜	3_compound	ギンセンソウ。银(銀扇の莢)+菜(アブラナ科)	OK	银=arĝent、菜=legom/brasik(アブラナ科)。銀扇草の圧縮として透明、衝突なし。	
lupen	豆	1_family	マメ科ハウチワマメ属。fab等と同科	OK		
luzern	牧豆	3_compound	マメ科の飼料作物。medikag=牧草+豆	OK	medikag=牧草の鏡像で妥当。中国語の「牧豆树」(メスキート属Prosopis)と誤友になる点のみ留意(同じマメ科なので実害は小)。	
mahoni	刺天竹	3_compound	メギ科柊南天。nandin=天竹+刺(柊状葉)	OK	nandin=天竹が既存、刺=pik/dorn。ヒイラギナンテンの鏡像として成立。ileks=冬青を使う4字案より短く良い。	
majoran	花薄荷	3_compound	シソ科ハナハッカ。ment=薄荷+花	OK	語釈自体が「ハナハッカ(花薄荷)」と明示、ment=薄荷と整合。	
makak	猴	1_family	オナガザル科マカク属;resus等と同じ猴が最近縁	OK		
manat	海牛	3_compound	海牛目マナティー;語釈の海牛そのもの	OK		
mandibl		4_none	顎に当たる既使用字が無い。牙/齿は別義で過大代用	OK	未対応で妥当。颚/颌/腭 はマスター全体(_kanji_map_master.tsv)にも一切使用実績が無く、下顎骨を構成できる字が存在しない。牙(eritroni系)/齿 は別義で過大代用という判断は正しい。	
mandragor	魔茄	3_compound	ナス科。魔力伝説+茄(solan等と同科)	OK	solan=茄、魔は amorfofal=魔芋 の前例あり。衝突なし。	
marabu	秃鸟	3_compound	ハゲコウはコウノトリ科(cikoni=鸟)。秃+鸟	OK		
marmot	土鼠	3_compound	リス科マーモット;中国名土拨鼠=土+鼠	OK	参考: talp=地鼠 と字面が近く(土鼠/地鼠)混同しやすい。土拨鼠の略として妥当ではあるので必須ではないが、旱(arid=旱)を使う旱鼠(旱獭の鏡像)なら衝突しない。	
marsupial	袋兽	3_compound	有袋類;marsupi袋+兽(獣)	OK		
melampir	米草	3_compound	ママコナ(飯子菜)。種子が米粒状+草本	OK	米は riz/metr の固定字なので「稲の草」と読め、さらに中国語の米草属=Spartina(イネ科)と誤友。ママコナはイネ科ではない。ただし罗(山罗花)・饭はパレット外で代案が無く、PIV級属の既定字である単字「草」まで落とすと情報が減るため現案を許容。	
meli	木	2_superordinate	センダン科の高木。cedrel/sviteni=木と同科	OK	飽和字だが、cedrel=木/sviteni=木(同科)の既定どおりで、センダン科の科字はパレットに存在しない。楝・檀はパレット外。PIV級樹木属は一律=木の運用に合致。	
melilot	香豆	3_compound	マメ科。クマリン香(香豆素)+豆	OK	香=spic、豆=fab。latir=香豌豆と字列が別なので衝突なし。	
melolont	金龟	3_compound	コガネムシ科=金亀子。コフキコガネ属	OK		
menur	琴鸟	3_compound	コトドリ=琴尾鳥。琴(tetr=琴鸡)+鸟	OK		
merkurial	山蓝	3_compound	ヤマアイ=山藍。山+蓝(藍染料)	OK	山=mont、蓝=blu/indig/vajd(染料)。ヤマアイ=染料植物なので蓝は適切。	
merlang	鱼	2_superordinate	タラ科。merluc^も鱼で専用字なし	OK		
merop	蜂虎	3_compound	ハチクイ科。蜂(蜂食)+虎(gobius=虾虎型の名)	OK		
miogal	水鼠	3_compound	モグラ科デスマン;水生のモグラ類=水+鼠	OK		
miozot	鼠耳草	3_compound	学名は鼠の耳。salvi=鼠尾草に倣う	OK	salvi=鼠尾草の型に合致し語源(Myosotis=鼠の耳)も透明だが、鼠耳草は中国語で鼠麴草(キク科Gnaphalium)の別名=誤友。辞書名の勿忘草は勿・忘ともパレット外(忘は正本には forges=忘 として存在するので新字ではない)、记は memor/graf系で飽和のため実用的な代案なし。現案を許容。	
mirh	药香	3_compound	没薬。oliban=乳香と対の芳香樹脂	OK	药=medikament/drog、oliban=乳香と対になる樹脂香。没(没药)はパレット外。	
mirid	伞	1_family	セリ科スイートシスリー。anet/karum=伞と同	OK		
mirmeleon	蚁狮	3_compound	ウスバカゲロウ。幼虫アリジゴク=蚁狮	OK		
miskant	芒草	3_compound	イネ科ススキ=芒属。芒+草(espart=茅と別)	OK	確認したところ単字「芒」は空き(mang の master は2字の芒果)。芒属=ススキなので「芒」1字で足り、2字は冗長ぎみ。芒果連想を避ける目的なら芒草も可。	短縮するなら「芒」(単字、衝突なし)。
mops	扁鼻犬	3_compound	犬品種パグ;鼻の扁平な小型犬	OK		
mul	马	2_superordinate	ウマ科の雑種ラバ;驴字がなく马の上位字で代替	NG	马は ĉeval(ウマ)・onagr・kulan が保持済みで、ラバをウマそのものと同一表示にするのは過大代用。さらに『驴字がなく』は事実誤認で azen=驴 が使用中(骡のみパレット外)。	驴马(ロバ×ウマの交雑を成分連結で。順序を马驴とする案も可)
mungot	蛇狸	3_compound	マングース科;蛇獴=蛇を狩る小型食肉獣	OK	参考: 獴はパレット外で代替は妥当。PIV herpest(マングース属)=兽 との粒度差は残る。	
neri	竹桃	3_compound	キョウチクトウ属=夾竹桃。竹葉+桃花	OK	夹竹桃の圧縮で、竹葉+桃花という命名動機を保持。衝突なし。	
nervur	脉	2_superordinate	翅脈・葉脈・肋材の総称=脈	OK		
nigel	黑种草	3_compound	クロタネソウ=黒種草。黑+种+草	OK	种=sem(種子)なので黑种草=「黒い種の草」と字義どおりに読め、中国正名とも一致。	
nikotian	烟茄	3_compound	ナス科タバコ属。tabak=烟+茄	OK	tabak=烟、solan=茄の鏡像。tabakと別字列で識別可。	
niktereu^t	狸	1_family	イヌ科タヌキ;語釈どおり狸(kastor海狸と別)	OK		
noktu	猫头鹰	1_family	コキンメフクロウ。strig=猫头鹰と同科	OK		
nufar	河骨	3_compound	コウホネ=河骨。sambuk=接骨と同型の名	OK	語釈が「コウホネ(河骨)」と明示、sambuk=接骨と同型。萍蓬草(中国名)は萍・蓬ともパレット外。	
oksalid	醋浆草	3_compound	カタバミ=酢漿草。okzal=酸模と区別	OK	酢浆草の酢がパレット外のため醋(vinagr/acet)で代替、浆=ber系。実名準拠で可。	
oksikok	蔓苔桃	3_compound	ツルコケモモ=蔓苔桃。和名の字をそのまま	NG	苔は musk(コケ)、桃は persik の固定字で、ツルコケモモ(Vaccinium)は蘚類でも桃でもない。和名の字面をそのまま写した結果「蔓-コケ-モモ」と読め、系統標識にならない。同属の mirtel=果、近縁の frag/rubus/framb/kurm=果 という既定の漿果運用からも外れる。	蔓果 (sarment=蔓 + 果、衝突なし。「つる性の漿果」で蔓越莓の実態とも合致し2字に収まる)
oleandr	西竹桃	3_compound	セイヨウキョウチクトウ。西+竹桃(neri)	OK	西=okcident、neri=竹桃との対も明確。	
oleastr	银枣	3_compound	グミ科ホソバグミ(沙枣)。銀白の葉+枣状果	OK	沙(沙枣)はパレット外。枣=daktil/jujub/zizif の実果字、银=arĝentで銀白葉を表し透明。	
onisk	潮虫	3_compound	等脚目ワラジムシ;中国名潮虫(湿所の虫)	OK		
onobrik	刺豆	3_compound	マメ科イガマメ。刺のある莢+豆	OK	刺=pik/dorn、豆=マメ科字。イガマメの鏡像として妥当。	
orangutang	红猩	3_compound	ヒト科;中国名红毛猩猩。goril猩と同群	NG	PIV層に同一種の orangutan=猴 が既存。红猩を入れると同じオランウータンが猴/红猩の二重描画になる(双子語根の不整合)。	orangutan(PIV)も红猩へ同期して統一する(goril=猩, c^impanz=黑猩と揃う)。同期しないなら orangutang=猴 に踏襲
osmant	桂花	3_compound	モクセイ属=桂花。桂(lau^r既用)+花	OK	桂単字は cinam/lau^r が既占。桂花はモクセイ属の中国正名で最適。	
osmund	王齿	3_compound	ゼンマイ=reĝofiliko。王(reĝ)+齿(羊齿)	NG	齿の単字は dent(歯)の固定字であり、シダの固定字は2字の羊齿。正本では filik/aspleni/psilot/azol/ceterak/driopterid/nefrolepid/polistik 等16語根すべてが羊齿を保持しており、齿1字に縮めた例は皆無。王齿は「王の歯」と読め、シダ標識が消える。	王羊齿 (reĝ=王 + filik=羊齿。pteridofit=羊齿植 という3字前例あり、衝突なし)。区別が不要なら他属同様「羊齿」でも既定に合う。
otid	鸟	2_superordinate	ノガン科に該当字なし。鳥の上位字	OK		
otus	猫头鹰	1_family	ミミズクはフクロウ科。strigと同科	OK		
pac^ul	香荷	3_compound	シソ科パチョリ。香料+荷(薄荷=シソ科)	OK	荷は ment=薄荷 の後半だけを抜いた拘束字(荷単独の語根は無い)。majoran が花薄荷と2字を保つのに対し不揃いだが、荷は他に占有者がおらず衝突しないので可。藿(广藿香)はパレット外。	
padus	串樱	3_compound	総状の桜=grapolĉerizo。串(grapol)+樱	OK	grapol=串、ĉeriz/meriz/sakur=樱。grapolĉerizoの正確な鏡像。	
pakiderm	厚皮兽	3_compound	旧分類の厚皮動物;厚+皮+兽の鏡像	OK		
palinur	刺龙虾	3_compound	イセエビ科Palinurus属;棘のある龙虾	NG	langust(=langusto)と完全同義の同一動物なのに刺虾/刺龙虾で表示が割れる。	langustと同一表示に統一(刺龙虾に揃えるのを推奨)
palmiped	游鸟	3_compound	游禽類=水掻きで泳ぐ鳥。游+鸟	OK		
palumb	鸽	1_family	モリバトはColumba属。kolombと同属	OK		
pandion	鱼鹰	3_compound	ミサゴ=魚を捕る猛禽(fis^aglo)。鱼+鹰	OK		
parenkim	软质	3_compound	柔組織・実質。软(柔)+质(質・組織)の透明2字	OK		
pastinak	伞	1_family	セリ科パースニップ。dauk/karum=伞と同科	OK		
patel		4_none	主義は膝蓋骨。貝字を当てると解剖義を誤描画	OK	未対応でも害は無いが、膝 は既使用(genu=膝, poplit=膝窝)・骨 も既使用(ost=骨)で、膝骨/膝盖骨 はいずれも未使用(衝突なし)。新字ゼロで割当可能。	（任意）膝骨。ただし 膝 は palette.tsv(上位400+生物字の抜粋)には未掲載なので、採用時はマスター実績(genu=膝)で新字でないことを再確認のこと
patrini	女花	3_compound	オミナエシ=女郎花。ligustr=女贞と同型	OK	女は接尾辞 -in(女性)および femin/ginek の固定字なので「女の花」と読める。女郎花の圧縮としては許容範囲、ligustr=女贞と同型で衝突なし。	
pavian	犬猴	3_compound	オナガザル科ヒヒ属;犬面のサル(cynocephalus)	OK		
pekari	美洲猪	3_compound	ペッカリー科;新大陸のイノシシ類(rea美洲に倣う)	OK		
pelargoni	天葵	3_compound	テンジクアオイ=天竺葵。天+葵	OK	竺はパレット外なので天竺葵の圧縮として妥当(葵=malv系)。中国語の天葵(Semiaquilegia)と誤友になる点のみ留意。nandin=天竹とは字列が別。	
pentatom	龟虫	3_compound	カメムシ科=亀虫。cim=臭虫と区別	OK		
perikarp	果皮	3_compound	果皮。karpel=心皮に倣う透明2字	OK	果=frukt、皮=haŭt/kortik。karpel=心皮と同型の術語一致。	
plates	比目鱼	1_family	プレイスはカレイ科の基準属。同科表示	OK		
platikodon	铃草	3_compound	キキョウ科の鐘形花。铃(konval=铃兰)+草	OK	桔梗の桔はパレット外。铃単字は未使用(konval=铃兰)なので衝突なし、鐘形花の描写として透明。	
plot	鲤	1_family	ローチはコイ科。karp/karas/ciprinと同科	NG	階層逆転。PIVで ploto は rutelo(Rutilus属)の一種と明記されるが、その親語根 rutel は既に=鱼。さらに同亜科の leu^cisk=鱼 / idus=鱼 / aland=鱼 / bram=鱼(語釈はいずれも「コイ科」)と、本プロジェクトの 鲤 は karp/ciprin/karas(コイ・フナ)の3語根に限定運用されている。種語根 plot だけを 鲤 に上げると、属語根 rutel より下位が高精度という逆転が生じ、かつ読者には「鯉」と誤読される。	鱼（親語根 rutel=鱼 および同群 leu^cisk/idus/aland/bram=鱼 に合わせる）
poliandri	多雄	3_compound	一雌多雄;多+雄(stamen雄蕊の雄)	OK		
poligini	多雌	3_compound	一雄多雌;多+雌(androgin雌の字)	OK		
