"root"	"kanji"	"id"	"id_super"	"disp"	"band"	"F"	"groupkey"
"parol"	"话"	""	""	"话"	"basic"	"73"	"话"
"dialog"	"话"	"d"	"ᴰ"	"话ᴰ"	"basic"	"0"	"话"
"patr"	"父"	""	""	"父"	"basic"	"61"	"父"
"pet"	"求"	""	""	"求"	"basic"	"39"	"求"
"postul"	"求"	"ps"	"ᴾˢ"	"求ᴾˢ"	"basic"	"16"	"求"
"petici"	"求"	"pc"	"ᴾᶜ"	"求ᴾᶜ"	"pejvo"	"2"	"求"
"plen"	"满"	""	""	"满"	"basic"	"151"	"满"
"kontent"	"满"	"k"	"ᴷ"	"满ᴷ"	"basic"	"18"	"满"
"port"	"运"	""	""	"运"	"basic"	"70"	"运"
"fortun"	"运"	"f"	"ᶠ"	"运ᶠ"	"basic"	"4"	"运"
"pov"	"能"	""	""	"能"	"basic"	"58"	"能"
"iv"	"能"	"i"	"ᴵ"	"能ᴵ"	"suf"	"126"	"能"
"energi"	"能"	"e"	"ᴱ"	"能ᴱ"	"basic"	"55"	"能"
"kapabl"	"能"	"k"	"ᴷ"	"能ᴷ"	"basic"	"29"	"能"
"kompetent"	"能"	"km"	"ᴷᴹ"	"能ᴷᴹ"	"basic"	"8"	"能"
"pren"	"拿"	""	""	"拿"	"basic"	"57"	"拿"
"proksim"	"近"	""	""	"近"	"basic"	"28"	"近"
"miop"	"近"	"m"	"ᴹ"	"近ᴹ"	"basic"	"4"	"近"
"rapid"	"速"	""	""	"速"	"basic"	"75"	"速"
"ekspres"	"速"	"e"	"ᴱ"	"速ᴱ"	"basic"	"11"	"速"
"taki"	"速"	"t"	"ᵀ"	"速ᵀ"	"piv"	"3"	"速"
"respond"	"答"	""	""	"答"	"basic"	"28"	"答"
"riĉ"	"富"	""	""	"富"	"basic"	"69"	"富"
"oz"	"富"	"o"	"ᴼ"	"富ᴼ"	"suf"	"138"	"富"
"ricev"	"收"	""	""	"收"	"basic"	"23"	"收"
"adopt"	"收"	"a"	"ᴬ"	"收ᴬ"	"basic"	"16"	"收"
"ferl"	"收"	"f"	"ᶠ"	"收ᶠ"	"pejvo"	"4"	"收"
"rid"	"笑"	""	""	"笑"	"basic"	"31"	"笑"
"komik"	"笑"	"k"	"ᴷ"	"笑ᴷ"	"basic"	"7"	"笑"
"ruĝ"	"红"	""	""	"红"	"basic"	"68"	"红"
"skarlat"	"红"	"s"	"ˢ"	"红ˢ"	"pejvo"	"2"	"红"
"ŝajn"	"像"	""	""	"像"	"basic"	"34"	"像"
"statu"	"像"	"s"	"ˢ"	"像ˢ"	"basic"	"5"	"像"
"sam"	"同"	""	""	"同"	"basic"	"86"	"同"
"homo"	"同"	"h"	"ᴴ"	"同ᴴ"	"pref"	"25"	"同"
"ident"	"同"	"i"	"ᴵ"	"同ᴵ"	"basic"	"10"	"同"
"asimil"	"同"	"a"	"ᴬ"	"同ᴬ"	"basic"	"6"	"同"
"unison"	"同"	"u"	"ᵁ"	"同ᵁ"	"pejvo"	"2"	"同"
"sci"	"知"	""	""	"知"	"basic"	"46"	"知"
"gnostik"	"知"	"g"	"ᴳ"	"知ᴳ"	"piv"	"4"	"知"
"sekv"	"随"	""	""	"随"	"basic"	"34"	"随"
"send"	"送"	""	""	"送"	"basic"	"41"	"送"
"eksped"	"送"	"e"	"ᴱ"	"送ᴱ"	"basic"	"6"	"送"
"sid"	"坐"	""	""	"坐"	"basic"	"52"	"坐"
"sinjor"	"君"	""	""	"君"	"basic"	"16"	"君"
"libr"	"书"	""	""	"书"	"basic"	"93"	"书"
"skrib"	"书"	"s"	"ˢ"	"书ˢ"	"basic"	"104"	"书"
"star"	"立"	""	""	"立"	"basic"	"52"	"立"
"temp"	"时"	""	""	"时"	"basic"	"113"	"时"
"ten"	"持"	""	""	"持"	"basic"	"92"	"持"
"ter"	"地"	""	""	"地"	"basic"	"142"	"地"
"geo"	"地"	"g"	"ᴳ"	"地ᴳ"	"pref"	"49"	"地"
"teren"	"地"	"tn"	"ᵀᴺ"	"地ᵀᴺ"	"basic"	"14"	"地"
"geografi"	"地"	"gg"	"ᴳᴳ"	"地ᴳᴳ"	"basic"	"0"	"地"
"topo"	"地"	"tp"	"ᵀᴾ"	"地ᵀᴾ"	"pejvo"	"8"	"地"
"tut"	"整"	""	""	"整"	"basic"	"37"	"整"
"aranĝ"	"整"	"a"	"ᴬ"	"整ᴬ"	"basic"	"30"	"整"
"apret"	"整"	"ap"	"ᴬᴾ"	"整ᴬᴾ"	"pejvo"	"4"	"整"
"entjer"	"整"	"e"	"ᴱ"	"整ᴱ"	"pejvo"	"3"	"整"
"rektif"	"整"	"r"	"ᴿ"	"整ᴿ"	"pejvo"	"3"	"整"
"apretur"	"整"	"ar"	"ᴬᴿ"	"整ᴬᴿ"	"pejvo"	"2"	"整"
"rektifik"	"整"	"rk"	"ᴿᴷ"	"整ᴿᴷ"	"pejvo"	"3"	"整"
"ven"	"来"	""	""	"来"	"basic"	"79"	"来"
"vetur"	"乘"	""	""	"乘"	"basic"	"72"	"乘"
"multiplik"	"乘"	"m"	"ᴹ"	"乘ᴹ"	"basic"	"8"	"乘"
"vid"	"见"	""	""	"见"	"basic"	"85"	"见"
"vir"	"男"	""	""	"男"	"basic"	"63"	"男"
"viv"	"活"	""	""	"活"	"basic"	"147"	"活"
"vigl"	"活"	"vg"	"ⱽᴳ"	"活ⱽᴳ"	"basic"	"18"	"活"
"aktiv"	"活"	"a"	"ᴬ"	"活ᴬ"	"basic"	"40"	"活"
"voj"	"路"	""	""	"路"	"basic"	"132"	"路"
"ŝose"	"路"	"ŝ"	"ˢ̂"	"路ˢ̂"	"basic"	"6"	"路"
"cirkvit"	"路"	"c"	"ᶜ"	"路ᶜ"	"basic"	"16"	"路"
"vol"	"愿"	""	""	"愿"	"basic"	"48"	"愿"
"volont"	"愿"	"vn"	"ⱽᴺ"	"愿ⱽᴺ"	"basic"	"10"	"愿"
"bonvol"	"愿"	"b"	"ᴮ"	"愿ᴮ"	"basic"	"0"	"愿"
"vort"	"词"	""	""	"词"	"basic"	"87"	"词"
"termin"	"词"	"t"	"ᵀ"	"词ᵀ"	"basic"	"7"	"词"
"daŭr"	"续"	""	""	"续"	"basic"	"40"	"续"
"kontinu"	"续"	"k"	"ᴷ"	"续ᴷ"	"sci"	"23"	"续"
"kolekt"	"集"	""	""	"集"	"basic"	"40"	"集"
"foir"	"集"	"f"	"ᶠ"	"集ᶠ"	"basic"	"9"	"集"
"koncentr"	"集"	"kn"	"ᴷᴺ"	"集ᴷᴺ"	"basic"	"12"	"集"
"kolektiv"	"集"	"kv"	"ᴷⱽ"	"集ᴷⱽ"	"basic"	"0"	"集"
"nul"	"零"	""	""	"零"	"basic"	"19"	"零"
"aĉet"	"买"	""	""	"买"	"basic"	"26"	"买"
"arb"	"树"	""	""	"树"	"basic"	"150"	"树"
"fag"	"树"	"f"	"ᶠ"	"树ᶠ"	"basic"	"18"	"树"
"dendro"	"树"	"d"	"ᴰ"	"树ᴰ"	"piv"	"3"	"树"
"notofag"	"树"	"n"	"ᴺ"	"树ᴺ"	"piv"	"1"	"树"
"art"	"艺"	""	""	"艺"	"basic"	"81"	"艺"
"meti"	"艺"	"m"	"ᴹ"	"艺ᴹ"	"basic"	"11"	"艺"
"ot"	"待"	""	""	"待"	"suf"	"21"	"待"
"atend"	"待"	"a"	"ᴬ"	"待ᴬ"	"basic"	"15"	"待"
"aŭd"	"听"	""	""	"听"	"basic"	"29"	"听"
"aŭskult"	"听"	"as"	"ᴬˢ"	"听ᴬˢ"	"basic"	"12"	"听"
"bat"	"打"	""	""	"打"	"basic"	"67"	"打"
"tajp"	"打"	"t"	"ᵀ"	"打ᵀ"	"basic"	"13"	"打"
"dras^"	"打"	"d"	"ᴰ"	"打ᴰ"	"pejvo"	"7"	"打"
"bezon"	"需"	""	""	"需"	"basic"	"12"	"需"
"bild"	"画"	""	""	"画"	"basic"	"46"	"画"
"bird"	"鸟"	""	""	"鸟"	"basic"	"63"	"鸟"
"cikoni"	"鸟"	"c"	"ᶜ"	"鸟ᶜ"	"basic"	"3"	"鸟"
"arde"	"鸟"	"a"	"ᴬ"	"鸟ᴬ"	"pejvo"	"4"	"鸟"
"majn"	"鸟"	"m"	"ᴹ"	"鸟ᴹ"	"pejvo"	"3"	"鸟"
"kivi"	"鸟"	"k"	"ᴷ"	"鸟ᴷ"	"pejvo"	"2"	"鸟"
"ornit"	"鸟"	"o"	"ᴼ"	"鸟ᴼ"	"pejvo"	"3"	"鸟"
"skolop"	"鸟"	"s"	"ˢ"	"鸟ˢ"	"pejvo"	"4"	"鸟"
"turd"	"鸟"	"t"	"ᵀ"	"鸟ᵀ"	"pejvo"	"1"	"鸟"
"upup"	"鸟"	"u"	"ᵁ"	"鸟ᵁ"	"pejvo"	"1"	"鸟"
"paru"	"鸟"	"p"	"ᴾ"	"鸟ᴾ"	"pejvo"	"1"	"鸟"
"oriol"	"鸟"	"ol"	"ᴼᴸ"	"鸟ᴼᴸ"	"pejvo"	"1"	"鸟"
"sturn"	"鸟"	"st"	"ˢᵀ"	"鸟ˢᵀ"	"pejvo"	"1"	"鸟"
"galbul"	"鸟"	"g"	"ᴳ"	"鸟ᴳ"	"pejvo"	"1"	"鸟"
"pelikan"	"鸟"	"pl"	"ᴾᴸ"	"鸟ᴾᴸ"	"pejvo"	"3"	"鸟"
"perdrik"	"鸟"	"pd"	"ᴾᴰ"	"鸟ᴾᴰ"	"pejvo"	"2"	"鸟"
"tetraon"	"鸟"	"tt"	"ᵀᵀ"	"鸟ᵀᵀ"	"pejvo"	"1"	"鸟"
"motacil"	"鸟"	"mt"	"ᴹᵀ"	"鸟ᴹᵀ"	"pejvo"	"4"	"鸟"
"sit"	"鸟"	"si"	"ˢᴵ"	"鸟ˢᴵ"	"piv"	"2"	"鸟"
"au^k"	"鸟"	"aŭ"	"ᴬᵁ̆"	"鸟ᴬᵁ̆"	"piv"	"1"	"鸟"
"did"	"鸟"	"d"	"ᴰ"	"鸟ᴰ"	"piv"	"1"	"鸟"
"gip"	"鸟"	"gp"	"ᴳᴾ"	"鸟ᴳᴾ"	"piv"	"1"	"鸟"
"sul"	"鸟"	"sl"	"ˢᴸ"	"鸟ˢᴸ"	"piv"	"1"	"鸟"
"uri"	"鸟"	"ur"	"ᵁᴿ"	"鸟ᵁᴿ"	"piv"	"1"	"鸟"
"c^eti"	"鸟"	"ĉ"	"ᶜ̂"	"鸟ᶜ̂"	"piv"	"1"	"鸟"
"jing"	"鸟"	"j"	"ᴶ"	"鸟ᴶ"	"piv"	"1"	"鸟"
"kiti"	"鸟"	"kt"	"ᴷᵀ"	"鸟ᴷᵀ"	"piv"	"1"	"鸟"
"krek"	"鸟"	"kr"	"ᴷᴿ"	"鸟ᴷᴿ"	"piv"	"1"	"鸟"
"lani"	"鸟"	"l"	"ᴸ"	"鸟ᴸ"	"piv"	"1"	"鸟"
"lori"	"鸟"	"lr"	"ᴸᴿ"	"鸟ᴸᴿ"	"piv"	"1"	"鸟"
"merg^"	"鸟"	"mr"	"ᴹᴿ"	"鸟ᴹᴿ"	"piv"	"1"	"鸟"
"pipi"	"鸟"	"pp"	"ᴾᴾ"	"鸟ᴾᴾ"	"piv"	"1"	"鸟"
"pluvi"	"鸟"	"pv"	"ᴾⱽ"	"鸟ᴾⱽ"	"piv"	"2"	"鸟"
"tinam"	"鸟"	"tn"	"ᵀᴺ"	"鸟ᵀᴺ"	"piv"	"1"	"鸟"
"cinkl"	"鸟"	"cn"	"ᶜᴺ"	"鸟ᶜᴺ"	"piv"	"1"	"鸟"
"alced"	"鸟"	"al"	"ᴬᴸ"	"鸟ᴬᴸ"	"piv"	"1"	"鸟"
"ploce"	"鸟"	"pc"	"ᴾᶜ"	"鸟ᴾᶜ"	"piv"	"1"	"鸟"
"bufag"	"鸟"	"bf"	"ᴮᶠ"	"鸟ᴮᶠ"	"piv"	"1"	"鸟"
"agami"	"鸟"	"ag"	"ᴬᴳ"	"鸟ᴬᴳ"	"piv"	"1"	"鸟"
"bucer"	"鸟"	"bc"	"ᴮᶜ"	"鸟ᴮᶜ"	"piv"	"1"	"鸟"
"certi"	"鸟"	"cr"	"ᶜᴿ"	"鸟ᶜᴿ"	"piv"	"1"	"鸟"
"cirku"	"鸟"	"cu"	"ᶜᵁ"	"鸟ᶜᵁ"	"piv"	"1"	"鸟"
"elani"	"鸟"	"e"	"ᴱ"	"鸟ᴱ"	"piv"	"1"	"鸟"
"fitis"	"鸟"	"f"	"ᶠ"	"鸟ᶠ"	"piv"	"1"	"鸟"
"kreks"	"鸟"	"ks"	"ᴷˢ"	"鸟ᴷˢ"	"piv"	"1"	"鸟"
"kuruk"	"鸟"	"ku"	"ᴷᵁ"	"鸟ᴷᵁ"	"piv"	"1"	"鸟"
"lagop"	"鸟"	"lg"	"ᴸᴳ"	"鸟ᴸᴳ"	"piv"	"1"	"鸟"
"limoz"	"鸟"	"lm"	"ᴸᴹ"	"鸟ᴸᴹ"	"piv"	"1"	"鸟"
"nandu"	"鸟"	"n"	"ᴺ"	"鸟ᴺ"	"piv"	"1"	"鸟"
"nikte"	"鸟"	"nk"	"ᴺᴷ"	"鸟ᴺᴷ"	"piv"	"1"	"鸟"
"pirul"	"鸟"	"pr"	"ᴾᴿ"	"鸟ᴾᴿ"	"piv"	"1"	"鸟"
"pufin"	"鸟"	"pf"	"ᴾᶠ"	"鸟ᴾᶠ"	"piv"	"1"	"鸟"
"serin"	"鸟"	"sr"	"ˢᴿ"	"鸟ˢᴿ"	"piv"	"1"	"鸟"
"s^tern"	"鸟"	"ŝ"	"ˢ̂"	"鸟ˢ̂"	"piv"	"1"	"鸟"
"tring"	"鸟"	"tr"	"ᵀᴿ"	"鸟ᵀᴿ"	"piv"	"1"	"鸟"
"katart"	"鸟"	"ka"	"ᴷᴬ"	"鸟ᴷᴬ"	"piv"	"1"	"鸟"
"koraci"	"鸟"	"kc"	"ᴷᶜ"	"鸟ᴷᶜ"	"piv"	"1"	"鸟"
"avocet"	"鸟"	"av"	"ᴬⱽ"	"鸟ᴬⱽ"	"piv"	"1"	"鸟"
"bantam"	"鸟"	"bn"	"ᴮᴺ"	"鸟ᴮᴺ"	"piv"	"1"	"鸟"
"bonazi"	"鸟"	"bz"	"ᴮᶻ"	"鸟ᴮᶻ"	"piv"	"1"	"鸟"
"c^ifc^af"	"鸟"	"ĉf"	"ᶜ̂ᶠ"	"鸟ᶜ̂ᶠ"	"piv"	"1"	"鸟"
"fulmar"	"鸟"	"fl"	"ᶠᴸ"	"鸟ᶠᴸ"	"piv"	"1"	"鸟"
"hipola"	"鸟"	"h"	"ᴴ"	"鸟ᴴ"	"piv"	"1"	"鸟"
"jabiru"	"鸟"	"jb"	"ᴶᴮ"	"鸟ᴶᴮ"	"piv"	"1"	"鸟"
"kairin"	"鸟"	"kn"	"ᴷᴺ"	"鸟ᴷᴺ"	"piv"	"1"	"鸟"
"kalidr"	"鸟"	"kl"	"ᴷᴸ"	"鸟ᴷᴸ"	"piv"	"1"	"鸟"
"kvecal"	"鸟"	"kv"	"ᴷⱽ"	"鸟ᴷⱽ"	"piv"	"1"	"鸟"
"litorn"	"鸟"	"lt"	"ᴸᵀ"	"鸟ᴸᵀ"	"piv"	"1"	"鸟"
"numeni"	"鸟"	"nm"	"ᴺᴹ"	"鸟ᴺᴹ"	"piv"	"1"	"鸟"
"petrel"	"鸟"	"pt"	"ᴾᵀ"	"鸟ᴾᵀ"	"piv"	"1"	"鸟"
"pronel"	"鸟"	"pn"	"ᴾᴺ"	"鸟ᴾᴺ"	"piv"	"1"	"鸟"
"rubetr"	"鸟"	"r"	"ᴿ"	"鸟ᴿ"	"piv"	"1"	"鸟"
"sirapt"	"鸟"	"sp"	"ˢᴾ"	"鸟ˢᴾ"	"piv"	"1"	"鸟"
"tadorn"	"鸟"	"td"	"ᵀᴰ"	"鸟ᵀᴰ"	"piv"	"1"	"鸟"
"tangar"	"鸟"	"tg"	"ᵀᴳ"	"鸟ᵀᴳ"	"piv"	"1"	"鸟"
"karadri"	"鸟"	"ki"	"ᴷᴵ"	"鸟ᴷᴵ"	"piv"	"3"	"鸟"
"apterig"	"鸟"	"ap"	"ᴬᴾ"	"鸟ᴬᴾ"	"piv"	"2"	"鸟"
"alektor"	"鸟"	"ar"	"ᴬᴿ"	"鸟ᴬᴿ"	"piv"	"1"	"鸟"
"bernikl"	"鸟"	"br"	"ᴮᴿ"	"鸟ᴮᴿ"	"piv"	"1"	"鸟"
"cirkaet"	"鸟"	"ct"	"ᶜᵀ"	"鸟ᶜᵀ"	"piv"	"1"	"鸟"
"diomede"	"鸟"	"dm"	"ᴰᴹ"	"鸟ᴰᴹ"	"piv"	"1"	"鸟"
"dromice"	"鸟"	"dr"	"ᴰᴿ"	"鸟ᴰᴿ"	"piv"	"1"	"鸟"
"fenikur"	"鸟"	"fn"	"ᶠᴺ"	"鸟ᶠᴺ"	"piv"	"1"	"鸟"
"galinag"	"鸟"	"gn"	"ᴳᴺ"	"鸟ᴳᴺ"	"piv"	"1"	"鸟"
"haliaet"	"鸟"	"hl"	"ᴴᴸ"	"鸟ᴴᴸ"	"piv"	"1"	"鸟"
"hematop"	"鸟"	"hm"	"ᴴᴹ"	"鸟ᴴᴹ"	"piv"	"1"	"鸟"
"karduel"	"鸟"	"kd"	"ᴷᴰ"	"鸟ᴷᴰ"	"piv"	"1"	"鸟"
"neofron"	"鸟"	"nf"	"ᴺᶠ"	"鸟ᴺᶠ"	"piv"	"1"	"鸟"
"pinikol"	"鸟"	"pk"	"ᴾᴷ"	"鸟ᴾᴷ"	"piv"	"1"	"鸟"
"platale"	"鸟"	"pa"	"ᴾᴬ"	"鸟ᴾᴬ"	"piv"	"1"	"鸟"
"porfiri"	"鸟"	"po"	"ᴾᴼ"	"鸟ᴾᴼ"	"piv"	"1"	"鸟"
"pterokl"	"鸟"	"pe"	"ᴾᴱ"	"鸟ᴾᴱ"	"piv"	"1"	"鸟"
"lagopod"	"鸟"	"ld"	"ᴸᴰ"	"鸟ᴸᴰ"	"piv"	"1"	"鸟"
"bobolink"	"鸟"	"bb"	"ᴮᴮ"	"鸟ᴮᴮ"	"piv"	"1"	"鸟"
"bombicil"	"鸟"	"bm"	"ᴮᴹ"	"鸟ᴮᴹ"	"piv"	"1"	"鸟"
"himantop"	"鸟"	"hn"	"ᴴᴺ"	"鸟ᴴᴺ"	"piv"	"1"	"鸟"
"lokustel"	"鸟"	"lk"	"ᴸᴷ"	"鸟ᴸᴷ"	"piv"	"1"	"鸟"
"nucifrag"	"鸟"	"nc"	"ᴺᶜ"	"鸟ᴺᶜ"	"piv"	"1"	"鸟"
"perisore"	"鸟"	"ps"	"ᴾˢ"	"鸟ᴾˢ"	"piv"	"1"	"鸟"
"saksikol"	"鸟"	"ss"	"ˢˢ"	"鸟ˢˢ"	"piv"	"1"	"鸟"
"somateri"	"鸟"	"sm"	"ˢᴹ"	"鸟ˢᴹ"	"piv"	"1"	"鸟"
"tinunkol"	"鸟"	"tk"	"ᵀᴷ"	"鸟ᵀᴷ"	"piv"	"1"	"鸟"
"pirokorak"	"鸟"	"pi"	"ᴾᴵ"	"鸟ᴾᴵ"	"piv"	"1"	"鸟"
"falaropod"	"鸟"	"fr"	"ᶠᴿ"	"鸟ᶠᴿ"	"piv"	"1"	"鸟"
"kokotrau^st"	"鸟"	"kk"	"ᴷᴷ"	"鸟ᴷᴷ"	"piv"	"1"	"鸟"
"melopsitak"	"鸟"	"ml"	"ᴹᴸ"	"鸟ᴹᴸ"	"piv"	"1"	"鸟"
"poliplektr"	"鸟"	"pol"	"ᴾᴼᴸ"	"鸟ᴾᴼᴸ"	"piv"	"1"	"鸟"
"serpentari"	"鸟"	"sn"	"ˢᴺ"	"鸟ˢᴺ"	"piv"	"1"	"鸟"
"sterkorari"	"鸟"	"sk"	"ˢᴷ"	"鸟ˢᴷ"	"piv"	"1"	"鸟"
"himantopod"	"鸟"	"hd"	"ᴴᴰ"	"鸟ᴴᴰ"	"piv"	"1"	"鸟"
"ptilonorink"	"鸟"	"pti"	"ᴾᵀᴵ"	"鸟ᴾᵀᴵ"	"piv"	"1"	"鸟"
"streptopeli"	"鸟"	"se"	"ˢᴱ"	"鸟ˢᴱ"	"piv"	"1"	"鸟"
"blank"	"白"	""	""	"白"	"basic"	"68"	"白"
"albin"	"白"	"a"	"ᴬ"	"白ᴬ"	"pejvo"	"3"	"白"
"leu^ko"	"白"	"l"	"ᴸ"	"白ᴸ"	"pejvo"	"1"	"白"
"brul"	"燃"	""	""	"燃"	"basic"	"73"	"燃"
"fuel"	"燃"	"f"	"ᶠ"	"燃ᶠ"	"pejvo"	"1"	"燃"
"buŝ"	"口"	""	""	"口"	"basic"	"33"	"口"
"luk"	"口"	"l"	"ᴸ"	"口ᴸ"	"basic"	"4"	"口"
"faŭk"	"口"	"f"	"ᶠ"	"口ᶠ"	"basic"	"5"	"口"
"stomat"	"口"	"s"	"ˢ"	"口ˢ"	"piv"	"6"	"口"
"dank"	"谢"	""	""	"谢"	"basic"	"25"	"谢"
"dekstr"	"右"	""	""	"右"	"basic"	"43"	"右"
"dolĉ"	"甘"	""	""	"甘"	"basic"	"32"	"甘"
"dom"	"屋"	""	""	"屋"	"basic"	"80"	"屋"
"dorm"	"睡"	""	""	"睡"	"basic"	"46"	"睡"
"piĵam"	"睡"	"p"	"ᴾ"	"睡ᴾ"	"basic"	"1"	"睡"
"edz"	"夫"	""	""	"夫"	"basic"	"74"	"夫"
"fal"	"落"	""	""	"落"	"basic"	"67"	"落"
"decidu"	"落"	"d"	"ᴰ"	"落ᴰ"	"piv"	"2"	"落"
"fenestr"	"窗"	""	""	"窗"	"basic"	"35"	"窗"
"giĉet"	"窗"	"g"	"ᴳ"	"窗ᴳ"	"basic"	"1"	"窗"
"ferm"	"闭"	""	""	"闭"	"basic"	"56"	"闭"
"fil"	"儿"	""	""	"儿"	"basic"	"44"	"儿"
"fingr"	"指"	""	""	"指"	"basic"	"35"	"指"
"indik"	"指"	"i"	"ᴵ"	"指ᴵ"	"basic"	"21"	"指"
"indikator"	"指"	"it"	"ᴵᵀ"	"指ᴵᵀ"	"pejvo"	"6"	"指"
"flug"	"飞"	""	""	"飞"	"basic"	"71"	"飞"
"frat"	"兄"	""	""	"兄"	"basic"	"30"	"兄"
"mono"	"单"	""	""	"单"	"pref"	"30"	"单"
"menu"	"单"	"me"	"ᴹᴱ"	"单ᴹᴱ"	"basic"	"6"	"单"
"fraŭl"	"单"	"f"	"ᶠ"	"单ᶠ"	"basic"	"8"	"单"
"singular"	"单"	"s"	"ˢ"	"单ˢ"	"basic"	"2"	"单"
"frukt"	"果"	""	""	"果"	"basic"	"65"	"果"
"nuks"	"果"	"n"	"ᴺ"	"果ᴺ"	"basic"	"14"	"果"
"frag"	"果"	"fg"	"ᶠᴳ"	"果ᶠᴳ"	"basic"	"9"	"果"
"rezult"	"果"	"r"	"ᴿ"	"果ᴿ"	"basic"	"14"	"果"
"konsekvenc"	"果"	"k"	"ᴷ"	"果ᴷ"	"basic"	"11"	"果"
"framb"	"果"	"fm"	"ᶠᴹ"	"果ᶠᴹ"	"basic"	"2"	"果"
"mirtel"	"果"	"m"	"ᴹ"	"果ᴹ"	"basic"	"2"	"果"
"aniz"	"果"	"a"	"ᴬ"	"果ᴬ"	"pejvo"	"6"	"果"
"citron"	"果"	"c"	"ᶜ"	"果ᶜ"	"pejvo"	"12"	"果"
"aliz"	"果"	"al"	"ᴬᴸ"	"果ᴬᴸ"	"pejvo"	"3"	"果"
"lici"	"果"	"l"	"ᴸ"	"果ᴸ"	"pejvo"	"2"	"果"
"rubus"	"果"	"rb"	"ᴿᴮ"	"果ᴿᴮ"	"pejvo"	"2"	"果"
"mespil"	"果"	"ms"	"ᴹˢ"	"果ᴹˢ"	"pejvo"	"5"	"果"
"gujav"	"果"	"g"	"ᴳ"	"果ᴳ"	"pejvo"	"1"	"果"
"grapfrukt"	"果"	"gr"	"ᴳᴿ"	"果ᴳᴿ"	"pejvo"	"3"	"果"
"pampelmus"	"果"	"p"	"ᴾ"	"果ᴾ"	"pejvo"	"3"	"果"
"kurm"	"果"	"kr"	"ᴷᴿ"	"果ᴷᴿ"	"piv"	"2"	"果"
"graviol"	"果"	"gl"	"ᴳᴸ"	"果ᴳᴸ"	"piv"	"1"	"果"
"c^erimoli"	"果"	"ĉ"	"ᶜ̂"	"果ᶜ̂"	"piv"	"1"	"果"
"loganber"	"果"	"lg"	"ᴸᴳ"	"果ᴸᴳ"	"piv"	"1"	"果"
"har"	"毛"	""	""	"毛"	"basic"	"82"	"毛"
"lan"	"毛"	"l"	"ᴸ"	"毛ᴸ"	"basic"	"27"	"毛"
"hor"	"钟"	""	""	"钟"	"basic"	"41"	"钟"
"horloĝ"	"钟"	"hl"	"ᴴᴸ"	"钟ᴴᴸ"	"basic"	"32"	"钟"
"interes"	"趣"	""	""	"趣"	"basic"	"22"	"趣"
"ĵet"	"投"	""	""	"投"	"basic"	"67"	"投"
"spekul"	"投"	"s"	"ˢ"	"投ˢ"	"pejvo"	"7"	"投"
"kant"	"唱"	""	""	"唱"	"basic"	"49"	"唱"
"ĥor"	"唱"	"ĥ"	"ᴴ̂"	"唱ᴴ̂"	"basic"	"14"	"唱"
"knab"	"郎"	""	""	"郎"	"basic"	"16"	"郎"
"kolor"	"色"	""	""	"色"	"basic"	"106"	"色"
"volupt"	"色"	"v"	"ⱽ"	"色ⱽ"	"basic"	"13"	"色"
"erotik"	"色"	"e"	"ᴱ"	"色ᴱ"	"basic"	"3"	"色"
"kromat"	"色"	"kr"	"ᴷᴿ"	"色ᴷᴿ"	"pejvo"	"15"	"色"
"erot"	"色"	"er"	"ᴱᴿ"	"色ᴱᴿ"	"piv"	"5"	"色"
"konsil"	"议"	""	""	"议"	"basic"	"27"	"议"
"propon"	"议"	"p"	"ᴾ"	"议ᴾ"	"basic"	"13"	"议"
"konsili"	"议"	"ki"	"ᴷᴵ"	"议ᴷᴵ"	"basic"	"10"	"议"
"parlament"	"议"	"pl"	"ᴾᴸ"	"议ᴾᴸ"	"basic"	"16"	"议"
"palavr"	"议"	"pv"	"ᴾⱽ"	"议ᴾⱽ"	"piv"	"2"	"议"
"konstru"	"建"	""	""	"建"	"basic"	"51"	"建"
"fond"	"建"	"f"	"ᶠ"	"建ᶠ"	"basic"	"21"	"建"
"kost"	"费"	""	""	"费"	"basic"	"21"	"费"
"premium"	"费"	"p"	"ᴾ"	"费ᴾ"	"piv"	"2"	"费"
"kresk"	"育"	""	""	"育"	"basic"	"43"	"育"
"eduk"	"育"	"e"	"ᴱ"	"育ᴱ"	"basic"	"35"	"育"
"kri"	"叫"	""	""	"叫"	"basic"	"32"	"叫"
"kuraĝ"	"勇"	""	""	"勇"	"basic"	"19"	"勇"
"brav"	"勇"	"b"	"ᴮ"	"勇ᴮ"	"basic"	"8"	"勇"
"kur"	"跑"	""	""	"跑"	"basic"	"63"	"跑"
"las"	"留"	""	""	"留"	"basic"	"56"	"留"
"lingv"	"语"	""	""	"语"	"basic"	"188"	"语"
"idiom"	"语"	"i"	"ᴵ"	"语ᴵ"	"pejvo"	"3"	"语"
"lit"	"床"	""	""	"床"	"basic"	"68"	"床"
"lum"	"光"	""	""	"光"	"basic"	"135"	"光"
"manĝ"	"食"	""	""	"食"	"basic"	"86"	"食"
"eklips"	"食"	"e"	"ᴱ"	"食ᴱ"	"pejvo"	"16"	"食"
"mank"	"缺"	""	""	"缺"	"basic"	"29"	"缺"
"mar"	"海"	""	""	"海"	"basic"	"167"	"海"
"maten"	"晨"	""	""	"晨"	"basic"	"23"	"晨"
"memor"	"记"	""	""	"记"	"basic"	"51"	"记"
