"root","k","id","P","band","F","gsize"
"inokul","种","i","-1.092","pejvo","5","5"
"staci","站","","-2.551","basic","29","1"
"stat","态","","-3.088","basic","41","2"
"ekologi","态","e","0.538","basic","0","2"
"amar","苦","a","-1.142","basic","5","2"
"sufer","苦","","-2.221","basic","16","2"
"gluk","糖","gl","-0.084","piv","4","9"
"glukoz","糖","g","0.389","pejvo","2","9"
"sakarid","糖","sd","-0.834","piv","9","9"
"kand","糖","kd","-0.267","pejvo","5","9"
"glucid","糖","gc","0.389","piv","2","9"
"glik","糖","gk","0.139","piv","3","9"
"bombon","糖","b","-0.122","basic","4","9"
"konfit","糖","k","-0.304","basic","5","9"
"suker","糖","","-2.182","basic","39","9"
"vagon","厢","","-2.404","basic","28","1"
"sobr","醒","s","-0.554","basic","7","2"
"vek","醒","","-1.095","basic","13","2"
"vilaĝ","村","","-1.46","basic","6","1"
"vitr","玻","","-3.222","basic","53","3"
"vitre","玻","vt","-0.365","piv","2","3"
"glac","玻","g","-0.332","pejvo","2","3"
"akuŝ","产","a","-2.49","basic","17","2"
"produkt","产","","-3.682","basic","50","2"
"prunt","借","","-2.195","basic","20","1"
"torn","车","tr","-2.298","pejvo","10","8"
"trajn","车","t","-2.971","basic","19","8"
"aŭtomobil","车","am","-0.275","basic","0","8"
"bus","车","bs","-2.223","basic","10","8"
"aŭt","车","","-3.952","basic","61","8"
"bicikl","车","b","-2.535","basic","11","8"
"kamion","车","k","-2.353","basic","9","8"
"kales^","车","kl","-2.373","pejvo","10","8"
"adres","址","","-2.347","basic","16","1"
"amuz","娱","","-1.605","basic","11","1"
"anim","魂","","-2.319","basic","33","1"
"bank","银","","-2.565","basic","34","2"
"arĝent","银","a","-1.461","basic","10","2"
"benk","凳","","-1.084","basic","10","1"
"oks","牛","o","-0.924","piv","2","2"
"bov","牛","","-3.463","basic","37","2"
"brun","褐","","-2.053","basic","28","2"
"bistr","褐","bs","0.194","pejvo","2","2"
"bust","胸","bs","-0.219","pejvo","2","4"
"brust","胸","","-2.584","basic","30","4"
"steto","胸","s","-0.759","pejvo","4","4"
"torak","胸","t","-0.536","pejvo","3","4"
"buter","黄油","","-1.58","basic","29","1"
"apne","止","a","-0.999","pejvo","2","2"
"ĉes","止","","-2.223","basic","10","2"
"danĝer","危","d","-2.339","basic","13","2"
"kriz","危","","-2.373","basic","15","2"
"etiket","礼","e","-1.246","pejvo","3","3"
"ĝentil","礼","ĝ","-2.425","basic","12","3"
"donac","礼","","-2.439","basic","13","3"
"parker","背","p","-1.092","pejvo","5","2"
"dors","背","","-2.76","basic","33","2"
"efektiv","实","e","0.538","basic","0","4"
"pragmat","实","p","-0.561","pejvo","2","4"
"reel","实","rl","-0.449","piv","2","4"
"real","实","","-2.905","basic","34","4"
"valid","效","v","-1.789","basic","13","3"
"efekt","效","et","-2.285","basic","22","3"
"efik","效","","-2.675","basic","34","3"
"izo","等","","-2.486","pref","36","3"
"ekvivalent","等","ek","-1.535","pejvo","11","3"
"egal","等","e","-2.771","basic","47","3"
"estim","尊","e","-1.228","basic","9","2"
"dign","尊","","-1.298","basic","10","2"
"flav","黄","","-2.475","basic","31","2"
"flavin","黄","fn","-0.45","piv","3","2"
"foli","叶","","-4.335","basic","98","4"
"lob","叶","l","-1.759","pejvo","7","4"
"limb","叶","lm","-0.839","pejvo","2","4"
"frond","叶","fr","-1.186","pejvo","3","4"
"font","泉","","-2.922","basic","39","1"
"freŝ","鲜","","-1.519","basic","16","1"
"fund","底","fd","-2.528","basic","23","2"
"fon","底","","-3.695","basic","79","2"
"gard","守","","-3.512","basic","49","2"
"garnizon","守","gn","-1.592","pejvo","5","2"
"genu","膝","","-1.525","basic","18","1"
"glaci","冰","","-3.411","basic","42","1"
"cindr","灰","c","-2.785","basic","22","3"
"griz","灰","","-2.691","basic","21","3"
"kalk","灰","k","-2.691","basic","21","3"
"rut","草","r","-0.809","pejvo","4","20"
"betel","草","b","-0.653","pejvo","3","20"
"alo","草","a","-1.279","pejvo","7","20"
"angelik","草","ag","-0.72","pejvo","3","20"
"papav","草","pv","-1.059","pejvo","5","20"
"krokiz","草","kz","-0.399","pejvo","2","20"
"kokleari","草","kl","-0.465","pejvo","2","20"
"cist","草","c","-0.843","pejvo","4","20"
"ciper","草","cp","-0.365","piv","2","20"
"helebor","草","hl","-0.432","pejvo","2","20"
"aspleni","草","as","-0.943","piv","4","20"
"skiz","草","s","-1.179","basic","6","20"
"eu^forbi","草","e","-0.432","pejvo","2","20"
"herb","草","","-3.453","basic","67","20"
"kareks","草","k","-0.399","pejvo","2","20"
"veratr","草","v","-0.686","pejvo","3","20"
"akant","草","ak","-0.653","pejvo","3","20"
"kenopodi","草","kn","-0.465","pejvo","2","20"
"pajl","草","p","-2.178","basic","18","20"
"anet","草","an","-0.332","pejvo","2","20"
"ink","墨","","-1.393","basic","16","2"
"tuc^","墨","t","-1.125","pejvo","12","2"
"argonau^t","虫","ag","-0.899","pejvo","2","12"
"trombidi","虫","t","-0.899","piv","2","12"
"alcioni","虫","al","-0.849","piv","2","12"
"lau^s","虫","l","-1.68","piv","7","12"
"insekt","虫","i","-2.696","basic","19","12"
"entom","虫","e","-0.749","pejvo","2","12"
"blat","虫","b","-0.699","pejvo","2","12"
"pedik","虫","p","-1.442","pejvo","5","12"
"akar","虫","a","-0.986","pejvo","3","12"
"demodeks","虫","d","-0.899","piv","2","12"
"koral","虫","k","-2.135","pejvo","11","12"
"verm","虫","","-2.736","basic","22","12"
"kondamn","判","k","-1.797","basic","8","4"
"verdikt","判","v","-0.986","pejvo","3","4"
"juĝ","判","","-3.142","basic","40","4"
"konvikt","判","kv","-0.699","piv","2","4"
"kursiv","斜","kr","-0.673","pejvo","4","6"
"bevel","斜","b","-0.423","pejvo","3","6"
"oblikv","斜","o","-1.261","basic","8","6"
"diagonal","斜","d","-0.504","pejvo","3","6"
"klin","斜","","-2.673","basic","38","6"
"strab","斜","s","-1.116","pejvo","7","6"
"galin","鸡","g","-0.613","piv","2","2"
"kok","鸡","","-2.796","basic","28","2"
"kompat","怜","","-2.133","basic","14","1"
"kovert","封","","-0.399","basic","2","5"
"defens","封","d","-0.399","piv","2","5"
"apanag^","封","a","-0.686","pejvo","3","5"
"feu^d","封","f","-2.006","pejvo","15","5"
"hermetik","封","h","-0.465","pejvo","2","5"
"krajon","笔","k","-1.953","basic","15","2"
"penik","笔","","-1.453","basic","9","2"
"invent","创","iv","-1.897","basic","8","4"
"iniciat","创","i","-2.053","basic","9","4"
"trau^mat","创","t","-1.696","pejvo","6","4"
"kre","创","","-2.685","basic","22","4"
"kruc","十字","","-3.444","basic","59","1"
"krur","腿","","-1.737","basic","18","2"
"gamb","腿","g","-0.402","basic","4","2"
"kuk","糕","","-1.922","basic","31","1"
"kuler","勺","","-2.503","basic","9","2"
"s^kop","勺","s^","-1.199","piv","2","2"
"pek","罪","","-1.86","basic","21","3"
"krim","罪","k","-1.97","basic","23","3"
"kulp","罪","kl","-1.928","basic","22","3"
"kurac","医","","-3.228","basic","40","3"
"medicin","医","m","-2.967","basic","28","3"
"hospital","医","h","-2.128","basic","11","3"
"kuz","堂","","-0.591","basic","4","1"
"lag","湖","","-2.276","basic","29","1"
"lang","舌","","-2.819","basic","24","1"
"leĝ","律","","-2.889","basic","39","4"
"kadenc","律","k","-0.91","pejvo","4","4"
"ritm","律","r","-1.536","basic","9","4"
"disciplin","律","d","-1.703","pejvo","9","4"
"lert","巧","","-2.736","basic","19","1"
"formul","式","f","-1.646","basic","6","5"
"ceremoni","式","c","-2.365","basic","12","5"
"mod","式","","-2.258","basic","14","5"
"modal","式","ml","-1.036","pejvo","3","5"
"manier","式","mn","-3.032","basic","27","5"
"mok","嘲","","-1.504","basic","18","1"
"numer","号","","-2.891","basic","21","3"
"semafor","号","sm","-1.019","pejvo","2","3"
"signal","号","s","-2.995","basic","22","3"
"profesi","职","p","-1.73","basic","13","2"
"ofic","职","","-2.673","basic","38","2"
"influ","影","i","-0.679","basic","7","3"
"ombr","影","o","-1.716","basic","22","3"
"film","影","","-2.387","basic","44","3"
"universal","普","u","-2.16","basic","22","3"
"cens","普","c","-0.286","pejvo","3","3"
"ordinar","普","","-1.971","basic","19","3"
"ovol","卵","ol","-1.417","pejvo","6","3"
"ov","卵","","-3.123","basic","41","3"
"kojon","卵","k","-0.613","piv","2","3"
"tek","包","t","-1.877","pejvo","8","4"
"bandaĝ","包","bn","-1.652","basic","5","4"
"pak","包","","-3.177","basic","32","4"
"bulk","包","b","-1.819","basic","7","4"
"pork","猪","","-1.954","basic","18","3"
"sued","猪","s","-0.108","piv","2","3"
"apr","猪","a","-0.368","basic","3","3"
"poŝ","袋","p","-2.201","basic","24","3"
"sak","袋","","-2.832","basic","46","3"
"marsupi","袋","m","-0.189","piv","2","3"
"prefer","宁","p","-2.258","basic","10","2"
"seren","宁","","-2.103","basic","9","2"
"promes","诺","","-2.124","basic","18","1"
"paf","射","","-2.94","basic","46","9"
"s^ot","射","s^","-1.036","pejvo","6","9"
"ejakul","射","e","-0.566","pejvo","3","9"
"incid","射","i","-1.229","pejvo","7","9"
"jekci","射","j","-1.229","piv","7","9"
"aktin","射","a","-1.453","piv","9","9"
"projekci","射","pr","-1.805","pejvo","12","9"
"radi","射","r","-3.916","basic","120","9"
"katapult","射","k","-0.339","pejvo","2","9"
"region","区","","-3.095","basic","20","3"
"kvartal","区","k","-3.121","basic","19","3"
"distrikt","区","d","-2.503","basic","9","3"
"rag^","王","rg^","-0.924","pejvo","2","3"
"reĝ","王","","-3.514","basic","39","3"
"rojal","王","rj","-1.074","pejvo","2","3"
"orto","直","o","-1.653","pejvo","9","2"
"rekt","直","","-3.014","basic","38","2"
"religi","宗","","-2.757","basic","27","1"
"recidiv","复","rc","-0.72","piv","3","9"
"komplik","复","kp","-1.636","basic","9","9"
"kompleks","复","km","-1.932","basic","12","9"
"restau^r","复","rs","-1.125","pejvo","5","9"
"kopi","复","","-2.699","basic","31","9"
"faksimil","复","f","-0.465","pejvo","2","9"
"ripet","复","r","-1.906","basic","13","9"
"anafor","复","a","-0.399","piv","2","9"
"reprograf","复","rg","-0.499","piv","2","9"
"ŝaf","羊","","-2.882","basic","27","3"
"ovi","羊","o","-0.649","piv","2","3"
"kapr","羊","k","-2.373","basic","15","3"
"trunk","干","t","-2.765","basic","12","3"
"kser","干","k","-1.486","piv","3","3"
"sek","干","","-4.025","basic","55","3"
"sever","严","","-1.594","basic","7","3"
"rigor","严","r","-1.711","pejvo","8","3"
"serioz","严","sz","-1.955","basic","10","3"
"serur","锁","s","-1.005","basic","7","2"
"ŝlos","锁","","-2.196","basic","26","2"
"spir","息","","-2.809","basic","39","1"
"spirit","灵","","-2.735","basic","23","2"
"spiritual","灵","sl","-0.784","pejvo","2","2"
"marod","偷","m","-0.135","pejvo","2","3"
"klepto","偷","k","-0.162","piv","2","3"
"ŝtel","偷","","-2.536","basic","33","3"
"planed","星","p","-1.497","basic","8","5"
"astr","星","a","-2.124","basic","17","5"
"sider","星","sd","-0.876","pejvo","4","5"
"satelit","星","st","-1.731","basic","10","5"
"stel","星","","-3.083","basic","46","5"
"gam","阶","g","-1.747","pejvo","8","3"
"ŝtup","阶","","-2.645","basic","20","3"
"stadi","阶","s","-1.036","basic","3","3"
"ĝeneral","总","ĝ","-2.378","basic","20","3"
"sum","总","","-2.196","basic","19","3"
"total","总","t","-1.346","basic","7","3"
"inventar","盘","i","-0.504","pejvo","3","4"
"teler","盘","t","-1.809","basic","15","4"
"disk","盘","","-2.901","basic","48","4"
"plet","盘","p","-0.619","basic","4","4"
"terur","恐","","-1.347","basic","8","1"
"tond","剪","","-2.054","basic","20","3"
"c^izoj","剪","c^","-0.135","piv","2","3"
"stuc","剪","s","-0.108","pejvo","2","3"
"traf","击","","-2.918","basic","23","1"
"tru","穴","","-3.572","basic","48","1"
"vapor","汽","","-3.275","basic","42","1"
"ampleks","广","a","-3.108","basic","14","2"
"vast","广","","-3.566","basic","31","2"
"bier","酒","b","-2.165","basic","20","6"
"vin","酒","","-3.324","basic","68","6"
"g^in","酒","g^","-0.699","pejvo","4","6"
"brand","酒","bn","-1.635","basic","11","6"
"likvor","酒","l","-1.483","pejvo","9","6"
"sake","酒","s","-0.219","pejvo","2","6"
"brec^","裂","b","-0.846","pejvo","6","6"
"krev","裂","k","-0.979","basic","7","6"
"skism","裂","s","-0.717","pejvo","5","6"
"fend","裂","f","-2.511","basic","36","6"
"ŝir","裂","","-2.094","basic","24","6"
"dehisk","裂","d","-0.742","pejvo","5","6"
"fot","拍","","-3.79","basic","87","4"
"takt","拍","t","-2.24","basic","17","4"
"ikt","拍","i","-0.411","piv","2","4"
"raked","拍","r","-0.081","basic","1","4"
"inklud","含","id","-0.943","pejvo","3","3"
"inkluziv","含","","-1.722","basic","7","3"
"implic","含","im","-2.042","pejvo","11","3"
"kamarad","伴","kr","-1.797","basic","8","4"
"koleg","伴","kl","-1.594","basic","7","4"
"partner","伴","p","-0.699","pejvo","2","4"
"kompani","伴","","-2.735","basic","22","4"
"tang^","接","t","-0.395","pejvo","3","4"
"splis","接","s","-0.646","pejvo","4","4"
"kontakt","接","","-2.269","basic","23","4"
"junt","接","j","-1.494","pejvo","11","4"
"kotiz","纳","","-2.079","basic","12","1"
"novel","篇","","0.014","basic","3","1"
"katalog","录","k","-1.072","basic","4","3"
"registr","录","","-2.989","basic","33","3"
"protokol","录","p","-1.579","basic","7","3"
"rezerv","储","","-2.351","basic","29","2"
"stok","储","s","-0.692","basic","5","2"
"bac","响","b","-0.299","piv","2","4"
"laŭt","响","l","-2.124","basic","17","4"
"klak","响","","-2.178","basic","18","4"
"sonor","响","s","-2.445","basic","23","4"
"skarifik","划","sf","-1.409","pejvo","4","6"
"strek","划","s","-3.313","basic","38","6"
"pagaj","划","pg","-0.749","pejvo","2","6"
"hac^","划","h","-1.159","piv","4","6"
"plan","划","","-3.384","basic","43","6"
"rem","划","r","-2.383","basic","16","6"
"adapt","适","a","-1.569","basic","9","5"
"moder","适","m","-1.975","basic","14","5"
"konven","适","k","-1.785","basic","11","5"
"akomod","适","ak","-0.686","pejvo","3","5"
"taŭg","适","","-1.941","basic","14","5"
"akir","获","","-2.211","basic","21","2"
"rikolt","获","r","-1.745","basic","12","2"
"akompan","陪","","-1.513","basic","9","1"
"akr","锐","","-2.171","basic","26","2"
"akut","锐","at","-1.202","pejvo","9","2"
"reklam","宣","r","-2.391","basic","21","4"
"anonc","宣","","-2.039","basic","15","4"
"deklar","宣","d","-1.785","basic","11","4"
"proklam","宣","p","-1.279","pejvo","6","4"
"aparten","属","","-0.921","basic","6","2"
"genr","属","g","-0.846","pejvo","6","2"
"fili","支","f","-1.286","basic","3","4"
"apog","支","","-3.078","basic","23","4"
"bronk","支","b","-2.172","pejvo","8","4"
"klad","支","k","-1.692","piv","5","4"
"aprob","肯","","-1.69","basic","9","1"
"arm","武","","-3.001","basic","39","1"
"agres","攻","ag","-1.912","pejvo","10","3"
"ofensiv","攻","o","-0.986","pejvo","3","3"
"atak","攻","","-2.649","basic","23","3"
"alarm","警","a","-0.744","basic","12","3"
"polic","警","","-1.223","basic","20","3"
"avert","警","av","0.029","basic","5","3"
"bar","障","","-2.266","basic","32","2"
"handikap","障","h","-0.964","pejvo","7","2"
"baston","棒","","-2.447","basic","32","1"
"blov","吹","","-2.937","basic","31","2"
"blag","吹","bg","-0.57","pejvo","2","2"
"bol","沸","","-2.448","basic","22","1"
"botel","瓶","","-2.647","basic","32","3"
"flakon","瓶","f","-0.566","pejvo","3","3"
"karaf","瓶","k","-0.249","basic","2","3"
"verg","枝","","-1.989","basic","13","3"
"branĉ","枝","b","-2.606","basic","24","3"
"rabd","枝","r","-0.736","piv","3","3"
"buton","扣","","-2.694","basic","20","3"
"buk","扣","bk","-1.342","basic","5","3"
"agraf","扣","a","-1.442","pejvo","5","3"
"ĉapitr","章","","0.243","basic","1","1"
"pred","猎","p","-0.801","pejvo","5","2"
"ĉas","猎","","-2.789","basic","44","2"
"ĉemiz","衫","","-2.096","basic","14","2"
"bluz","衫","b","-0.449","basic","2","2"
"danc","舞","","-2.152","basic","31","2"
"bal","舞","b","-0.61","basic","6","2"
"prevent","防","p","-2.148","pejvo","10","3"
"defend","防","","-2.919","basic","24","3"
"profilaktik","防","pf","-1.049","pejvo","2","3"
"delikat","细","dk","-2.795","basic","27","2"
"detal","细","","-2.383","basic","19","2"
"dec^ifr","密","dc^","-0.855","pejvo","5","4"
"c^ifr","密","c^","-1.407","pejvo","10","4"
"kompakt","密","k","-1.656","pejvo","12","4"
"dens","密","","-2.793","basic","43","4"
"desegn","绘","","-2.596","basic","26","1"
"doktor","博","","-1.435","basic","11","2"
"erudici","博","e","-0.361","pejvo","3","2"
"eben","平","","-3.107","basic","28","2"
"nivel","平","n","-3.411","basic","36","2"
"esting","灭","","-2.568","basic","14","1"
"rifuĝ","避","r","-0.573","basic","7","2"
"evit","避","","-1.183","basic","14","2"
"faden","丝","f","-3.489","basic","39","4"
"filament","丝","fl","-1.366","pejvo","3","4"
"silk","丝","","-2.875","basic","22","4"
"filigran","丝","fg","-1.079","pejvo","2","4"
"fak","专","","-3.291","basic","31","1"
"kamufl","伪","k","-1.492","pejvo","5","5"
"fals","伪","","-2.736","basic","22","5"
"pseŭdo","伪","p","-3.101","pref","29","5"
"apokrif","伪","a","-0.849","pejvo","2","5"
"postic^","伪","pt","-0.799","pejvo","2","5"
"lojal","忠","l","-1.69","basic","9","2"
"fidel","忠","","-2.027","basic","13","2"
"fier","骄","","-2.006","basic","15","1"
"firm","坚","","-2.244","basic","15","4"
"fortik","坚","ft","-2.447","basic","17","4"
"persist","坚","p","-1.797","basic","8","4"
"insist","坚","i","-1.637","basic","7","4"
"flag","旗","","-1.682","basic","19","3"
"standard","旗","s","-0.158","basic","3","3"
"veksil","旗","v","0.173","piv","2","3"
"bifid","叉","b","-1.299","piv","2","4"
"harpun","叉","h","-2.092","pejvo","5","4"
"fork","叉","","-3.044","basic","18","4"
"dikotom","叉","d","-1.499","piv","2","4"
"tabak","烟","t","-1.923","basic","15","3"
"fum","烟","","-3.002","basic","49","3"
"cigared","烟","c","-1.289","basic","7","3"
"pasaĝer","客","p","-1.636","basic","9","4"
"gast","客","","-2.452","basic","24","4"
"klient","客","k","-0.686","basic","3","4"
"objektiv","客","o","0.633","basic","0","4"
"j^am","扰","j^","-0.527","piv","2","3"
"perturb","扰","p","-2.165","pejvo","12","3"
"ĝen","扰","","-2.607","basic","23","3"
"seb","脂","s","-1.287","pejvo","8","8"
"lard","脂","l","-1.605","basic","11","8"
"steat","脂","st","-0.759","piv","4","8"
"kopal","脂","k","-0.536","piv","3","8"
"gras","脂","","-2.731","basic","36","8"
"adip","脂","a","-0.729","piv","4","8"
"rezin","脂","r","-1.715","pejvo","12","8"
"lipid","脂","lp","-1.229","piv","7","8"
"gut","滴","","-2.098","basic","30","1"
"kortik","皮","k","-1.469","piv","4","6"
"fel","皮","","-2.57","basic","17","6"
"dermat","皮","dt","-1.652","pejvo","5","6"
"haŭt","皮","h","-3.378","basic","37","6"
"derm","皮","d","-2.875","sci","22","6"
"pelt","皮","p","-2.043","basic","9","6"
"ard","热","","-1.798","basic","14","6"
"furor","热","fr","-1.229","pejvo","7","6"
"entuziasm","热","e","-1.573","basic","9","6"
"fervor","热","f","-1.377","basic","8","6"
"hejt","热","h","-2.298","basic","23","6"
"termik","热","t","-1.483","pejvo","9","6"
"honest","诚","","-2.369","basic","18","2"
"sincer","诚","s","-1.504","basic","7","2"
"honor","誉","","-2.399","basic","35","1"
"hont","耻","","-2.01","basic","17","1"
"imit","仿","","-2.433","basic","16","3"
"pastic^","仿","p","-0.799","pejvo","2","3"
"mim","仿","m","-0.649","pejvo","2","3"
"industri","业","","-3.618","basic","37","1"
"herold","告","h","-0.656","basic","2","3"
"aviz","告","a","-1.417","pejvo","6","3"
"inform","告","","-3.083","basic","33","3"
"insul","岛","","-3.54","basic","55","1"
"konvink","服","k","-2.027","basic","12","4"
"persvad","服","p","-1.254","pejvo","5","4"
"obe","服","","-1.797","basic","11","4"
"jak","服","j","-1.51","basic","8","4"
"album","册","a","-1.186","basic","3","6"
"kajer","册","","-2.103","basic","9","6"
"volum","册","v","-1.186","basic","3","6"
"broŝur","册","b","-1.806","basic","6","6"
"ekzempler","册","e","-1.832","basic","5","6"
"prospekt","册","p","-1.079","pejvo","2","6"
"valiz","箱","v","-0.209","basic","4","4"
"kest","箱","","-2.341","basic","42","4"
"kofr","箱","kf","-0.19","pejvo","4","4"
"kontener","箱","kn","-0.046","piv","3","4"
"kis","吻","","-1.914","basic","11","1"
"diastol","舒","d","-0.074","pejvo","2","2"
"komfort","舒","","-1.54","basic","12","2"
"kompar","较","","-1.888","basic","14","2"
"komparativ","较","kt","-0.909","pejvo","4","2"
"kondiĉ","件","","-2.878","basic","23","1"
"konstant","恒","","-2.586","basic","24","1"
"dia","通","d","-2.181","pejvo","21","2"
"korespond","通","","-1.668","basic","10","2"
"s^pat","耕","s^","-0.506","pejvo","3","3"
"kultur","耕","","-3.03","basic","46","3"
"plug","耕","p","-2.01","basic","17","3"
"lamp","灯","","-3.155","basic","34","2"
"lucern","灯","lc","-0.799","pejvo","2","2"
"kurs","课","","-2.416","basic","26","2"
"lecion","课","l","-0.789","basic","4","2"
"amarant","菜","am","-0.477","pejvo","3","6"
"lap","菜","lp","-0.081","basic","2","6"
"o-brasik","菜","o","-0.217","piv","2","6"
"brasik","菜","b","-2.529","basic","31","6"
"legom","菜","","-1.809","basic","15","6"
"artis^ok","菜","a","-0.7","pejvo","4","6"
"labi","唇","lb","-0.219","pejvo","2","3"
"labial","唇","ll","-0.279","pejvo","2","3"
"lip","唇","","-2.225","basic","22","3"
"alfabet","字","a","-2.235","basic","11","5"
"karaktr","字","k","-1.696","pejvo","6","5"
"uskl","字","u","-1.21","pejvo","4","5"
"liter","字","","-3.176","basic","33","5"
"aboc","字","ac","-0.699","pejvo","2","5"
"maŝin","机","","-4.139","basic","88","4"
"meĥanism","机","mĥ","0.2","basic","0","4"
"meh^an","机","mh^","-1.596","pejvo","6","4"
"ŝanc","机","ŝ","-1.797","basic","8","4"
"familiar","熟","f","-0.857","basic","8","2"
"matur","熟","","-1.596","basic","19","2"
"abon","订","","-3.119","basic","24","2"
"mend","订","m","-2.991","basic","21","2"
"mensog","谎","","-1.366","basic","9","1"
"kapacitanc","容","kn","-0.399","pejvo","2","3"
"kapacit","容","k","-1.002","pejvo","5","3"
"mien","容","","-1.953","basic","16","3"
"milion","百万","","-1.38","num","7","2"
"mega","百万","mg","-1.536","pejvo","9","2"
"minac","胁","","-1.179","basic","5","1"
"turism","游","t","-1.894","basic","18","4"
"tramp","游","tp","-0.024","pejvo","2","4"
"naĝ","游","","-2.746","basic","47","4"
"ekskurs","游","e","-1.054","basic","7","4"
"najbar","邻","","-1.86","basic","9","1"
"nep","孙","","-1.159","basic","4","1"
"nev","侄","","-1.258","basic","6","1"
"oft","常","","-1.547","basic","12","1"
"nord","北","","-3.141","basic","29","1"
"okcident","西","","-2.978","basic","23","1"
"ole","油","","-3.617","basic","73","2"
"petrol","油","p","-2.603","basic","23","2"
"ond","波","","-3.877","basic","95","1"
"orient","东","","-3.644","basic","43","2"
"oriental","东","ol","-1.079","pejvo","2","2"
"skelet","骨","s","-1.259","basic","7","2"
"ost","骨","","-3.06","basic","52","2"
"pacienc","忍","p","-1.998","basic","10","3"
"toler","忍","","-2.559","basic","20","3"
"stoik","忍","s","-1.306","pejvo","5","3"
"pantalon","裤","p","-1.565","basic","12","2"
"kalson","裤","","-1.029","basic","7","2"
"past","糊","","-1.576","basic","19","2"
"amel","糊","a","-0.883","pejvo","9","2"
"pel","驱","","-2.863","basic","30","1"
"pentr","描","","-2.215","basic","23","1"
"lancin","刺","l","-0.811","piv","3","6"
"spron","刺","s","-1.179","pejvo","5","6"
"pik","刺","","-3.119","basic","44","6"
"dorn","刺","d","-2.294","basic","18","6"
"strid","刺","st","-0.486","piv","2","6"
"punktur","刺","pn","-1.254","piv","5","6"
"glob","球","","-2.647","basic","37","7"
"glomerul","球","gm","-0.217","piv","2","7"
"sfer","球","s","-2.41","basic","29","7"
"futbal","球","f","-1.009","basic","6","7"
"pilk","球","p","-2.054","basic","20","7"
"bulb","球","b","-1.717","basic","14","7"
"balon","球","bn","-1.339","basic","9","7"
"kuspid","尖","k","-1.086","piv","3","3"
"apeks","尖","a","-0.749","piv","2","3"
"pint","尖","","-3.407","basic","44","3"
"plant","植","","-3.256","basic","75","4"
"fit","植","f","-1.273","pejvo","10","4"
"vegetal","植","v","-0.767","basic","5","4"
"botanik","植","b","-1.277","basic","9","4"
"pom","苹","","-2.839","basic","33","1"
"pont","桥","","-2.646","basic","33","1"
"praktik","践","","-1.865","basic","17","1"
"akurat","准","a","-0.566","basic","3","2"
"preciz","准","","-2.013","basic","16","2"
"preĝ","祈","","-2.294","basic","18","1"
"premi","奖","","-1.752","basic","11","1"
"impres","印","i","-2.258","basic","10","7"
"patric","印","pc","-0.959","pejvo","2","7"
"pres","印","","-3.547","basic","44","7"
"sigel","印","sg","-2.573","basic","15","7"
"mime","印","m","-0.839","pejvo","2","7"
"stamp","印","s","-2.744","basic","18","7"
"print","印","pn","-1.592","pejvo","5","7"
"tarif","价","t","-2.358","basic","14","4"
"kurz","价","k","-2.49","pejvo","17","4"
"prez","价","","-3.384","basic","43","4"
"valent","价","v","-2.098","pejvo","10","4"
"progres","进","p","-2.544","basic","18","4"
"progresi","进","pr","-1.252","pejvo","4","4"
"import","进","","-1.86","basic","9","4"
"avanc","进","a","-0.9","pejvo","3","4"
"penal","罚","pl","-0.653","pejvo","3","2"
"pun","罚","","-2.567","basic","28","2"
"verticil","轮","v","-1.446","piv","6","2"
"rad","轮","","-3.423","basic","60","2"
"preskrib","规","p","-0.599","basic","2","4"
"regul","规","","-3.376","basic","53","4"
"cirkel","规","c","-1.504","basic","7","4"
"reglament","规","rm","-0.636","pejvo","2","4"
"rekomend","荐","","-1.669","basic","9","1"
"piet","敬","pt","0.001","pejvo","2","5"
"omag^","敬","o","-0.509","pejvo","4","5"
"devot","敬","d","-0.535","piv","4","5"
"pi","敬","","-1.74","basic","17","5"
"respekt","敬","r","-1.747","basic","15","5"
"retikul","网","rk","-1.136","piv","3","3"
"tenis","网","t","-1.847","basic","8","3"
"ret","网","","-3.724","basic","64","3"
"rifuz","拒","","-1.46","basic","6","1"
"rilat","关","","-2.785","basic","22","2"
"dogan","关","d","-2.048","basic","10","2"
"ripar","修","","-1.569","basic","9","1"
"respons","责","rs","-1.072","pejvo","4","2"
"riproĉ","责","","-1.823","basic","10","2"
"sal","盐","","-2.804","basic","40","1"
"sankt","圣","","-3.607","basic","44","3"
"sakral","圣","sr","-0.959","piv","2","3"
"hagi","圣","h","-0.839","piv","2","3"
"sap","皂","","-2.564","basic","22","1"
"sav","救","","-2.619","basic","37","1"
"ac","科","a","-1.364","pejvo","8","4"
"sekci","科","sk","-0.876","basic","4","4"
"scienc","科","","-3.343","basic","56","4"
"ed","科","e","-2.057","pejvo","17","4"
"esoter","秘","e","-0.566","pejvo","3","5"
"sekret","秘","","-2.225","basic","20","5"
"sekretari","秘","sk","-1.573","basic","9","5"
"konfidenc","秘","k","-1.467","basic","8","5"
"kabal","秘","kb","-0.536","pejvo","3","5"
"procesi","列","p","-2.053","pejvo","9","3"
"seri","列","s","-2.373","basic","15","3"
"vic","列","","-3.61","basic","57","3"
"trimestr","季","t","-0.599","pejvo","2","2"
"sezon","季","","-2.566","basic","23","2"
"simbol","符","sm","-1.772","basic","14","2"
"sign","符","","-3.44","basic","83","2"
"skatol","盒","s","-1.897","basic","16","2"
