"root","k","id","band","F"
"sinkret","混","s","pejvo","2"
"par","偶","","basic","32"
"pup","偶","pp","basic","11"
"hazard","偶","h","basic","8"
"eventual","偶","e","basic","7"
"marionet","偶","m","pejvo","2"
"kontingenc","偶","k","pejvo","3"
"akcidenc","偶","a","piv","2"
"publik","公","","basic","46"
"just","公","j","basic","18"
"public","公","pc","pejvo","3"
"spert","验","","basic","21"
"eksperiment","验","e","basic","12"
"empiri","验","em","pejvo","7"
"te","茶","","basic","41"
"mate","茶","m","pejvo","1"
"kameli","茶","k","pejvo","3"
"trov","找","","basic","22"
"venk","胜","","basic","32"
"volv","卷","","basic","42"
"rul","卷","r","basic","75"
"friz","卷","f","basic","14"
"bukl","卷","b","basic","6"
"cirus","卷","c","pejvo","3"
"afabl","善","","basic","14"
"ĉeval","马","","basic","51"
"onagr","马","o","piv","1"
"halt","停","","basic","31"
"kape","停","k","pejvo","2"
"suspend","停","s","piv","2"
"kort","院","","basic","19"
"kolegi","院","kl","basic","4"
"akademi","院","a","basic","5"
"institut","院","i","basic","4"
"jur","法","","basic","19"
"metod","法","m","basic","17"
"rimed","法","r","basic","14"
"metodik","法","mk","pejvo","2"
"angul","角","","basic","85"
"korn","角","k","basic","33"
"rol","角","r","basic","9"
"goni","角","g","piv","5"
"kerat","角","kt","piv","5"
"unik","独","","basic","7"
"apart","独","a","basic","13"
"av","爷","","basic","10"
"bord","岸","","basic","18"
"brak","臂","","basic","29"
"bru","噪","","basic","27"
"kakofoni","噪","k","piv","2"
"ĉapel","帽","","basic","22"
"ĉap","帽","ĉa","basic","16"
"kasked","帽","k","basic","1"
"kuf","帽","kf","pejvo","3"
"kapuc^","帽","kp","pejvo","3"
"kapucen","帽","kc","pejvo","3"
"ekzempl","例","","basic","9"
"kaz","例","k","basic","6"
"fer","铁","","basic","66"
"fero","铁","fo","pejvo","4"
"fest","庆","","basic","31"
"Pask","庆","P","basic","3"
"celebr","庆","c","basic","2"
"festival","庆","fv","basic","4"
"frap","敲","","basic","45"
"gajn","赢","","basic","11"
"kol","颈","","basic","36"
"cervik","颈","c","pejvo","5"
"kutim","习","","basic","25"
"lini","线","","basic","85"
"drat","线","d","basic","31"
"line","线","le","pejvo","5"
"linear","线","lr","pejvo","6"
"mezur","测","","basic","57"
"metri","测","mt","sci","60"
"bir","测","b","pejvo","6"
"gau^g^","测","g","pejvo","5"
"test","测","t","pejvo","4"
"moment","刻","","basic","13"
"noc^","刻","n","pejvo","6"
"gravur","刻","g","pejvo","16"
"nombr","数","","basic","78"
"cifer","数","c","basic","25"
"numeral","数","nr","basic","3"
"ord","序","","basic","47"
"sekvenc","序","s","piv","2"
"ordon","令","","basic","14"
"komand","令","k","basic","15"
"edikt","令","e","pejvo","3"
"imperativ","令","i","pejvo","2"
"paŝ","步","","basic","48"
"marŝ","步","m","basic","11"
"promen","步","pr","basic","10"
"pen","努","","basic","15"
"plank","板","","basic","8"
"lad","板","l","basic","30"
"tabul","板","t","basic","49"
"bret","板","b","basic","10"
"karton","板","k","basic","13"
"plak","板","pk","pejvo","12"
"panel","板","pn","pejvo","8"
"plend","诉","","basic","9"
"akuz","诉","a","basic","10"
"apel","诉","ap","pejvo","3"
"reklamaci","诉","r","pejvo","2"
"muzik","乐","","basic","48"
"plezur","乐","p","basic","13"
"orkestr","乐","o","basic","8"
"optim","乐","op","pejvo","3"
"sangvin","乐","s","pejvo","2"
"hedon","乐","h","piv","2"
"plum","羽","","basic","34"
"volan","羽","v","pejvo","3"
"prav","理","","basic","12"
"raci","理","r","basic","11"
"trakt","理","t","basic","17"
"logik","理","l","basic","6"
"racional","理","rn","pejvo","9"
"profund","深","","basic","25"
"rond","圆","","basic","36"
"cirkl","圆","c","basic","23"
"roz","玫","","basic","35"
"salt","跳","","basic","47"
"kapriol","跳","k","pejvo","2"
"sang","血","","basic","86"
"emi","血","e","suf","26"
"hemo","血","h","piv","7"
"hemat","血","ht","piv","3"
"sem","种","","basic","33"
"spec","种","sp","basic","24"
"ras","种","r","sci","20"
"speci","种","si","pejvo","13"
"inokul","种","i","pejvo","5"
"staci","站","","basic","29"
"stat","态","","basic","41"
"ekologi","态","e","basic","0"
"sufer","苦","","basic","16"
"amar","苦","a","basic","5"
"suker","糖","","basic","39"
"konfit","糖","k","basic","5"
"bombon","糖","b","basic","4"
"kand","糖","kd","pejvo","5"
"glukoz","糖","g","pejvo","2"
"gluk","糖","gl","piv","4"
"glik","糖","gi","piv","3"
"sakarid","糖","sd","piv","9"
"glucid","糖","gc","piv","2"
"vagon","厢","","basic","28"
"vek","醒","","basic","13"
"sobr","醒","s","basic","7"
"vilaĝ","村","","basic","6"
"vitr","玻","","basic","53"
"glac","玻","g","pejvo","2"
"vitre","玻","ve","piv","2"
"produkt","产","","basic","50"
"akuŝ","产","a","basic","17"
"prunt","借","","basic","20"
"aŭt","车","","basic","61"
"bus","车","b","basic","10"
"trajn","车","t","basic","19"
"bicikl","车","bc","basic","11"
"kamion","车","k","basic","9"
"aŭtobus","车","ab","basic","3"
"aŭtomobil","车","am","basic","0"
"torn","车","tn","pejvo","10"
"kales^","车","kl","pejvo","10"
"adres","址","","basic","16"
"amuz","娱","","basic","11"
"anim","魂","","basic","33"
"arĝent","银","","basic","10"
"bank","银","b","basic","34"
"benk","凳","","basic","10"
"bov","牛","","basic","37"
"oks","牛","o","piv","2"
"poefag","牛","p","piv","1"
"brun","褐","","basic","28"
"bistr","褐","bs","pejvo","2"
"brust","胸","","basic","30"
"bust","胸","bs","pejvo","2"
"steto","胸","s","pejvo","4"
"torak","胸","t","pejvo","3"
"buter","黄油","","basic","29"
"ĉes","止","","basic","10"
"apne","止","a","pejvo","2"
"danĝer","危","","basic","13"
"kriz","危","k","basic","15"
"donac","礼","","basic","13"
"ĝentil","礼","ĝ","basic","12"
"etiket","礼","e","pejvo","3"
"dors","背","","basic","33"
"parker","背","p","pejvo","5"
"real","实","","basic","34"
"efektiv","实","e","basic","0"
"pragmat","实","p","pejvo","2"
"reel","实","re","piv","2"
"efik","效","","basic","34"
"efekt","效","et","basic","22"
"valid","效","v","basic","13"
"egal","等","","basic","47"
"izo","等","i","pref","36"
"ekvivalent","等","ek","pejvo","11"
"estim","尊","","basic","9"
"dign","尊","d","basic","10"
"flav","黄","","basic","31"
"flavin","黄","fn","piv","3"
"foli","叶","","basic","98"
"lob","叶","l","pejvo","7"
"limb","叶","lm","pejvo","2"
"frond","叶","fr","pejvo","3"
"font","泉","","basic","39"
"freŝ","鲜","","basic","16"
"fund","底","","basic","23"
"fon","底","fo","basic","79"
"gard","守","","basic","49"
"garnizon","守","gn","pejvo","5"
"genu","膝","","basic","18"
"glaci","冰","","basic","42"
"griz","灰","","basic","21"
"kalk","灰","k","basic","21"
"cindr","灰","c","basic","22"
"herb","草","","basic","67"
"pajl","草","p","basic","18"
"skiz","草","s","basic","6"
"alo","草","a","pejvo","7"
"rut","草","r","pejvo","4"
"cist","草","c","pejvo","4"
"anet","草","an","pejvo","2"
"papav","草","pp","pejvo","5"
"kres","草","k","pejvo","1"
"betel","草","b","pejvo","3"
"akant","草","ak","pejvo","3"
"solan","草","sl","pejvo","1"
"borag","草","br","pejvo","1"
"veratr","草","v","pejvo","3"
"krokiz","草","kk","pejvo","2"
"kareks","草","ks","pejvo","2"
"anagal","草","ag","pejvo","1"
"angelik","草","al","pejvo","3"
"eu^forbi","草","e","pejvo","2"
"helebor","草","hl","pejvo","2"
"tragant","草","t","pejvo","1"
"kenopodi","草","kn","pejvo","2"
"kokleari","草","kl","pejvo","2"
"ranunkol","草","rn","pejvo","1"
"umbelifer","草","u","pejvo","1"
"asklepiad","草","as","pejvo","1"
"ciper","草","cp","piv","2"
"psilot","草","ps","piv","1"
"apocin","草","ap","piv","1"
"aspleni","草","ae","piv","4"
"ze","草","z","piv","1"
"air","草","ar","piv","1"
"ami","草","am","piv","1"
"fle","草","f","piv","1"
"tam","草","tm","piv","1"
"trap","草","tp","piv","3"
"bas^o","草","bŝ","piv","2"
"aizo","草","az","piv","1"
"arum","草","au","piv","1"
"ajug","草","aj","piv","1"
"akor","草","ao","piv","1"
"akte","草","at","piv","1"
"alis","草","ai","piv","1"
"amom","草","amo","piv","1"
"anil","草","ani","piv","1"
"azol","草","azo","piv","1"
"dau^k","草","d","piv","1"
"drab","草","dr","piv","1"
"etuz","草","et","piv","1"
"gage","草","g","piv","1"
"galg","草","gl","piv","1"
"gomb","草","gm","piv","1"
"holk","草","hk","piv","1"
"iksi","草","i","piv","1"
"inul","草","in","piv","1"
"kala","草","ka","piv","1"
"kalt","草","kt","piv","1"
"keir","草","ki","piv","1"
"lemn","草","l","piv","1"
"lige","草","lg","piv","1"
"loli","草","ll","piv","1"
"madi","草","m","piv","1"
"ocim","草","o","piv","1"
"ofri","草","of","piv","1"
"oriz","草","or","piv","1"
"rami","草","rm","piv","1"
"read","草","rd","piv","1"
"reum","草","ru","piv","1"
"rubi","草","rb","piv","1"
"seki","草","se","piv","1"
"sium","草","sm","piv","1"
"sonk","草","sn","piv","1"
"taps","草","ts","piv","1"
"tife","草","tf","piv","1"
"vign","草","vg","piv","1"
"paris","草","pr","piv","2"
"alium","草","ali","piv","1"
"apios","草","api","piv","1"
"arkte","草","ark","piv","1"
"arund","草","ad","piv","1"
"arunk","草","aru","piv","1"
"belis","草","bl","piv","1"
"bleti","草","bt","piv","1"
"butom","草","bm","piv","1"
"cinar","草","cn","piv","1"
"circe","草","cr","piv","1"
"cirsi","草","cs","piv","1"
"citin","草","ct","piv","1"
"dione","草","dn","piv","1"
"donak","草","do","piv","1"
"drimi","草","dm","piv","1"
"elode","草","el","piv","1"
"erodi","草","er","piv","1"
"floks","草","fk","piv","1"
"formi","草","fr","piv","1"
"frezi","草","fz","piv","1"
"gnidi","草","gn","piv","1"
"humul","草","hm","piv","1"
"ipome","草","ip","piv","1"
"kardu","草","kd","piv","1"
"karum","草","km","piv","1"
"kleom","草","ke","piv","1"
"koniz","草","kz","piv","1"
"kritm","草","kr","piv","1"
"latre","草","lt","piv","1"
"luzul","草","lz","piv","1"
"mimul","草","mm","piv","1"
"napel","草","n","piv","1"
"nepet","草","nt","piv","1"
"nopal","草","no","piv","1"
"panak","草","pn","piv","1"
"pecaj","草","pc","piv","1"
"pense","草","pe","piv","1"
"pepon","草","po","piv","1"
"samol","草","sa","piv","1"
"scirp","草","sc","piv","1"
"selin","草","si","piv","1"
"sezel","草","sz","piv","1"
"silib","草","sb","piv","1"
"sizar","草","sr","piv","1"
"tag^et","草","tĝ","piv","1"
"tapsi","草","ti","piv","1"
"tazet","草","tz","piv","1"
"tlasp","草","tl","piv","1"
"trili","草","tr","piv","1"
"troli","草","to","piv","1"
"vanda","草","vn","piv","1"
"eritre","草","ei","piv","2"
"niktag","草","nk","piv","1"
"abutil","草","ab","piv","1"
"agerat","草","aa","piv","1"
"ajapan","草","aja","piv","1"
"aliari","草","alia","piv","1"
"alpini","草","alp","piv","1"
"amofil","草","af","piv","1"
"angrek","草","ang","piv","1"
"anturi","草","ant","piv","1"
"arabis","草","ara","piv","1"
"armeri","草","arm","piv","1"
"astilb","草","ast","piv","1"
"balote","草","ba","piv","1"
"bambuz","草","bb","piv","1"
"bazili","草","bz","piv","1"
"bemeri","草","be","piv","1"
"brioni","草","bn","piv","1"
"bromus","草","bs","piv","1"
"brunel","草","bu","piv","1"
"citrol","草","cl","piv","1"
"davali","草","dv","piv","1"
"drozer","草","dz","piv","1"
"egilop","草","eg","piv","1"
"ekbali","草","ek","piv","1"
"elatin","草","en","piv","1"
"erofil","草","ef","piv","1"
"es^olzi","草","eŝ","piv","1"
"fikari","草","fi","piv","1"
"fiteu^m","草","ft","piv","1"
"galang","草","gg","piv","1"
"gosipi","草","gs","piv","1"
"hemant","草","hn","piv","1"
"holost","草","hs","piv","1"
"iberis","草","ib","piv","1"
"izatid","草","iz","piv","1"
"jazion","草","j","piv","1"
"kaladi","草","kal","piv","1"
"kalate","草","kala","piv","1"
"kartam","草","kar","piv","1"
"katari","草","kat","piv","1"
"katlej","草","kj","piv","1"
"knau^ti","草","kŭ","piv","1"
"korkor","草","ko","piv","1"
"krinum","草","ku","piv","1"
"kroton","草","kro","piv","1"
"kuskut","草","kus","piv","1"
"lapsan","草","lp","piv","1"
"leguzi","草","le","piv","1"
"lepidi","草","ld","piv","1"
"leu^koj","草","lŭ","piv","1"
"limoni","草","lo","piv","1"
"linari","草","ln","piv","1"
"litops","草","ls","piv","1"
"litrum","草","lm","piv","1"
"logani","草","la","piv","1"
"marant","草","mr","piv","1"
"marubi","草","mb","piv","1"
"matiol","草","mt","piv","1"
"molini","草","ml","piv","1"
"monard","草","mn","piv","1"
"nelumb","草","nl","piv","1"
"nepent","草","nn","piv","1"
"oncidi","草","on","piv","1"
"ononid","草","od","piv","1"
"opunti","草","op","piv","1"
"oronti","草","ot","piv","1"
"pedali","草","pd","piv","1"
"pejotl","草","pt","piv","1"
"perilj","草","pj","piv","1"
"petuni","草","pu","piv","1"
"piretr","草","pi","piv","1"
"rinant","草","rt","piv","1"
"rumeks","草","rk","piv","1"
"salsol","草","ss","piv","1"
"sanikl","草","sk","piv","1"
"sature","草","st","piv","1"
"simfit","草","sf","piv","1"
"sklare","草","skl","piv","1"
"skolim","草","so","piv","1"
"smilak","草","smi","piv","1"
"teu^kri","草","tŭ","piv","1"
"timele","草","te","piv","1"
"ulmari","草","ul","piv","1"
"vakari","草","vk","piv","1"
"ksanti","草","ksa","piv","1"
"veronik","草","vr","piv","2"
"alokazi","草","alo","piv","1"
"antilid","草","anti","piv","1"
"antrisk","草","antr","piv","1"
"arenari","草","are","piv","1"
"argemon","草","arg","piv","1"
"barbare","草","bar","piv","1"
"bistort","草","bi","piv","1"
"bromeli","草","bo","piv","1"
"buftalm","草","bf","piv","1"
"bupleu^r","草","bp","piv","1"
"cerasti","草","ce","piv","1"
"ceterak","草","ck","piv","1"
"cimbidi","草","cm","piv","1"
"cinozur","草","cz","piv","1"
"dafodil","草","df","piv","1"
"diktamn","草","dk","piv","1"
"ekinops","草","ep","piv","1"
"eletari","草","ee","piv","1"
"eu^frazi","草","ez","piv","1"
"falarid","草","fd","piv","1"
"ferolag","草","fl","piv","1"
"fitolak","草","fo","piv","1"
"fizalid","草","fa","piv","1"
"fragari","草","fg","piv","1"
"galeops","草","gp","piv","1"
"gesneri","草","gr","piv","1"
"ginseng","草","gi","piv","1"
"glorioz","草","gz","piv","1"
"gnafali","草","gf","piv","1"
"gratiol","草","gt","piv","1"
"halofit","草","hf","piv","1"
"hedizar","草","hd","piv","1"
"hieraci","草","hc","piv","1"
"hipurid","草","hp","piv","1"
"imortel","草","im","piv","1"
"kamemel","草","kam","piv","1"
"kamemor","草","kame","piv","1"
"klitori","草","kli","piv","1"
"komelin","草","kom","piv","1"
"koreops","草","kp","piv","1"
"koridal","草","kor","piv","1"
"koronil","草","koro","piv","1"
"kukumis","草","kuk","piv","1"
"labrusk","草","lb","piv","1"
"leu^kant","草","lk","piv","1"
"manihot","草","mh","piv","1"
"meniant","草","me","piv","1"
"mirabil","草","mi","piv","1"
"mish^ant","草","ms","piv","1"
"monster","草","mo","piv","1"
"onopord","草","oo","piv","1"
"orobank","草","ob","piv","1"
"papaver","草","pv","piv","1"
"parteni","草","pa","piv","1"
"pilozel","草","pl","piv","1"
"plumbag","草","pm","piv","1"
"poliant","草","pol","piv","1"
"poligal","草","pg","piv","1"
"potiron","草","pot","piv","1"
"ptarmik","草","pk","piv","1"
"raflezi","草","rf","piv","1"
"rudbeki","草","re","piv","1"
"seratul","草","su","piv","1"
"sesleri","草","ses","piv","1"
"skandik","草","sd","piv","1"
"spergul","草","sp","piv","1"
"stapeli","草","sta","piv","1"
"stelari","草","ste","piv","1"
"taliktr","草","tt","piv","1"
"trakeli","草","tk","piv","1"
"verbask","草","vb","piv","1"
"voandze","草","vz","piv","1"
"zigofil","草","zg","piv","1"
"patienc","草","pat","piv","1"
"sagitari","草","sg","piv","2"
"psilofit","草","pf","piv","1"
"alkekeng","草","alk","piv","1"
"alopekur","草","alop","piv","1"
"androzac","草","ac","piv","1"
"antenari","草","ante","piv","1"
"armoraci","草","armo","piv","1"
"au^brieti","草","aŭ","piv","1"
"balzamit","草","bal","piv","1"
"bekabung","草","bk","piv","1"
"biskutel","草","bis","piv","1"
"centau^ri","草","cŭ","piv","1"
"centrant","草","ca","piv","1"
"cinerari","草","ci","piv","1"
"cinodont","草","cd","piv","1"
"cinoglos","草","cg","piv","1"
"daktilis","草","ds","piv","1"
"densteti","草","dt","piv","1"
"digitari","草","dg","piv","1"
"dioskore","草","di","piv","1"
"ejs^horni","草","ej","piv","1"
"elitrigi","草","eli","piv","1"
"epidendr","草","ed","piv","1"
"erigeron","草","eo","piv","1"
"etlinger","草","etl","piv","1"
"eu^patori","草","eŭ","piv","1"
"falenops","草","fn","piv","1"
"fazeolus","草","fs","piv","1"
"fenugrek","草","fe","piv","1"
"grindeli","草","gd","piv","1"
"helikoni","草","he","piv","1"
"herniari","草","hr","piv","1"
"hesperid","草","hi","piv","1"
"hiosciam","草","ho","piv","1"
"hipeastr","草","ht","piv","1"
"hordelim","草","hor","piv","1"
"izolepid","草","il","piv","1"
"kalamint","草","kalam","piv","1"
"kalitrik","草","kali","piv","1"
"kantalup","草","kan","piv","1"
"kardamom","草","kard","piv","1"
"katarant","草","kata","piv","1"
"kau^kalid","草","kaŭ","piv","1"
"klematit","草","kle","piv","1"
"kolokazi","草","kol","piv","1"
"konsolid","草","kon","piv","1"
"krozofor","草","kf","piv","1"
"lavandul","草","lv","piv","1"
"levistik","草","li","piv","1"
"martagon","草","mg","piv","1"
"moldavik","草","md","piv","1"
"momordik","草","mk","piv","1"
"nasturti","草","ns","piv","1"
"pankrati","草","pan","piv","1"
"paroniki","草","par","piv","1"
"pasiflor","草","pas","piv","1"
"pimpinel","草","pim","piv","1"
"polemoni","草","pole","piv","1"
"polistik","草","poli","piv","1"
"portulak","草","por","piv","1"
"potentil","草","pote","piv","1"
"pozidoni","草","pz","piv","1"
"pulsatil","草","pul","piv","1"
"rapunkol","草","rp","piv","1"
"rau^volfi","草","rŭ","piv","1"
"sanpau^li","草","sŭ","piv","1"
"saponari","草","sap","piv","1"
"saraceni","草","sar","piv","1"
"sensitiv","草","sv","piv","1"
"sigilari","草","sig","piv","1"
"sizimbri","草","siz","piv","1"
"sklerant","草","skle","piv","1"
"skorpiur","草","sko","piv","1"
"spargani","草","spa","piv","1"
"stramoni","草","str","piv","1"
"stratiot","草","stra","piv","1"
"strelici","草","stre","piv","1"
"taraksak","草","ta","piv","1"
"tilandsi","草","tn","piv","1"
"tragopog","草","tg","piv","1"
"trigonel","草","tri","piv","1"
"verbezen","草","ve","piv","1"
"anastatik","草","ana","piv","1"
"antoksant","草","anto","piv","1"
"arabidops","草","arab","piv","1"
"aspidistr","草","asp","piv","1"
"ceratofil","草","cf","piv","1"
"cimbalari","草","cb","piv","1"
"cimicifug","草","cc","piv","1"
"cipripedi","草","cip","piv","1"
"difenbaki","草","db","piv","1"
"eglanteri","草","ea","piv","1"
"eleokarit","草","ele","piv","1"
"epipaktid","草","epi","piv","1"
"filodendr","草","fil","piv","1"
"fraksinel","草","fra","piv","1"
"hidrastid","草","ha","piv","1"
"impatient","草","it","piv","1"
"koraloriz","草","kora","piv","1"
"krotalari","草","krot","piv","1"
"ksantosom","草","ksan","piv","1"
"leontodon","草","leo","piv","1"
"litosperm","草","lr","piv","1"
"matrikari","草","ma","piv","1"
"menisperm","草","mp","piv","1"
"ornitogal","草","og","piv","1"
"parietari","草","pari","piv","1"
"pedikular","草","ped","piv","1"
"persikari","草","per","piv","1"
"pingvikul","草","pin","piv","1"
"platiceri","草","pla","piv","1"
"plektrant","草","ple","piv","1"
"poligonat","草","polig","piv","1"
"pontederi","草","pon","piv","1"
"prenantes","草","pre","piv","1"
"pulmonari","草","pulm","piv","1"
"rafanistr","草","rs","piv","1"
"salikorni","草","sal","piv","1"
"sansevier","草","san","piv","1"
"selaginel","草","sel","piv","1"
"skutelari","草","sku","piv","1"
"spirantes","草","spi","piv","1"
"tetragoni","草","tet","piv","1"
"tormentil","草","tor","piv","1"
"ampelopraz","草","amp","piv","1"
"andropogon","草","and","piv","1"
"cimbopogon","草","co","piv","1"
"driopterid","草","dp","piv","1"
"filipendul","草","fp","piv","1"
"harpagofit","草","hg","piv","1"
"hidrokarit","草","hid","piv","1"
"hidrokotil","草","hidr","piv","1"
"kalceolari","草","kc","piv","1"
"kriptogram","草","kg","piv","1"
"likopersik","草","lik","piv","1"
"nardostaki","草","nr","piv","1"
"nefrolepid","草","nf","piv","1"
"partenocis","草","part","piv","1"
"pogostemon","草","pog","piv","1"
"sangvisorb","草","sang","piv","1"
"skrofulari","草","skr","piv","1"
"spergulari","草","spe","piv","1"
"topinambur","草","tb","piv","1"
"tragopogon","草","tra","piv","1"
"utrikulari","草","ut","piv","1"
"valerianel","草","vl","piv","1"
"lentibulari","草","lu","piv","1"
"cistopterid","草","cis","piv","1"
"glosopterid","草","go","piv","1"
"mezembriant","草","mz","piv","1"
"skolopendri","草","skol","piv","1"
"tradeskanti","草","td","piv","1"
"vincetoksik","草","vc","piv","1"
"kalamagrostid","草","kalama","piv","1"
"ink","墨","","basic","16"
"tuc^","墨","t","pejvo","12"
"insekt","虫","","basic","19"
"verm","虫","v","basic","22"
"koral","虫","k","pejvo","11"
"akar","虫","a","pejvo","3"
"blat","虫","b","pejvo","2"
"pedik","虫","p","pejvo","5"
"afid","虫","af","pejvo","1"
"tine","虫","t","pejvo","1"
"entom","虫","e","pejvo","2"
"anobi","虫","an","pejvo","1"
"taban","虫","tb","pejvo","1"
"ojstr","虫","o","pejvo","1"
"tipul","虫","tp","pejvo","1"
"harpal","虫","h","pejvo","1"
"elater","虫","el","pejvo","1"
"geotrup","虫","g","pejvo","1"
"argonau^t","虫","ar","pejvo","2"
"lau^s","虫","l","piv","7"
"ip","虫","ip","piv","1"
"c^ik","虫","ĉ","piv","1"
"cece","虫","c","piv","1"
"ftir","虫","f","piv","1"
"lept","虫","lp","piv","1"
"lig^e","虫","lĝ","piv","1"
"melo","虫","m","piv","1"
"nepa","虫","n","piv","1"
"sfeg","虫","s","piv","1"
"gordi","虫","gr","piv","4"
"karab","虫","kb","piv","1"
"arkti","虫","ak","piv","1"
"blapt","虫","bp","piv","1"
"elafr","虫","ef","piv","1"
"falen","虫","fl","piv","1"
"geris","虫","gs","piv","1"
"licen","虫","lc","piv","1"
"piral","虫","pr","piv","1"
"trips","虫","tr","piv","1"
"trogi","虫","tg","piv","1"
"vanes","虫","vn","piv","1"
"zigen","虫","z","piv","1"
"goliat","虫","gl","piv","2"
"oksiur","虫","ok","piv","1"
"frigan","虫","fr","piv","1"
"brakin","虫","br","piv","1"
"cetoni","虫","ct","piv","1"
"ditisk","虫","d","piv","1"
"glosin","虫","gn","piv","1"
"kopris","虫","kp","piv","1"
"koriks","虫","kk","piv","1"
"krizop","虫","kz","piv","1"
"makaon","虫","mk","piv","1"
"nereid","虫","nr","piv","1"
"simuli","虫","sm","piv","1"
"vukeri","虫","vk","piv","1"
"alcioni","虫","al","piv","2"
"afrodit","虫","ad","piv","2"
"aleu^rod","虫","aŭ","piv","1"
"tortrik","虫","tt","piv","1"
"fuzulin","虫","fz","piv","1"
"antedon","虫","at","piv","1"
"atropos","虫","ap","piv","1"
"bostrik","虫","bs","piv","1"
"buprest","虫","bt","piv","1"
"cerkari","虫","cr","piv","1"
"dermest","虫","dr","piv","1"
"kalosom","虫","kl","piv","1"
"katokal","虫","kt","piv","1"
"sarkopt","虫","sr","piv","1"
"saturni","虫","st","piv","1"
"spatang","虫","sp","piv","1"
"tenebri","虫","tn","piv","1"
"demodeks","虫","dm","piv","2"
"trombidi","虫","tm","piv","2"
"cerambik","虫","cm","piv","1"
"krizomel","虫","kr","piv","1"
"drozofil","虫","dz","piv","1"
"alveolin","虫","av","piv","1"
"akeronti","虫","ai","piv","1"
"cecidomi","虫","cd","piv","1"
"cicindel","虫","cc","piv","1"
"ekinokok","虫","ek","piv","1"
"flebotom","虫","fb","piv","1"
"ikneu^mon","虫","ik","piv","1"
"ksestobi","虫","ks","piv","1"
"nekrofor","虫","nk","piv","1"
"notonekt","虫","nt","piv","1"
"difilobotri","虫","df","piv","1"
"leptinotars","虫","ln","piv","1"
"juĝ","判","","basic","40"
"kondamn","判","k","basic","8"
"verdikt","判","v","pejvo","3"
"konvikt","判","kv","piv","2"
"klin","斜","","basic","38"
"oblikv","斜","o","basic","8"
"strab","斜","s","pejvo","7"
"bevel","斜","b","pejvo","3"
"kursiv","斜","kr","pejvo","4"
"diagonal","斜","d","pejvo","3"
"kok","鸡","","basic","28"
"galin","鸡","g","piv","2"
"kompat","怜","","basic","14"
"kovert","封","","basic","2"
"feu^d","封","f","pejvo","15"
"apanag^","封","a","pejvo","3"
"hermetik","封","h","pejvo","2"
"defens","封","d","piv","2"
"penik","笔","","basic","9"
"krajon","笔","k","basic","15"
"kre","创","","basic","22"
"invent","创","i","basic","8"
"iniciat","创","ic","basic","9"
"trau^mat","创","t","pejvo","6"
"kruc","十字","","basic","59"
"krur","腿","","basic","18"
"gamb","腿","g","basic","4"
"kuk","糕","","basic","31"
"kuler","勺","","basic","9"
"s^kop","勺","ŝ","piv","2"
"kulp","罪","","basic","22"
"pek","罪","p","basic","21"
"krim","罪","kr","basic","23"
"kurac","医","","basic","40"
"medicin","医","m","basic","28"
"hospital","医","h","basic","11"
"kuz","堂","","basic","4"
"lag","湖","","basic","29"
"lang","舌","","basic","24"
"leĝ","律","","basic","39"
"ritm","律","r","basic","9"
"kadenc","律","k","pejvo","4"
"disciplin","律","d","pejvo","9"
"lert","巧","","basic","19"
"manier","式","","basic","27"
"mod","式","md","basic","14"
"formul","式","f","basic","6"
"ceremoni","式","c","basic","12"
"modal","式","ml","pejvo","3"
"mok","嘲","","basic","18"
"numer","号","","basic","21"
"signal","号","s","basic","22"
"semafor","号","sm","pejvo","2"
"ofic","职","","basic","38"
"profesi","职","p","basic","13"
"ombr","影","","basic","22"
"film","影","f","basic","44"
"influ","影","i","basic","7"
"ordinar","普","","basic","19"
"universal","普","u","basic","22"
"cens","普","c","pejvo","3"
"ov","卵","","basic","41"
"ovol","卵","ol","pejvo","6"
"kojon","卵","k","piv","2"
"pak","包","","basic","32"
"bulk","包","b","basic","7"
"bandaĝ","包","bn","basic","5"
"tek","包","t","pejvo","8"
"pork","猪","","basic","18"
"apr","猪","a","basic","3"
"su","猪","s","piv","1"
"sued","猪","sd","piv","2"
"sak","袋","","basic","46"
"poŝ","袋","p","basic","24"
"marsupi","袋","m","piv","2"
"seren","宁","","basic","9"
"prefer","宁","p","basic","10"
"promes","诺","","basic","18"
"paf","射","","basic","46"
"radi","射","r","basic","120"
"s^ot","射","ŝ","pejvo","6"
"incid","射","i","pejvo","7"
"projekci","射","pr","pejvo","12"
"ejakul","射","e","pejvo","3"
"katapult","射","k","pejvo","2"
"aktin","射","a","piv","9"
"jekci","射","j","piv","7"
"region","区","","basic","20"
"kvartal","区","k","basic","19"
"distrikt","区","d","basic","9"
"reĝ","王","","basic","39"
"rag^","王","ra","pejvo","2"
"rojal","王","rj","pejvo","2"
"rekt","直","","basic","38"
"orto","直","o","pejvo","9"
"religi","宗","","basic","27"
"ripet","复","","basic","13"
"kopi","复","k","basic","31"
"komplik","复","km","basic","9"
"kompleks","复","ks","basic","12"
"restau^r","复","rs","pejvo","5"
"faksimil","复","f","pejvo","2"
"anafor","复","a","piv","2"
"recidiv","复","rc","piv","3"
"reprograf","复","rr","piv","2"
"ŝaf","羊","","basic","27"
"kapr","羊","k","basic","15"
"merin","羊","m","pejvo","1"
