type	root	kanji	band	F
content	van	徒	basic	12
content	ventr	腹	basic	20
content	verŝ	浇	basic	24
content	zon	带	basic	43
content	abon	订	basic	24
content	admir	佩	basic	11
content	asoci	联	basic	11
content	baz	基	basic	47
content	bibliotek	库	basic	5
content	bicikl	车	basic	11
content	boat	舟	basic	26
content	butik	店	basic	25
content	ced	让	basic	22
content	cerb	脑	basic	33
content	disting	辨	basic	16
content	ekonomi	经济	basic	33
content	ekstrem	极	basic	21
content	ekvilibr	衡	basic	19
content	escept	除	basic	8
content	esenc	质	basic	11
content	fabrik	厂	basic	22
content	fervor	热	basic	8
content	fleks	弯	basic	27
content	funkci	功	basic	34
content	gratul	贺	basic	6
content	hospital	医	basic	11
content	ideal	想	basic	7
content	influ	影	basic	7
content	ju	越	pejvo	3
content	ĵurnal	记	basic	10
content	kas	库	basic	18
content	kontrol	检	basic	33
content	kritik	评	basic	21
content	literatur	文	basic	17
content	map	图	basic	14
content	metod	法	basic	17
content	modern	现	basic	10
content	modest	谦	basic	8
content	motor	动	basic	35
content	normal	正	basic	14
content	ofer	献	basic	24
content	oficial	官	basic	11
content	original	原	basic	9
content	park	园	basic	19
content	pejzaĝ	景	basic	4
content	penetr	穿	basic	20
content	perfekt	完	basic	16
content	poem	诗	basic	7
content	problem	题	basic	20
content	profesi	职	basic	13
content	profit	利	basic	33
content	rab	抢	basic	28
content	raport	报	basic	19
content	reciprok	互	basic	11
content	rev	幻	basic	20
content	revu	刊	basic	4
content	salon	厅	basic	12
content	sistem	系	basic	58
content	ŝov	推	basic	46
content	sovaĝ	野	basic	25
content	sport	体	basic	19
content	student	学	basic	15
content	ŝut	撒	basic	30
content	teatr	剧	basic	21
content	temperatur	温	basic	12
content	tip	型	basic	42
content	ton	调	basic	33
content	tord	拧	basic	30
content	trakt	理	basic	17
content	tren	拖	basic	16
content	var	货	basic	18
content	vari	变	basic	24
content	azen	驴	basic	9
content	gren	谷	basic	15
content	korb	篮	basic	23
content	abi	杉	basic	5
content	acid	酸	basic	63
content	agl	雕	basic	21
content	agord	调	basic	13
content	bot	靴	basic	13
content	burĝ	资	basic	8
content	domaĝ	惜	basic	5
content	fojn	干草	basic	10
content	fotograf	照	basic	0
content	glu	胶	basic	32
content	kling	刃	basic	4
content	mason	砌	basic	8
content	pajl	草	basic	18
content	pip	烟斗	basic	6
content	solid	固	basic	19
content	telegraf	报	basic	0
content	absolut	绝	basic	15
content	aktiv	活	basic	40
content	aktor	演	basic	8
content	aŭtor	作	basic	10
content	bend	带	basic	35
content	blok	块	basic	28
content	dec	宜	basic	8
content	dispon	处	basic	6
content	dokument	档	basic	14
content	element	素	basic	20
content	familiar	熟	basic	8
content	fantazi	幻	basic	9
content	fraz	句	basic	26
content	fuŝ	拙	basic	18
content	gum	胶	basic	19
content	klasik	典	basic	12
content	klopod	尽	basic	7
content	klub	社	basic	14
content	kompani	伴	basic	22
content	konversaci	谈	basic	4
content	korekt	改	basic	22
content	menci	提	basic	5
content	ministr	臣	basic	33
content	muze	馆	basic	5
content	preleg	讲	basic	4
content	procent	率	basic	7
content	prononc	音	basic	8
content	propon	议	basic	13
content	rabat	折	basic	10
content	redakt	编	basic	12
content	rol	角	basic	9
content	roman	小说	basic	28
content	situaci	况	basic	10
content	televid	视	basic	20
content	trafik	交	basic	29
content	trud	强	basic	34
content	universal	普	basic	22
content	universitat	学	basic	9
content	avar	吝	basic	11
content	bala	扫	basic	13
content	barb	胡	basic	22
content	bek	嘴	basic	21
content	bros	刷	basic	10
content	fleg	护	basic	10
content	forn	炉	basic	27
content	fromaĝ	酪	basic	9
content	frunt	额	basic	3
content	glit	滑	basic	45
content	kamen	炉	basic	10
content	kapr	羊	basic	15
content	karb	炭	basic	49
content	kel	窖	basic	12
content	komb	梳	basic	18
content	konfes	认	basic	12
content	korn	角	basic	33
content	kravat	领带	basic	4
content	krim	罪	basic	23
content	kuv	桶	basic	7
content	muŝ	蝇	basic	20
content	pingl	针	basic	22
content	plat	扁	basic	69
content	plug	耕	basic	17
content	polv	尘	basic	30
content	pot	壶	basic	27
content	rand	边	basic	28
content	regn	国	basic	22
content	ŝerc	逗	basic	13
content	serpent	蛇	basic	20
content	skrap	刮	basic	28
content	ŝnur	绳	basic	42
content	sort	命	basic	10
content	ŝovel	铲	basic	7
content	spegul	镜	basic	22
content	spic	香	basic	12
content	surd	聋	basic	12
content	tualet	妆	basic	15
content	tus	咳	basic	8
content	ung	爪	basic	15
content	vost	尾	basic	37
content	abund	丰	basic	17
content	alumet	柴	basic	3
content	aŭtomat	动	basic	18
content	aventur	冒	basic	9
content	balon	球	basic	9
content	ber	浆果	basic	47
content	bien	庄	basic	13
content	blond	金	basic	3
content	brasik	菜	basic	31
content	bret	板	basic	10
content	brik	砖	basic	15
content	bul	团	basic	23
content	ĉifon	破	basic	12
content	cigared	烟	basic	7
content	cikl	环	basic	42
content	dekliv	坡	basic	13
content	dezert	漠	basic	21
content	direktor	导	basic	5
content	distanc	距	basic	23
content	distr	散	basic	12
content	diven	猜	basic	25
content	drat	线	basic	31
content	dron	溺	basic	7
content	ekscit	激	basic	19
content	enu	厌	basic	8
content	fajf	笛	basic	10
content	farm	租	basic	11
content	farun	粉	basic	10
content	fask	束	basic	12
content	flos	筏	basic	24
content	forĝ	锻	basic	12
content	frand	品	basic	7
content	frenez	疯	basic	14
content	frost	霜	basic	33
content	frot	擦	basic	33
content	ĝem	呻	basic	17
content	glob	球	basic	37
content	gorĝ	喉	basic	15
content	graci	雅	basic	8
content	grimp	爬	basic	19
content	grund	土	basic	23
content	hak	砍	basic	28
content	hirund	燕	basic	13
content	instinkt	本	basic	10
content	kadr	框	basic	25
content	karot	胡萝卜	basic	2
content	kaserol	锅	basic	2
content	katar	炎	basic	9
content	kaŭĉuk	胶	basic	17
content	kelner	侍	basic	3
content	komitat	委	basic	16
content	koton	棉	basic	20
content	krem	酪	basic	19
content	krev	裂	basic	7
content	kroĉ	钩	basic	12
content	kurb	曲	basic	23
content	kurioz	奇	basic	5
content	kvadrat	方	basic	10
content	lam	跛	basic	10
content	larm	泪	basic	18
content	led	革	basic	28
content	leon	狮	basic	14
content	lepor	兔	basic	14
content	majstr	师	basic	16
content	makul	污	basic	18
content	manik	袖	basic	10
content	martel	锤	basic	18
content	material	材	basic	21
content	matrac	垫	basic	5
content	menton	下巴	basic	6
content	mord	咬	basic	18
content	muel	磨	basic	26
content	najl	钉	basic	11
content	ofert	供	basic	6
content	parti	党	basic	49
content	pasport	护照	basic	3
content	pastr	牧	basic	14
content	pek	罪	basic	21
content	persekut	迫	basic	8
content	pes	衡	basic	22
content	petol	玩	basic	11
content	pin	松	basic	8
content	piz	豌	basic	12
content	plad	皿	basic	7
content	poet	诗	basic	5
content	protekt	护	basic	21
content	pugn	拳	basic	8
content	put	井	basic	9
content	raz	剃	basic	13
content	renvers	翻	basic	8
content	rok	岩	basic	33
content	salajr	薪	basic	20
content	serur	锁	basic	7
content	ŝirm	庇	basic	35
content	skal	度	basic	13
content	skulpt	雕	basic	9
content	stal	马棚	basic	11
content	standard	旗	basic	3
content	stern	铺	basic	8
content	tabak	烟	basic	15
content	tapiŝ	毯	basic	11
content	teks	织	basic	30
content	tent	诱	basic	6
content	tritik	麦	basic	6
content	tub	管	basic	81
content	vat	棉	basic	16
content	vaz	器	basic	17
content	verm	虫	basic	22
content	vers	句	basic	21
content	viol	紫花	basic	14
content	abomen	厌	basic	9
content	ard	热	basic	14
content	betul	桦	basic	2
content	bulvard	道	basic	3
content	desert	点	basic	4
content	detal	细	basic	19
content	diabl	魔	basic	14
content	drap	呢	basic	4
content	emoci	情	basic	11
content	ezok	鱼	basic	2
content	fonograf	声	basic	0
content	fulg	烟灰	basic	9
content	funt	磅	basic	3
content	garaĝ	库	basic	3
content	gest	姿	basic	13
content	glor	荣	basic	23
content	hajl	雹	basic	7
content	ĥemi	化	basic	2
content	huf	蹄	basic	11
content	kapric	任	basic	4
content	kilometr	千	basic	0
content	kitel	罩	basic	2
content	komplez	惠	basic	6
content	konfit	糖	basic	5
content	kopi	复	basic	31
content	kork	塞	basic	7
content	kukol	鹃	basic	4
content	lamen	片	basic	14
content	meĥanik	械	basic	1
content	meĥanism	机	basic	0
content	melk	挤	basic	7
content	milimetr	毫	basic	0
content	munt	装	basic	14
content	net	清	basic	19
content	oliv	橄榄	basic	7
content	operaci	操	basic	19
content	orf	孤	basic	7
content	ort	直角	basic	17
content	Pask	庆	basic	3
content	paŭz	歇	basic	9
content	pioĉ	镐	basic	5
content	plet	盘	basic	4
content	proviz	供	basic	17
content	reklam	宣	basic	21
content	rekompenc	酬	basic	4
content	rekord	记	basic	9
content	ribel	叛	basic	10
content	sitel	桶	basic	2
content	stamp	印	basic	18
content	strik	罢	basic	16
content	stump	桩	basic	9
content	telegram	报	basic	0
content	tempest	暴风	basic	3
content	traktor	拖	basic	2
content	tribunal	法院	basic	9
content	verg	枝	basic	13
content	vert	顶	basic	3
content	vit	葡	basic	5
content	abel	蜂	basic	21
content	adici	加	basic	4
content	adjektiv	形	basic	2
content	administr	管	basic	14
content	admon	劝	basic	6
content	adopt	收	basic	16
content	advokat	辩	basic	5
content	afiŝ	贴	basic	10
content	afrank	贴	basic	4
content	akcel	促	basic	15
content	akurat	准	basic	3
content	album	册	basic	3
content	alkohol	醇	basic	22
content	almoz	施	basic	13
content	ampleks	广	basic	14
content	anas	鸭	basic	14
content	anĝel	天使	basic	9
content	animal	兽	basic	8
content	apartament	寓	basic	3
content	apetit	欲	basic	11
content	apotek	药	basic	3
content	arane	蛛	basic	10
content	ark	弧	basic	34
content	asekur	保	basic	30
content	atest	证	basic	19
content	aŭtomobil	车	basic	0
content	aŭtoritat	权	basic	6
content	avenu	道	basic	1
content	avid	贪	basic	14
content	bak	烤	basic	17
content	balanc	摇	basic	10
content	barakt	挣	basic	2
content	barel	桶	basic	15
content	bazar	市	basic	13
content	beb	婴	basic	7
content	ben	祝	basic	10
content	benzin	汽油	basic	9
content	bluz	衫	basic	2
content	boj	吠	basic	5
content	bombon	糖	basic	4
content	bor	钻	basic	28
content	brav	勇	basic	8
content	brems	刹	basic	21
content	broŝur	册	basic	6
content	brov	眉	basic	5
content	bub	顽	basic	6
content	bud	棚	basic	7
content	ĉagren	恼	basic	6
content	ĉek	票	basic	10
content	cement	水泥	basic	11
content	ĉen	链	basic	46
content	ĉeriz	樱	basic	13
content	ĉerp	舀	basic	16
content	cirkonstanc	况	basic	7
content	cit	引	basic	23
content	civiliz	教	basic	0
content	dediĉ	献	basic	6
content	deficit	亏	basic	4
content	degel	融	basic	5
content	deklar	宣	basic	11
content	dekoraci	饰	basic	6
content	deleg	委	basic	8
content	destin	定	basic	6
content	disk	盘	basic	48
content	disput	争	basic	8
content	distribu	配	basic	16
content	dram	剧	basic	10
content	dung	雇	basic	23
content	duŝ	淋	basic	10
content	ebri	醉	basic	11
content	eksperiment	验	basic	12
content	eksplod	爆	basic	16
content	elefant	象	basic	5
content	elegant	雅	basic	9
content	eminent	杰	basic	15
content	enigm	谜	basic	7
content	entrepren	办	basic	19
content	envi	羡	basic	10
content	fanfaron	夸	basic	6
content	farb	颜	basic	12
content	faŭk	口	basic	5
content	febr	烧	basic	22
content	fel	皮	basic	17
content	festen	宴	basic	7
content	financ	财	basic	26
content	fizik	物理	basic	31
content	flar	嗅	basic	16
content	flirt	飘	basic	8
content	foir	集	basic	9
content	fond	建	basic	21
content	fost	柱	basic	13
content	frakas	碎	basic	7
content	frit	炸	basic	9
content	friz	卷	basic	14
content	fundament	基	basic	19
content	funebr	丧	basic	14
content	gant	手套	basic	16
content	garanti	保	basic	10
content	geni	才	basic	4
content	glad	烫	basic	9
content	glut	吞	basic	11
content	golf	湾	basic	23
content	grajn	粒	basic	26
content	hered	继	basic	29
content	hero	杰	basic	10
content	hok	钩	basic	25
content	humid	湿	basic	3
content	ident	同	basic	10
content	ilustr	图	basic	7
content	imperi	帝	basic	14
content	import	进	basic	9
content	impost	税	basic	44
content	impres	印	basic	10
content	indiferent	冷	basic	6
content	inĝenier	技	basic	12
content	inklin	倾	basic	8
content	insist	坚	basic	7
content	instal	装	basic	13
content	instig	唆	basic	8
content	instrument	器	basic	17
content	insult	侮	basic	7
content	intelekt	智	basic	11
content	inteligent	聪	basic	8
content	ĵaluz	妒	basic	4
content	jur	法	basic	19
content	ĵur	誓	basic	19
content	juvel	宝	basic	9
content	kabinet	阁	basic	5
content	kalendar	历	basic	9
content	recept	方	basic	3
content	regal	款	basic	4
content	rem	划	basic	16
content	respublik	共和	basic	13
content	rezign	弃	basic	4
content	rezist	抗	basic	28
content	rifuĝ	避	basic	7
content	rip	肋	basic	8
content	risk	险	basic	13
content	ritm	律	basic	9
content	rob	袍	basic	13
content	ronk	哼	basic	3
content	rost	烤	basic	27
content	sagac	敏	basic	5
content	saŭc	酱	basic	17
content	seg	锯	basic	21
content	sekretari	秘	basic	9
content	seks	性	basic	62
content	ŝel	壳	basic	28
content	sens	感	basic	33
content	seren	宁	basic	9
content	signal	号	basic	22
content	silk	丝	basic	22
content	simi	猿	basic	12
content	simpati	亲	basic	8
content	sklav	奴	basic	19
content	sku	摇	basic	21
content	ŝmir	涂	basic	19
content	sobr	醒	basic	7
content	ŝofor	驾	basic	2
content	sojl	槛	basic	11
content	sopir	慕	basic	9
content	sorĉ	魔	basic	20
content	sprit	智	basic	11
content	ŝraŭb	螺	basic	46
content	ŝtal	钢	basic	17
content	stang	杆	basic	43
content	stil	风	basic	27
content	ŝtof	布	basic	11
content	stri	条	basic	24
content	struktur	构	basic	14
content	sufok	窒	basic	9
content	surfac	面	basic	17
content	suspekt	疑	basic	11
content	sven	昏	basic	10
content	sving	挥	basic	14
content	tajl	裁	basic	7
content	tajlor	裁	basic	9
content	ted	烦	basic	8
content	teg	覆	basic	14
content	tend	帐	basic	10
content	teori	论	basic	25
content	teren	地	basic	14
content	trajn	车	basic	19
content	trajt	特	basic	1
content	tremp	浸	basic	4
content	trezor	宝	basic	5
content	trikot	织	basic	5
content	trotuar	径	basic	3
content	trunk	干	basic	12
content	turment	虐	basic	13
content	urs	熊	basic	22
content	vakcin	疫苗	basic	15
content	vel	帆	basic	24
content	velk	枯	basic	15
content	venen	毒	basic	20
content	verb	动	basic	11
content	veŝt	坎	basic	4
content	vidv	寡	basic	7
content	virt	德	basic	11
content	vual	纱	basic	11
content	vulp	狐	basic	11
content	abstrakt	抽	basic	13
content	akuŝ	产	basic	17
content	akuzativ	宾	basic	2
content	alarm	警	basic	12
content	alternativ	替	basic	0
content	ambici	志	basic	4
content	amor	性	basic	14
content	analiz	析	basic	13
content	antarkt	南	basic	5
content	antikv	古	basic	6
content	antologi	选	basic	1
content	arest	逮	basic	10
content	arkt	极	basic	5
content	arogant	傲	basic	0
content	asimil	同	basic	6
content	astr	星	basic	17
content	astronomi	天	basic	1
content	atmosfer	气	basic	10
content	aŭdac	敢	basic	3
content	aŭror	晓	basic	4
content	aviad	航	basic	30
content	balen	鲸	basic	14
content	banal	庸	basic	4
content	bateri	电	basic	3
content	biologi	生	basic	0
content	biskvit	饼	basic	3
content	bomb	弹	basic	26
content	botanik	植	basic	9
content	budh	佛	basic	13
content	burokrat	官	basic	4
content	bus	车	basic	10
content	ĉampion	冠	basic	5
content	celebr	庆	basic	2
content	ceramik	陶	basic	8
content	ceremoni	式	basic	12
content	damaĝ	损	basic	6
content	demokrati	民	basic	13
content	dialekt	言	basic	6
content	diamant	钻	basic	4
content	dign	尊	basic	10
content	dinamit	炸	basic	2
content	diplom	证	basic	14
content	diplomat	交	basic	10
content	diskriminaci	歧	basic	4
content	distrikt	区	basic	9
content	kalkan	跟	basic	6
content	kalson	裤	basic	7
content	kamion	车	basic	9
content	kandel	烛	basic	8
content	kanzon	曲	basic	4
content	kapital	资	basic	26
content	kares	抚	basic	12
content	kastel	城	basic	9
content	katen	链	basic	13
content	kemi	化学	basic	25
content	kin	映	basic	9
content	klient	客	basic	3
content	kned	揉	basic	8
content	kolon	柱	basic	23
content	kom	逗	basic	9
content	komand	令	basic	15
content	komik	笑	basic	7
content	komisi	委	basic	13
content	komision	委	basic	10
content	komplet	全	basic	15
content	koncert	奏	basic	10
content	kondamn	判	basic	8
content	konferenc	会	basic	5
content	konfid	信	basic	11
content	konfirm	确	basic	6
content	konfuz	乱	basic	14
content	konjekt	猜	basic	5
content	konklud	结	basic	6
content	konkur	竞	basic	15
content	konscienc	良	basic	7
content	kontrakt	约	basic	18
content	konvink	服	basic	12
content	kord	弦	basic	16
content	kot	泥	basic	12
content	krad	栅	basic	20
content	kran	栓	basic	9
content	krepusk	昏	basic	7
content	kret	白石	basic	6
content	kripl	残	basic	6
content	kriz	危	basic	15
content	kron	冠	basic	49
content	kruĉ	壶	basic	9
content	kruel	残	basic	11
content	krust	壳	basic	11
content	krut	陡	basic	10
content	kubut	肘	basic	4
content	kugl	弹	basic	10
content	kupr	铜	basic	16
content	kurten	帘	basic	14
content	kvartal	区	basic	19
content	kverk	橡	basic	8
content	lek	舔	basic	7
content	lift	梯	basic	5
content	list	表	basic	22
content	lup	狼	basic	9
content	maĉ	嚼	basic	12
content	mam	乳	basic	24
content	mandat	委	basic	7
content	marĉ	沼	basic	17
content	mast	柱	basic	21
content	medikament	药	basic	11
content	medit	思	basic	5
content	mekanik	械	basic	18
content	mekanism	械	basic	0
content	migr	迁	basic	35
num	miliard	十亿	num	2
content	min	矿	basic	43
content	mister	谜	basic	4
content	model	模	basic	14
content	moder	适	basic	14
content	moskit	蚊	basic	5
content	mus	鼠	basic	15
content	muskol	筋	basic	16
content	nadl	针	basic	8
content	naiv	朴	basic	7
content	naŭz	呕	basic	4
content	nerv	神经	basic	22
content	nivel	平	basic	36
content	nobl	贵	basic	13
content	nod	结	basic	18
content	observ	观	basic	17
content	ombrel	伞	basic	5
content	osced	欠	basic	3
content	palac	宫	basic	7
content	parfum	香	basic	6
content	pasi	情	basic	7
content	paŝt	牧	basic	14
content	pat	锅	basic	21
content	patron	保	basic	6
content	pelt	皮	basic	9
content	penik	笔	basic	9
content	pent	悔	basic	12
content	perfid	叛	basic	10
content	petrol	油	basic	23
content	pil	电	basic	7
content	pinĉ	掐	basic	15
content	pir	梨	basic	22
content	plekt	编	basic	18
content	plumb	铅	basic	21
content	poezi	诗	basic	8
content	posten	岗	basic	11
content	pozici	位	basic	6
content	pretekst	借口	basic	3
content	pretend	称	basic	8
content	probabl	概	basic	8
content	proced	办	basic	5
content	proces	程	basic	8
content	prokrast	延	basic	14
content	proz	散文	basic	5
content	pruv	证	basic	9
content	pulm	肺	basic	15
content	pulv	火药	basic	6
content	pulvor	粉	basic	23
content	pump	泵	basic	19
content	pup	偶	basic	11
content	putr	腐	basic	14
content	ramp	爬	basic	11
content	rang	级	basic	21
content	rat	鼠	basic	6
content	rav	醉	basic	9
content	dosier	档	basic	21
content	drink	饮	basic	16
content	ekologi	态	basic	0
content	ekonomik	经济	basic	5
content	ekskluziv	排	basic	11
content	ekspres	速	basic	11
content	ekstr	特	basic	6
content	ekzempler	册	basic	5
content	elimin	除	basic	5
content	elokvent	辩	basic	7
content	emfaz	强	basic	3
content	enciklopedi	典	basic	4
content	enket	查	basic	10
content	entuziasm	热	basic	9
content	epizod	段	basic	3
content	erotik	色	basic	3
content	ese	论	basic	3
content	etik	伦	basic	4
content	etn	族	basic	15
content	eventual	偶	basic	7
content	faktor	因	basic	8
content	faktur	账	basic	3
content	fantom	幽	basic	7
content	fatal	命	basic	7
content	fekund	肥	basic	11
content	feminism	女	basic	0
content	femur	股	basic	8
content	festival	庆	basic	4
content	fiask	败	basic	2
content	filatel	邮	basic	2
content	fili	支	basic	3
content	filozofi	哲	basic	4
content	filtr	滤	basic	15
content	firma	商	basic	4
content	fon	底	basic	79
content	fonetik	音	basic	4
content	formal	形	basic	12
content	format	版	basic	12
content	fortun	运	basic	4
content	forum	坛	basic	2
content	frakci	分	basic	8
content	futbal	球	basic	6
content	gamb	腿	basic	4
content	gastronomi	烹	basic	0
content	giĉet	窗	basic	1
content	gigant	巨	basic	4
content	gimnastik	操	basic	8
content	gimnazi	校	basic	4
content	ĝir	转	basic	20
content	grimac	皱	basic	3
content	grotesk	怪	basic	6
content	guberni	省	basic	9
content	hobi	好	basic	2
content	horizontal	横	basic	10
content	humur	谐	basic	7
content	ideologi	观	basic	0
content	idiot	愚	basic	6
content	iluzi	幻	basic	11
content	impon	威	basic	6
content	inaŭgur	开	basic	5
content	indeks	索	basic	4
content	indic	征	basic	18
content	institut	院	basic	4
content	integr	全	basic	19
content	intens	烈	basic	28
content	interez	利	basic	4
content	intervju	访	basic	6
content	invers	逆	basic	14
content	irit	恼	basic	3
content	jakt	艇	basic	2
content	jet	喷	basic	3
content	kalk	灰	basic	21
content	kanari	雀	basic	4
content	kancer	癌	basic	19
content	karakteriz	特	basic	0
content	karavan	队	basic	6
content	karbon	碳	basic	33
content	karcer	牢	basic	8
content	karier	涯	basic	7
content	karikatur	讽	basic	4
content	kased	盒	basic	7
content	katastrof	灾	basic	6
content	kaŭr	蹲	basic	3
content	klaĉ	谣	basic	9
content	klak	响	basic	18
content	klasifik	类	basic	6
content	klav	键	basic	17
content	klimatiz	调	basic	0
content	kod	码	basic	27
content	koks	股	basic	8
content	kolbas	肠	basic	11
content	koloni	殖	basic	18
content	koment	评	basic	5
content	komentari	注	basic	4
content	kompil	编	basic	10
content	kompleks	复	basic	12
content	kompliment	赞	basic	4
content	konciz	简	basic	6
content	kondolenc	哀	basic	4
content	konflikt	冲	basic	12
content	konform	合	basic	21
content	konk	贝	basic	16
content	konkret	具	basic	6
content	konsili	议	basic	10
content	konsonant	辅	basic	4
content	konsult	询	basic	14
content	kont	账	basic	25
content	kontinent	陆	basic	11
content	kontrast	对	basic	8
content	kontribu	贡	basic	5
content	konvenci	约	basic	8
content	kooperativ	协	basic	6
content	krab	蟹	basic	3
content	kramp	夹	basic	11
content	ŝveb	翔	basic	10
content	tabu	禁	basic	6
content	tajd	潮	basic	13
content	tajfun	风	basic	2
content	taktik	术	basic	3
content	talent	才	basic	5
content	tambur	鼓	basic	12
content	tavol	层	basic	22
content	team	队	basic	10
content	teknologi	技	basic	7
content	teleskop	镜	basic	0
content	templ	庙	basic	9
content	tenis	网	basic	8
content	term	项	basic	61
content	termin	词	basic	7
content	testament	嘱	basic	7
content	tez	题	basic	6
content	tost	祝	basic	3
content	total	总	basic	7
content	tropik	热带	basic	22
content	tulip	郁	basic	2
content	uni	联	basic	5
content	univers	宇	basic	3
content	uragan	暴风	basic	3
content	urin	尿	basic	18
content	uzin	厂	basic	2
content	vak	空	basic	12
content	valut	币	basic	9
content	varb	募	basic	7
content	veget	茂	basic	18
content	versi	版	basic	7
content	vertikal	竖	basic	8
content	veteran	老	basic	2
content	virus	毒	basic	13
content	viz	证	basic	9
content	vokal	元	basic	5
content	volupt	色	basic	13
content	vulgar	俗	basic	9
content	zo	兽	basic	16
content	absurd	谬	basic	7
content	adapt	适	basic	9
content	ador	拜	basic	11
content	adverb	副	basic	1
content	aflikt	悲	basic	4
content	ajl	蒜	basic	11
content	akademi	院	basic	5
content	akcent	重	basic	8
content	akord	和	basic	12
content	akt	幕	basic	10
content	aktual	现	basic	10
content	akuz	诉	basic	10
content	alfabet	字	basic	11
content	altern	替	basic	20
content	alud	暗	basic	4
content	amar	苦	basic	5
content	amator	好	basic	8
content	ambasador	使	basic	5
content	anekdot	闻	basic	2
content	aplaŭd	鼓	basic	5
content	aplik	用	basic	10
content	arbitr	擅	basic	5
content	asert	断	basic	3
content	atom	子	basic	32
content	bagatel	琐	basic	4
content	bal	舞	basic	6
content	balbut	结巴	basic	5
content	balot	票	basic	21
content	bambu	竹	basic	9
content	banan	蕉	basic	4
content	bandaĝ	包	basic	5
content	bind	装	basic	12
content	blek	鸣	basic	8
content	bred	养	basic	15
content	buĝet	预算	basic	10
content	bukl	卷	basic	6
content	bulk	包	basic	7
content	bulten	报	basic	4
content	burĝon	芽	basic	8
content	ĉel	胞	basic	47
content	central	央	basic	19
content	cep	葱	basic	4
content	cerv	鹿	basic	18
content	cign	天鹅	basic	4
content	cindr	灰	basic	22
content	cirkl	圆	basic	23
content	cirkul	环	basic	8
content	cirkuler	函	basic	2
content	civil	民	basic	30
content	civit	市	basic	15
content	deĵor	当	basic	13
content	depon	存	basic	11
content	deput	派	basic	8
content	determin	定	basic	12
content	dialog	话	basic	0
content	digest	消	basic	18
content	dimensi	维	basic	6
content	dogan	关	basic	10
content	dorn	刺	basic	18
content	eĥ	回	basic	13
content	ekip	备	basic	11
content	eklezi	教	basic	19
content	ekran	屏	basic	16
content	ekspluat	采	basic	13
content	eksport	出	basic	7
content	ekspozici	展	basic	14
content	ekzakt	精	basic	7
content	emerit	退	basic	7
content	establ	设	basic	11
content	event	事	basic	3
content	fab	豆	basic	9
content	fabel	童	basic	10
content	federaci	联	basic	10
content	fenomen	现	basic	22
content	krizantem	菊	basic	5
content	kverel	吵	basic	3
content	kvitanc	证	basic	3
content	lanc	矛	basic	8
content	lanĉ	发	basic	9
content	legend	传	basic	4
content	liberal	宽	basic	3
content	lingvistik	学	basic	8
content	lumb	腰	basic	5
content	lupe	镜	basic	1
content	magi	魔	basic	10
content	magnet	磁	basic	66
content	magnetofon	磁	basic	0
content	majuskl	大	basic	6
content	mani	狂	basic	28
content	manifestaci	示	basic	3
content	manuskript	稿	basic	2
content	masaĝ	摩	basic	3
content	mask	罩	basic	21
content	matĉ	赛	basic	2
content	medi	境	basic	51
content	mejl	里	basic	3
content	melodi	调	basic	4
content	merkat	市	basic	25
content	mesaĝ	信	basic	7
content	mev	鸥	basic	3
content	miaŭ	咪	basic	3
content	minuskl	小	basic	2
content	miop	近	basic	4
content	mirakl	奇	basic	5
content	molekul	分	basic	12
content	monopol	垄	basic	11
content	moŝt	阁	basic	10
content	motiv	由	basic	11
content	mustard	芥	basic	4
content	negativ	否	basic	21
content	neologism	新	basic	0
content	neŭtral	中	basic	11
content	nominativ	主	basic	1
content	norm	范	basic	32
content	nuanc	微	basic	3
content	nukle	核	basic	44
content	numeral	数	basic	3
content	objektiv	客	basic	0
proper	Oceani	未対応	proper	1
content	opozici	对	basic	8
content	panic	粟	basic	2
content	panik	慌	basic	5
content	panoram	景	basic	4
content	paradoks	悖	basic	3
content	paralel	并	basic	18
content	parentez	括	basic	3
content	pasiv	被	basic	6
content	pelv	盆	basic	7
content	pension	宿	basic	3
content	piĵam	睡	basic	1
content	piknik	野餐	basic	2
content	pilol	丸	basic	3
content	pled	辩	basic	6
content	podi	台	basic	7
content	poent	点	basic	4
content	pokal	杯	basic	6
content	pozitiv	正	basic	25
content	prefiks	缀	basic	3
content	prezident	统	basic	6
content	primitiv	原	basic	3
content	propagand	传	basic	5
content	proporci	比	basic	14
content	protestant	抗	basic	0
content	protokol	录	basic	7
content	provizor	暂	basic	7
content	purpur	紫	basic	6
content	raci	理	basic	11
content	raked	拍	basic	1
content	redakci	部	basic	3
content	redaktor	编	basic	5
content	referenc	参	basic	6
content	refut	驳	basic	4
content	respektiv	各	basic	2
content	resum	概	basic	1
content	revoluci	革	basic	11
content	rezoluci	决	basic	3
content	rub	废	basic	22
content	rubrik	栏	basic	1
content	ŝak	棋	basic	19
content	ŝalt	开	basic	25
content	ŝampu	沐	basic	2
content	ŝarg	装	basic	43
content	ŝark	鲨	basic	5
content	satan	魔	basic	7
content	satelit	星	basic	10
content	sfer	球	basic	29
content	sigel	印	basic	15
content	silab	节	basic	23
content	simbol	符	basic	14
content	situ	位	basic	2
content	skandal	丑	basic	5
content	skeĉ	剧	basic	1
content	skelet	骨	basic	7
content	skiz	草	basic	6
content	ŝok	震	basic	9
content	ŝose	路	basic	6
content	specif	特	basic	9
