判定	語根	鏡像	意味	学習者版に誤り	理由
ACCEPT	leu^koz	白ᴸᴱ症ᴼ	【医】白血球増多症/ロイコーシス(PIV: 産生器官(脾・骨髄)における白血球の異常増多。白血病leŭkemioとして顕在化しうる)		取り違えなし。leu^k=白ᴸᴱ は _homonym_disp.tsv:23 に leu^k/emi/o,leu^k/oz/o の2語スコープで登録済み(2026-07-19の正本ドリフト是正で明示裁定、leu^ko=白ᴸ(sidecar:1160)とは別root)。-oz-は糖ではなく病名接尾辞(PIV k32429 -oz/①「malsanon nomo」)で、_homonym.tsv:196の症disc listに leu^k/oz/o が実名で掲載されており 症ᴼ が正しく発火する。学習者版51406 の 白ᴸᴱ/症ᴼ は語釈(白血球の異常増多)に一致。R4透明(白+症→白血球系の症状)。表示衝突なし: leu^kemi=白血病(map:6038)、leu^kocit=白胞(map:4509)、leu^kocit/oz=白胞症ᴼ と全て別表示。音訳なし・固有名なし。
ACCEPT	meningokok	脑膜菌ᴷᴷ	【生】髄膜炎菌(Neisseria meningitidis)=小球状細胞をもつ真正細菌で、流行性脳脊髄膜炎の病原体。学術版51897 meningokok/o。		★kok=鸡(ニワトリ)の同綴罠を実データで確認したうえで合格。_homonym_disp.tsv 39行が kok/sep/『mikro/kok/o,diplo/kok/o,enter/o/kok/o,mening/o/kok/o』/菌/菌ᴷᴷ「-coccus(球菌)→菌。鶏kok=鸡は別」と、まさに mening/o/kok/o を明示列挙している。学習者版51897 mening/o/kok/o⟦脑膜/o/菌ᴷᴷ/o⟧で実描画も確認。脑膜 はsidecar7069 mening=脑膜(学習者版25028 mening/o⟦脑膜/o⟧=髄膜、25027 mening/it/o⟦脑膜/炎ᵀ⟧=髄膜炎)。脑膜菌ᴷᴷ=「髄膜の球菌」で語釈と一致=R4合格。兄弟 mikro/kok⟦微/菌ᴷᴷ⟧・diplo/kok⟦双ᴰᴾ/菌ᴷᴷ⟧と同型。連結oの脱落は既存鏡像慣行どおり。sidecarに脑膜菌ᴷᴷ は0件=衝突なし。
ACCEPT	metencefal	后ᴹ脑ᴱ	【解】後脳(metencephalon)。学術版51964『Tiu antau^a parto de la rombencefalo (posta cerboveziko), kiu konsistigas la cerebelon k la ponton.』=菱脳の前部で小脳と橋を構成する部分。		①met=后ᴹ は台帳登録済み。_homonym_disp.tsv 83行 `met sep met/encefal/o 后 后ᴹ` 注記「met-(希 meta-=後方)→后: metencefal/o 後脳。動詞 meti=置・系統化学 met=甲 は disc外で維持」。★指摘された取り違えリスク(met/i=置く、化学 met=甲基)はまさにこの word-scoped disc で分離済みで、実データ上も met/encefal/o の1語だけに限定発火。②中国語解剖学の標準語も 后脑=metencephalon で、字義が学術定義と正確に一致。③兄弟の整合: 学術版58191 が既に `romb/encefal/o⟦菱/脑ᴱ/o⟧` と分解済みで、后ᴹ脑ᴱ はその並びに正しく入る。encefal=脑ᴱ は sidecar 登録済(pejvo F=11)、脑群(cerb無印/encefalᴱ/cerebrᶜᴿ)で一意。④后群(post=無印/aposterior=后ᴬ、別途 epi=后ᴱ)で ᴹ は空き=id重複なし。⑤衝突走査: 后ᴹ脑ᴱ は全ファイル0件。
ACCEPT	mezosau^r	中爬虫	メソサウルス目 Mesosauria(アフリカ・南米の石炭紀〜ペルム紀の小型海生無弓類爬虫類)。学術版51995 `mezosau^r/oj:【動】【PIV】Ordo (Mesosauria) de malgrandaj, maraj, anapsidaj reptilioj, el la karbonio k permio de Afriko k S Ameriko.`		学習者版51995 `mez/o/sau^r/oj⟦中/o/爬虫/oj⟧`。両成分とも語根表の固定描画で裸字所有者本人: sidecar 1787行 `mez 中 basic 91回`(識別子なし=中の所有者)、7051行 `sau^r 爬虫 piv 4回`。inline rule・文脈上書きは一切なし。meso-(中)+sauro(爬虫)で「中生の/中間型の爬虫類」と語義一致、R4透明・R2既存字・音訳なし。分類群名は §7 の人名地名作品名神格に当たらず、生物名369件投入の既定方針(最近縁種グルーピング)の対象。連結母音 o を落とす形も既存鏡像の先例どおり: _kanji_map_master.tsv 6411行 `piv megalosau^r 巨ᴹ爬虫`(megal/o/sau^r の o を落として 巨ᴹ+爬虫)。表示 中爬虫 は map/sidecar に既存衝突なし(実測)。
ACCEPT	mezozo	中兽ᶻ	中生動物門 Mesozoa。学術版51998「Filumo (Mesozoa, sin. Planuloidea, el metazooj), kies reprezentantoj konsistas el nur unu c^eltavolo... k kiuj parazitas en la nefroj de maraj senvertebruloj」= 単細胞層からなり海産無脊椎動物の腎に寄生する動物門。原生動物と後生動物の『中間』の位置づけから meso-(中)+zoa(動物)。		学習者版51998 mez/o/zo/oj⟦中/o/兽ᶻ/oj⟧。(1) 中=mez は sidecar 1787行(basic F=91)の裸字正所有者。(2) 兽ᶻ=zo は sidecar 1439行(basic F=16)、meta/zo(後生動物)=超ᴹ/兽ᶻ・proto/zo(原生動物)=原ᴾᵀ/兽ᶻ・bri/o/zo(コケムシ)=苔ᴮ/o/兽ᶻ と完全に同一描画で、同じ『-zoa 動物門』系列に並ぶ。裸 兽=best(F=49)とは識別子ᶻで分離済み。metazoo/protozoo の姉妹関係を保つ点で分類学的にも正しい。同綴の mezozoik/o(中生代)は両版でラテン維持=衝突なし。表面同形0。監査違反なし。
ACCEPT	naftil	原油基	ナフチル基。C10H7-、ナフタレンから生じる一価の原子団。学術版52300 `naftil/o:【化】【PIV】C 10 H 7 -, unuvalenta grupo el naftaleno.`		学習者版52300 `naft/il/o⟦原油/基/o⟧`(偽分解(PIV正式分解))。naft=原油 は学術版26622 `naft/o⟦原油/o⟧:【化】ナフサ;《般》原油` で基本形一致。基 は _homonym.tsv の il→基ᴵ ではなく(disc に naft/il は無い)、_inject_final.ps1:268 の化学インライン規則「【化】タグ+前分節がアルキル/アリル語幹(fen,alk,**naft**,nitrozo,sulfon,…)」で発火する既登録の規則。器具-il=具 とは二重ゲートで弁別済み。同綴別語の取り違えではなく(naft は語源的に同一形態素)、音訳でも固有名でもない。★注記2点: (a) 学習者版の面は識別子なしの 基 で、homonym 側の 基ᴵ とは別経路。鏡像も 基(識別子なし)で写すのが正しい。(b) 厳密にはナフチル基はナフタレン(naftalen=ラテン未割当)由来で原油由来ではないが、萘/苯 は二級で R2 外(実測: 萘 一级=0/二级=1、苯 一级=0/二级=1)ため代替不能。既存の同型 map 項目(benzoil=安息香基, jodil=碘基, karbonil=碳基, fosforil=磷基)と同じ「物質名+基」の型に収まる。この鏡像はインライン規則依存の描画をアプリ側で再現可能にする効果もある。
ACCEPT	neornit	新鸟ᴼ	【動】新鳥亜綱 Neornithes(PIV k? 74867: 尾が退化し指が部分的に癒合した鳥類の亜綱)		取り違えの危険を正しく回避済み。ここの ne- は否定の ne(map:179 func ne 不)ではなくギリシャ語 neo-(新)。_bare_alias_ledger.tsv:22 に ne→新 が【word-scoped】で登録され、ゲート条件が ($s -eq 'ne') -and ($idx -eq 0) -and ($segs -contains 'ornit') と ornit を含む語に限定されているため、他の ne(不)語への波及ゼロ。ornit=鸟ᴼ は map:4290+sidecar:1020 で確定。学習者版52416 の 新/鸟ᴼ は語釈(鳥類の亜綱)に完全一致し、R4透明(新+鳥→新鳥類)。表示 新鸟ᴼ は _kanji_map_master.tsv 内で既存衝突なし。識別子は ne が意図的bare(alias ledger登録)なので 新鸟ᴼ が正しい形。
ACCEPT	nukleosom	核ᴺ体ˢᴹ	ヌクレオソーム=クロマチンの単位。学術版52577 nukleosom/o:= kromatinero。参照先50987 kromatin/er/o=ヒストンに密に巻きついたDNA繊維の一部からなるクロマチン単位。	YES	学習者版52577 nukle/o/som/o⟦核ᴺ/o/体ˢᴹ/o⟧を実確認。核ᴺ はsidecar5144 nukle=核ᴺ(学習者版27945 nukle/o⟦核ᴺ/o⟧=原子核/細胞核)。体ˢᴹ はsidecar1759 som=体ˢᴹ(学術版57326 -som/⟦体ˢᴹ/⟧、55218 som/o⟦体ˢᴹ/o⟧「非プラスチド性の細胞小器官(複合語中): lizo somo, nukleo somo, peroksi somo, ribo somo」——PIV定義そのものが nukleo+somo の合成であると明言している)。核ᴺ体ˢᴹ=「核の(中の)小体」で語釈と一致=R4合格。兄弟 rib/o/som⟦核ᴿ/o/体ˢᴹ⟧・liz/o/som⟦解ᴸ/o/体ˢᴹ⟧・centr/o/som⟦央/o/体ˢᴹ⟧と同型。核ᴺ(nukle)と核ᴿ(rib)は識別子で弁別済。sidecarに核ᴺ体ˢᴹ は0件=衝突なし。
ACCEPT	nukleozid	核ᴺ糖ᴼ子	【化】ヌクレオシド(核酸塩基+糖。リン酸を欠く)。学術版52579 は `nukleozid/o:【PIV】Vd (vidu) ozo.` と参照のみだが、参照先 ozid/o(学術版52912)『Substanco, kies hidrolizo liveras unu au^ plurajn monosakaridojn k eventuale neglucidajn substancojn: … nukle ozido, rutozido』で語釈が確定する。		①各成分が台帳登録済み: nukle=核ᴺ(sidecar basic F=44、核群は kern無印/nukleᴺ)、oz=糖ᴼ(_homonym_disp.tsv 197行の oz sep→糖ᴼ、disc リストに `nukle/oz/id/o` が明示的に含まれる)、id=子(master suf、子群の無印所有者)。②同綴取り違えの検査: -oz は病症の 症ᴼ(196行 disc、arteri/o/skler/oz 等)と糖の 糖ᴼ(197行 disc)で二分され、nukleozid は糖側の disc に正しく入っている。-id も二元化合物 化ᴵᴰ の disc には入っておらず 子 が正。③意味: 「核(酸)の糖派生体」で R4 成立。④衝突走査: 核ᴺ糖ᴼ子 は全ファイル0件。留意(阻害要因ではない): 中国語話者には 核糖=リボース と読める可能性があるが、識別子 核ᴺ(nukle)/糖ᴼ(oz) が別分節であることを示すので構造的には弁別される。また glukozid と同様、上位語 ozid/heterozid が学術版ラテンのまま残る family 半充填になる点は要認識。
ACCEPT	oestrogen	发情生ᴳ	エストロゲン=卵巣ホルモン。学術版52638 `oestrogen/o:【生】【化】【PIV】(kn) Ovaria hormono, precipe reganta la disvolvig^on k la funkciadon de la reproduktig^aj organoj k de la mamoj c^e la inoj de mamuloj.`		学習者版52638 `oestr/o/gen/o⟦发情/o/生ᴳ/o⟧`。両成分とも固定描画で裸字/識別子付き所有者本人: sidecar 8276行 `oestr 发情 piv 2回`(裸 发情 の所有者)、905行 `gen 生 g ᴳ 生ᴳ sci 65回`。inline rule なし。oestro の語義も同ファイル52635 `oestr/o⟦发情/o⟧:【生】【PIV】Fiziologia stato de ina mamulo dum la maturig^o de la ovaria(j) foliklo(j) k ovolado`(発情期)で 发情 と一致。oestro-gen = 「発情を生じさせるもの」で estrogen の語源そのままであり、語釈(卵巣ホルモン)とも整合。R4透明・音訳なし・固有名でない。連結o省略も megalosau^r 先例どおり。
ACCEPT	ombropolarimetr	影极ᴾᴿ计ᴹ	半影偏光計の中核部分。学術版60125 du/on/ombropolarimetr/o「Polarimetro, en kiu ambau^ vidkampoj estas reduktataj al duon ombro per nikoloj」= ニコルプリズムで両視野を半影にした偏光計。PIV2020 でも duonombropolarimetro は ombr/o 項(k31802)の派生形として登録され、実体は ombro(影)+polarimetro(偏光計)。		学習者版60125 du/on/ombr/o/polar/i/metr/o⟦二/分/影/o/极ᴾᴿ/i/计ᴹ/o⟧。学術版が du/on/ombropolarimetr/o と切ったため『ombropolarimetr』が合成語根として被覆穴になっている典型的な鏡像案件。成分は全て登録済み: 影=ombr(sidecar 2742行 basic F=22 の裸字正所有者)、极ᴾᴿ=polar(sidecar 3651行 sci F=25、裸 极=ekstrem とは識別子で分離)、计ᴹ=計器の -metr-(_homonym_disp.tsv:194 comb metr→计ᴹ、裸 计=statistik とは分離)。『影+偏光+計器』は PIV 語釈(duonombro に還元する偏光計)と一致し R4 透明、音訳ゼロ、固有名でない。表面同形0。なお学術版31011は polarimetr/o⟦极计/o⟧(旧1,828行の裸鏡像)なので同一版内に 极计 と 极ᴾᴿ计ᴹ が併存するが、これは続62の案A採用時に容認済みの状態で、mikroskop=微镜 と mikroskopi=微镜ˢᴷ、endoskop=内镜 と endoskopi=内ᴱᴰ镜ˢᴷ という先例が _kanji_map_master.tsv に既にある(新規鏡像は識別子込み・既存裸行は据置)。よって案A準拠で ACCEPT。
ACCEPT	ornitiski	鸟ᴼ坐骨	鳥盤目 Ornithischia。中生代の化石草食恐竜の目。学術版52834 `ornitiski/oj:【動】【PIV】Ordo (Ornithischia) de fosiliaj herbovoraj dinosau^roj, ampleksanta multajn grandajn reptiliojn el mezozoiko. Vd sau^riskioj.`		学習者版52834 `ornit/iski/oj⟦鸟ᴼ/坐骨/oj⟧`。ornit=鸟ᴼ は sidecar `"ornit" "鸟" "o" "ᴼ" "鸟ᴼ" pejvo F=3` に正規登録(ornit/o/logi=鸟ᴼ/o/学ᴸᴳ, ornit/o/pod=鸟ᴼ/o/足ᴾᴼ と一貫)。iski=坐骨 は学術版16047 `iski/o⟦坐骨/o⟧:【解】座骨`。Ornithischia は文字通り「鳥の坐骨(鳥盤)」を意味する分類名で、鸟+坐骨 は逐語的に完全一致。姉妹群 sau^r/iski/oj⟦爬虫/坐骨/oj⟧(竜盤目)と描画が対称になり、既存の先例とも整合する。本12件中で最も接地が強い候補。
ACCEPT	ozid	糖ᴼ子	【化】オシド/配糖体(PIV k32432 oz/o④の派生形 ozido: 加水分解により1個以上の単糖と場合により非糖質を与える物質。二糖・オリゴ糖・多糖・ヘテロシドを包含。Sin. malsimpla sukero)		oz=糖ᴼ は _homonym.tsv:197 の糖disc listに oz/o,oz/id/o が実名掲載済みで発火が保証される(病名の症ᴼは別listで、本語は化学義なので糖が正しい)。id=子 は map:104(suf id 子)+sidecar:199 の固定描画で、化学の-ide(二元化合物)=化(_homonym.tsv:121)のlistには oz/id は含まれず 子 のまま=正しい弁別。同型の既存描画が学習者版に実在: nukle/oz/id/o⟦核ᴺ/糖ᴼ/子/o⟧・rut/oz/id/o⟦草ᴿ/糖ᴼ/子/o⟧。糖ᴼ/子 は学習者版に7回出現し全て-ozid-系。R4透明(糖+子=糖の派生体→配糖体)。音訳なし。★付随: 学術版48426 glukozid/o:・48920 heterozid/o:・52579 nukleozid/o:・54569 rutozid/o: も同じ理由でラテン残存の未充填鏡像候補(今回の依頼リスト外だが同時処理推奨)。
ACCEPT	panj	父ᴾᴬ女ᴺ	ママ、かあちゃん(母への愛称)。学術版29157 `panj/o:ママ,かあちゃん,>>patrino`。		実データで完全裏付け。①両版共通で `patr/in/o⟦父/女/o⟧:母,母親`(29647) が既に成立=「父(親)+女」で母を表すのは本体系の確立描画。②_homonym_disp.tsv 134行に `pa sep pa/c^j/o,pa/nj/o 父 父ᴾᴬ` が登録済みで、注記自体が「pa(patro の切り詰め)→父。pa/nj/o⟦父/女ᴺ/o⟧=ママ。既存の patr/in/o⟦父/女/o⟧ の完全な鏡像。分節 pa は両版でこの2語にしか現れない」と述べている。③識別子: nj は _identifier_sidecar.tsv に `nj 女 n ᴺ 女ᴺ pejvo F=2` で登録済、女群(in=無印/feminism=ᶠ/nj=ᴺ/femin=ᶠᴱ/ginek=ᴳ)でᴺは一意。父群(patr=無印/patri=ᴾᴵ)でᴾᴬも一意。④衝突走査: 父ᴾᴬ女ᴺ は master/学術版/学習者版のいずれにも0件。patrino の 父女(無印)とも識別子で弁別される。音訳要素なし。
ACCEPT	predispozici	前ᴾ处ᴰᶻ	【医】(病気に)素因を与える、かかりやすくする。学術版53780『(tr) (pp malsano) Dispozicii 4.』=dispozicii の第4義(病気について)。		①pre=前ᴾ は sidecar 登録済(piv F=2)。接頭辞そのものが見出しとして存在し 学習者版53770 `pre/⟦前ᴾ/⟧:【PIV】Pref. signifanta: 1 «tempe senpere antau^»…` と描画済み。兄弟 pre/molar/o⟦前ᴾ/臼/o⟧・pre/histori/o⟦前ᴾ/史/o⟧ と一貫。前群(antaŭ無印/frontᶠ/avanᴬⱽ/aversᴬᴿ/preᴾ)で ᴾ は一意。②dispozici=处ᴰᶻ は sidecar 登録済(pejvo F=3)で、学術版7132/7133/46840 の全出現で 处ᴰᶻ 固定=文脈上書きなし。处群(lok無印/disponᴰ/dispoziciᴰᶻ)で一意。③意味計算: pre(前)+dispozici(処置・性向) = 「あらかじめ素質を与える」で音訳ゼロ、成分から全体が導ける。④衝突走査: 前ᴾ处ᴰᶻ は全ファイル0件。留意: 本語で効いている語義は dispozicio の「性向・素質・体質」義で、处 の中心義「配置・処置」とはややズレるが、これは既存の dispozici=处ᴰᶻ 基本割当から継承した性質であり、鏡像が新たに持ち込む誤りではない(固定形態素描画の原則どおり)。
ACCEPT	pterosau^r	翅爬虫	翼竜(Pterosauria)。学術版54030 `pterosau^r/oj:【PIV】Flugsau^roj.`。同義語 flugsau^ro は学術版60864 `flug/sau^r/oj⟦飞/爬虫/oj⟧:【動】【PIV】Ordo (Pterosauria) de sau^roj el j^urasio k kretaceo, bonege adaptitaj al flugo`		学習者版54030 `pter/o/sau^r/oj⟦翅/o/爬虫/oj⟧`。両成分とも固定描画で裸字所有者本人: sidecar 6004行 `pter 翅 sci 18回`(裸 翅 の所有者、識別子付き 翅ᴾᴳ=pterig とは §9 で弁別済み)、7051行 `sau^r 爬虫 piv 4回`。inline rule なし。ptero-(翼)+sauro(爬虫)で「翼のある爬虫類」= 翼竜と語義一致、R4透明。既存鏡像 `piv megalosau^r 巨ᴹ爬虫` と同型。同義語 flugsau^r は学術版で既に分解済み(飞/爬虫)なので表示は 飞爬虫 と別で衝突なし、翅爬虫 は map/sidecar に既存衝突なし(実測)。
ACCEPT	rutozid	草ᴿ糖ᴼ子	ルトシド(ルチン)。C27H30O16、ヘンルーダ(ruto)等の植物から抽出されるヘテロシド。毛細血管強化に医薬用、ビタミンPの構成成分。学術版54569 `rutozid/o:【化】【PIV】Heterozido, C 27 H 30 O 16, ekstraktata el ruto k.a. plantoj...`		学習者版54569 `rut/oz/id/o⟦草ᴿ/糖ᴼ/子/o⟧`。★同綴別語の疑いを実データで潰した: rut=草ᴿ は学術版34795 `rut/o⟦草ᴿ/o⟧:{Ｏ}【植】ヘンルーダ（属）` で、語釈が明示する抽出源 ruto そのもの(sidecar `"rut" "草" "r" "ᴿ" "草ᴿ" pejvo F=4`)。oz=糖ᴼ は _homonym.tsv oz→糖 の disc に `rut/oz/id/o` が明示列挙。id=子 は既定。「ヘンルーダ+糖+誘導体」= ヘンルーダの配糖体で語義と完全一致。姉妹の indigozid(蓝ᴵ糖ᴼ子)・salik/oz/id・nukle/oz/id と型が揃う。
ACCEPT	salikilat	柳基盐ᴬ	【化】サリチル酸塩(salicylate)=解熱・鎮痛・抗炎症(特にリウマチ)に用いる、サリチル酸の塩。学術版54624 salikilat/o:Salo de salik(il)ata acido。		学習者版54624 salik/il/at/o⟦柳/基/盐ᴬ/o⟧を実確認。柳 はsidecar5343 salik=柳(学習者版34942 salik/o⟦柳/o⟧=ヤナギ属Salix)で、これは同綴の偶然ではなく語源的事実: 同辞書54621 salik/in/o(サリシン)の語釈が「ekstraktata el la s^elo de salikoj(ヤナギの樹皮から抽出)」と明記し、PIV自身が salik- 由来として綴っている。il→基 は_inject_final.ps1 L268の化学-yl規則で、許可される前分節リストに 'salik' が明示的に含まれている(@('fen','alk','naft','nitrozo','sulfon','sulfur','pirid','okzal','en','salik'))=設計上の意図的発火。at→盐ᴬ は_inline_tokens.tsv登録済トークン($chemSaltLine、逆引き一意)。柳基盐ᴬ=「ヤナギ基の塩」で語釈と一致=R4合格、音訳成分ゼロ。兄弟 salik/at/o⟦柳/盐ᴬ⟧(54623)・salik/oz/id/o⟦柳/糖ᴼ/子⟧(54622)と整合。ヤナギ以外の同綴語(salikok=虾ˢエビ、salikari=草ˢᴬᴸᴵ、salikorni=草ˢᴬᴸ)を拾う取り違えは起きていない。sidecarに柳基盐ᴬ は0件=衝突なし。
ACCEPT	salikozid	柳糖ᴼ子	【化】サリシン salicin(PIV: salikozido = salikino。ヤナギ樹皮から抽出される鎮痛・解熱作用のあるグルコシド C6H4(O.C6H11O5)CH2OH)		3成分すべて語釈と一致し、鏡像の中でも最も透明な部類。salik=柳 は map:5343(basic, 6回)+sidecar:5343、PIV『ekstraktata el la ŝelo de salikoj(ヤナギの樹皮から抽出)』と直結。oz=糖ᴼ は _homonym.tsv:197 の糖listに salik/oz/id/o が実名掲載。id=子 は map:104。柳+糖+子=『ヤナギの配糖体』でR4完全成立。同綴別語の危険なし(salik は他義なし)。音訳成分ゼロ、固有名なし。表示衝突なし。
ACCEPT	sapozid	皂糖ᴼ子	【化】サポニン saponino(PIV k? 96227: 植物性ヘテロシド。ステロイド系またはトリテルペン系の非糖部を持ち、水に溶けて起泡する。Sin. sapozido。PIV k32432 oz/o④の派生形としても『sap ozido: Saponino』と立項)		PIV自身が sap+ozido と分綴して立項しており(k32432 Derived form: **sap ozido**)、偽分解ではなく語源通り。sap=皂(石鹸) は map:3221(basic, 22回)で、PIV 96178 sapo(石鹸)および saponino の命名理由(水中で泡立つ=石鹸様)と直結。oz=糖ᴼ は _homonym.tsv:197 の糖listに sap/oz/id/o が実名掲載。id=子 は map:104。皂+糖+子=『石鹸様の配糖体』でR4成立。sap の同綴別語(sapind/sapon 等)は別語根として独立しており取り違えなし。音訳成分ゼロ・固有名なし・表示衝突なし。nukle/oz/id=核ᴺ糖ᴼ子, rut/oz/id=草ᴿ糖ᴼ子, salik/oz/id=柳糖ᴼ子 と完全に同型。
ACCEPT	sau^riski	爬虫坐骨	【動】竜盤目 Saurischia(草食・肉食の恐竜の目。最大級の恐竜を含む)。学術版54739『Ordo (Saurischia) de dinosau^roj herbovoraj k karnovoraj, inter ili la plej grandaj el c^iuj dinosau^roj. Vd ornitiskioj.』		①sau^r=爬虫 は sidecar の 爬虫群の無印所有者(piv F=4)。学術版54738 に `sau^r/o⟦爬虫/o⟧:【動】Kn de reptilioj eksklude de la testuduloj k serpentoj` と本体見出しあり=接地確認。②iski=坐骨 も sidecar 無印所有者(pejvo F=3)で、坐骨群は iski 単独=逆引き一意。③意味: Saurischia は文字どおり「トカゲ型の腰(坐骨)を持つ」目で、爬虫+坐骨 は語源の逐語計算。学習者版は既に `##偽分解##エス的分解` として受理済み。④兄弟の整合: 学習者版52834 `ornit/iski/oj⟦鸟ᴼ/坐骨/oj⟧`(鳥盤目)が対で存在し、学術版ではこちらもラテンのまま=同じ規則で 鸟ᴼ坐骨 を対で充填するのが整合的。⑤識別子なしの2成分連結だが、両成分とも各群の無印所有者(reptili は 爬虫ᴿ と別印)なので案Aが警戒する「別語根の無印に読める」問題は発生しない。⑥衝突走査: 爬虫坐骨 は全ファイル0件。
ACCEPT	sinartr	共ˢ节ᴬᴿ	不動関節(synarthrosis)。学術版55027/PIV k41001「= senmova artiko」= 動かない関節(頭蓋縫合のように癒合した関節)。語源 syn-(共に)+arthron(関節)。		学習者版55027 sin/artr/o⟦共ˢ/节ᴬᴿ/o⟧。これは偽友是正が既に済んでいる登録済みケース。_homonym_disp.tsv:62 が sep で sin→共ˢ を宣言し、対象語リストに sin/artr/o を明記、注記も『syn-(共·同together)→共。胸sin/o(怀)·再帰sin(自)は別エントリで維持。2026-07-18 正本過細分解で露出: sin/artr(synarthrosis癒合関節=共/节)·sin/ost(synostosis骨癒合=共/骨)追加(syn-の偽友sin=怀を是正)』と、まさに同綴別語(sino=胸/怀、再帰sin=自)からの分離を明示している。実際 _kanji_map_master.tsv 2626行の sin は 怀 だが、本語では 共ˢ が適用され sin/kron(同期)・sin/onim(同義語)・sin/ost(骨癒合)と同一系列。artr は sidecar 5202行 节ᴬᴿ(pejvo F=9)で artr/it=关节炎等と同一、裸 节=diet や 节ᴬ=artik とも識別子で分離。裸 共=kun(prep F=249)とも ˢ で分離済み。表面同形0、監査違反なし。
ACCEPT	sinost	共ˢ骨	骨性癒合(synostosis)。頭蓋の2骨をつなぐ組織が骨化してできた不動関節。学術版55052 `sinost/o:【解】【PIV】(synostosis) Nemovebla artiko, devenanta el ostig^o de la histo kuniganta du ostojn de la kranio.`		学習者版55052 `sin/ost/o⟦共ˢ/骨/o⟧`。★sin は三重同綴で危険な箇所だが台帳で解決済み: (a) 基本形 sin/o=怀(胸・懐, basic F=24)、(b) 再帰代名詞 sin=自ˢ(disc: sin/kon/o 等11件)、(c) syn-(共・同)=共ˢ(disc に `sin/artr/o,sin/ost/o` が明示列挙、_homonym.tsv 注記「2026-07-18 正本過細分解で露出: sin/artr(synarthro…)」)。本語は (c) の disc に載っており正しい。ost=骨 は学術版28861 `ost/o⟦骨/o⟧:{Ｂ}骨` の基本形そのもの。「共に+骨」= 骨がつながって一体化した関節で語義と一致し、姉妹の sin/artr/o(共ˢ/节ᴬᴿ, 不動関節)とも整合。
ACCEPT	sporozo	胞子兽ᶻ	【動】胞子虫類(Sporozoa)=胞子を形成する寄生性の原生動物群。学術版55348 sporozo/oj:Vd zoo ①(=57034 zo/o「複合語中で『動物』の意」)。実質的定義は相互参照から確定: 48546 gregarin/oj「Subklaso (Gregarina) de sporozooj」、50497 kokcidi/o「Subklaso (Coccidia) de sporozooj, parazitantaj en c^eloj」、44856 alveol/ul/oj が ciliuloj/sulkoflageluloj と並べて sporozooj を原生動物に列挙。		学習者版55348 spor/o/zo/oj⟦胞子/o/兽ᶻ/oj⟧を実確認。胞子 はsidecar6034 spor=胞子(学習者版37720 spor/o⟦胞子/o⟧=【生】胞子)、兽ᶻ はsidecar1439 zo=兽ᶻ(学術版57034 zo/o⟦兽ᶻ/o⟧「Animalo vs (en kunmetaj^oj): zoosporo, zoosterolo 等」)。胞子兽ᶻ=「胞子の(を作る)動物」で語釈と一致=R4合格。兄弟 proto/zo/oj⟦原ᴾᵀ/兽ᶻ⟧・meta/zo/oj⟦超ᴹ/兽ᶻ⟧・bri/o/zo/oj⟦苔ᴮ/兽ᶻ⟧・ekin/o/zo/oj⟦海胆/兽ᶻ⟧・mez/o/zo/oj⟦中/兽ᶻ⟧と完全に同型。なお 兽 は中国語では本来『獣(哺乳類)』で単細胞の原生動物にはやや広すぎるが、これは -zo-=兽ᶻ という体系全体の既定固定形態素(protozoo も同じ性質)であり本件が新たに持ち込む誤りではない。sidecarに胞子兽ᶻ は0件=衝突なし。
ACCEPT	teleau^tograf	远自ᴬ记ᴳ	書画電送装置(テロートグラフ)/書画電送する。学術版40091-40092 `teleau^tograf/i:［他］書画電送する` / `teleau^tograf/o:書画電送装置,（商標）テロートグラフ`		学習者版40092 `tele/au^t/o/graf/o⟦远/自ᴬ/o/记ᴳ/o⟧`。3成分すべて台帳で裏が取れた。(1) tele=远 は _kanji_map_master.tsv `pref tele 远`。(2) au^t=自ᴬ は _homonym.tsv の sep エントリで、disc に `tele/au^t/o/graf/i,tele/au^t/o/graf/o` が明示列挙されている(基本形 au^t/o=车「自動車」とは別エントリとして正規登録済み)。(3) graf=记ᴳ は `sci graf 记`(sidecar 记ᴳ, F=123)が既定で、伯(伯爵)の方が sep 側の例外。よって「遠隔+自動+記録」で書画電送装置の意味が論理的に導ける。音訳成分なし。商標義は第2義で、第1義は普通名詞の装置名なので §7 非該当。全字が一級3500(远/自/记 各1件で確認)。
